Segment_ID,等级,时长
0,class2,126.25
1,class3,131.0
2,class3,130.25
3,class3,130.15
4,class2,126.35
5,class2,125.55
6,class3,130.2
7,class2,125.4
8,class2,125.3
9,class2,130.0
10,class3,130.15
11,class2,129.15
12,class2,125.05
13,class3,130.2
14,class1,123.0
15,class2,126.4
16,class1,124.95
17,class2,129.5
18,class3,134.8
19,class1,124.6
20,class1,124.45
21,class2,129.05
22,class2,129.05
23,class2,129.1
24,class2,125.25
25,class2,129.1
26,class1,124.05
27,class2,129.55
28,class3,130.55
29,class3,130.5
30,class3,130.5
31,class2,129.5
32,class2,128.6
33,class2,125.75
