trip_no,section,global_trip_id,source_run_id,absolute_start,absolute_end,trainset,run_time_s,real_energy_wh,model_energy_wh,mass_t,run_class,quality_label,period
53,布政-张家潭,UP053_20240709_151522_R2836,2836,2024-07-09 15:15:22,2024-07-09 15:17:19,5012,117.3,14192.847116791669,14423.542503794273,215.24,3,0,
53,张家潭-同德路,UP053_20240709_151522_R2836,2837,2024-07-09 15:17:50,2024-07-09 15:20:19,5012,149.75,18085.477374236114,17896.12950726384,215.24,3,0,
53,同德路-石碶,UP053_20240709_151522_R2836,2838,2024-07-09 15:20:49,2024-07-09 15:22:39,5012,109.95,12162.438688256943,12053.53052305916,215.24,3,0,
53,石碶-雅渡,UP053_20240709_151522_R2836,2839,2024-07-09 15:23:14,2024-07-09 15:24:32,5012,78.15,13237.571837451389,13076.805883727122,215.74,2,0,
53,雅渡-庙堰,UP053_20240709_151522_R2836,2840,2024-07-09 15:25:02,2024-07-09 15:27:18,5012,136.2,19705.389313381944,19470.313088844385,215.94,4,0,
53,庙堰-钟公庙,UP053_20240709_151522_R2836,2841,2024-07-09 15:27:48,2024-07-09 15:29:23,5012,95.45,13849.370121916667,14167.356197502151,215.84,3,0,
53,钟公庙-鄞州区政府,UP053_20240709_151522_R2836,2842,2024-07-09 15:29:53,2024-07-09 15:31:24,5012,90.45,10059.92611548611,9816.17016271051,215.84,3,0,
53,鄞州区政府-钱湖南路,UP053_20240709_151522_R2836,2843,2024-07-09 15:32:03,2024-07-09 15:34:15,5012,131.65,17910.355636368055,17846.98418787207,215.54,3,0,
53,钱湖南路-南高教园区,UP053_20240709_151522_R2836,2844,2024-07-09 15:34:45,2024-07-09 15:36:25,5012,100.0,12885.846946458334,13368.461635996113,215.74,3,0,
53,南高教园区-下应路,UP053_20240709_151522_R2836,2845,2024-07-09 15:37:00,2024-07-09 15:38:54,5012,114.6,17846.505214124998,18790.88187201442,215.44,3,0,
53,下应路-大洋江,UP053_20240709_151522_R2836,2846,2024-07-09 15:39:24,2024-07-09 15:41:10,5012,106.25,11008.569399923612,10874.146783632023,215.54,3,0,
53,大洋江-泗港,UP053_20240709_151522_R2836,2847,2024-07-09 15:41:40,2024-07-09 15:43:12,5012,92.45,10295.670854833332,10391.995821712331,215.44,3,0,
53,泗港-曹隘,UP053_20240709_151522_R2836,2848,2024-07-09 15:43:41,2024-07-09 15:45:56,5012,135.0,22589.438541722226,23875.928706738174,215.44,4,0,
53,曹隘-柳隘,UP053_20240709_151522_R2836,2849,2024-07-09 15:46:27,2024-07-09 15:48:13,5012,106.55,20680.60015761111,17040.12143441325,215.54,2,0,
53,柳隘-海晏北路,UP053_20240709_151522_R2836,2850,2024-07-09 15:48:43,2024-07-09 15:50:13,5012,89.55,12903.201795972223,13264.493925430614,215.64,3,0,
53,海晏北路-民安东路,UP053_20240709_151522_R2836,2851,2024-07-09 15:50:57,2024-07-09 15:52:21,5012,83.3,16337.610603722225,15158.796305889824,215.94,2,0,
53,民安东路-会展中心,UP053_20240709_151522_R2836,2852,2024-07-09 15:52:50,2024-07-09 15:54:07,5012,76.8,12065.735625645832,11783.938827380078,216.34,2,0,
53,会展中心-院士路,UP053_20240709_151522_R2836,2853,2024-07-09 15:54:37,2024-07-09 15:56:32,5012,114.85,14641.210256194443,14253.561615377259,216.14,3,0,
53,院士路-盎孟港,UP053_20240709_151522_R2836,2854,2024-07-09 15:57:00,2024-07-09 15:58:32,5012,91.6,15492.848173791668,15146.993691294503,215.94,3,0,
53,盎孟港-三官堂,UP053_20240709_151522_R2836,2855,2024-07-09 15:59:01,2024-07-09 16:01:22,5012,141.3,17373.755917541665,17605.35113430271,216.14,3,0,
53,三官堂-兴庄路,UP053_20240709_151522_R2836,2856,2024-07-09 16:01:56,2024-07-09 16:03:40,5012,103.85,11018.387609687501,11859.834523730826,215.74,3,0,
53,兴庄路-兴海南路,UP053_20240709_151522_R2836,2857,2024-07-09 16:04:10,2024-07-09 16:05:41,5012,91.2,11686.310027868058,11494.09441491419,215.64,3,0,
53,兴海南路-梅堰,UP053_20240709_151522_R2836,2858,2024-07-09 16:06:11,2024-07-09 16:07:33,5012,81.55,12030.120056423611,12122.005616173532,215.64,3,0,
53,梅堰-永茂路,UP053_20240709_151522_R2836,2859,2024-07-09 16:08:03,2024-07-09 16:13:32,5012,329.65,25348.525844312502,26364.046816141727,215.54,4,0,
53,永茂路-镇海大道,UP053_20240709_151522_R2836,2860,2024-07-09 16:13:59,2024-07-09 16:16:21,5012,142.55,17846.878796027777,18468.227007185582,215.44,2,0,
53,镇海大道-骆驼桥,UP053_20240709_151522_R2836,2861,2024-07-09 16:16:51,2024-07-09 16:18:48,5012,117.35,19039.9119645,18751.4743143986,215.44,2,0,
