站间区间,选定等级,运行时长(s),预测能耗(Wh),逻辑来源
布政-张家潭,class2,112.05,13305.27,全局筛选
张家潭-同德路,class2,148.0,17333.49,全局筛选
同德路-石碶,class2,104.0,12707.27,全局筛选
石碶-雅渡,class2,80.0,10594.2,全局筛选
雅渡-庙堰,class2,128.95,19978.27,全局筛选
庙堰-钟公庙,class2,93.0,12575.66,全局筛选
钟公庙-鄞州区政府,class2,86.05,12393.9,全局筛选
鄞州区政府-钱湖南路,class2,128.0,17182.17,全局筛选
钱湖南路-南高教园区,class3,100.0,13066.39,全局筛选
南高教园区-下应路,class2,110.0,18763.48,全局筛选
下应路-大洋江,class2,101.0,11046.61,全局筛选
大洋江-泗港,class2,87.0,12227.52,全局筛选
泗港-曹隘,class4,137.0,21985.46,全局筛选
曹隘-柳隘,class2,106.0,19657.14,全局筛选
柳隘-海晏北路,class2,87.0,11866.44,全局筛选
海晏北路-民安东路,class2,82.95,14555.91,全局筛选
民安东路-会展中心,class2,75.95,9310.19,全局筛选
会展中心-院士路,class3,115.0,14892.54,全局筛选
院士路-盎孟港,class2,87.95,17983.58,全局筛选
盎孟港-三官堂,class2,132.0,16125.52,全局筛选
三官堂-兴庄路,class2,99.0,9622.7,全局筛选
兴庄路-兴海南路,class2,87.0,13042.42,全局筛选
兴海南路-梅堰,class3,82.0,10812.12,全局筛选
梅堰-永茂路,class3,313.0,27794.89,全局筛选
永茂路-镇海大道,class2,141.05,17480.63,全局筛选
镇海大道-骆驼桥,class2,115.95,19950.08,全局筛选
