t,v,s,t_global,station_pair
131.70000000000002,10.049999999999997,1805.4625340908601,2915.80095174675,盎孟港-三官堂
131.75,10.025000000000006,1805.9637840908601,2915.85095174675,盎孟港-三官堂
131.8,10.0,1806.4637840908601,2915.9009517467503,盎孟港-三官堂
131.85,9.975000000000009,1806.9625340908601,2915.95095174675,盎孟港-三官堂
131.9,9.950000000000003,1807.46003409086,2916.00095174675,盎孟港-三官堂
131.95000000000002,9.924999999999997,1807.95628409086,2916.05095174675,盎孟港-三官堂
132.0,9.900000000000006,1808.4512840908599,2916.10095174675,盎孟港-三官堂
132.05,9.875,1808.94503409086,2916.1509517467503,盎孟港-三官堂
132.1,9.850000000000009,1809.43753409086,2916.20095174675,盎孟港-三官堂
132.15,9.825000000000003,1809.92878409086,2916.25095174675,盎孟港-三官堂
132.20000000000002,9.799999999999997,1810.41878409086,2916.30095174675,盎孟港-三官堂
132.25,9.775000000000006,1810.90753409086,2916.35095174675,盎孟港-三官堂
132.3,9.75,1811.39503409086,2916.4009517467503,盎孟港-三官堂
132.35,9.725000000000009,1811.88128409086,2916.45095174675,盎孟港-三官堂
132.4,9.700000000000003,1812.3662840908598,2916.50095174675,盎孟港-三官堂
132.45000000000002,9.674999999999997,1812.85003409086,2916.55095174675,盎孟港-三官堂
132.5,9.650000000000006,1813.33253409086,2916.60095174675,盎孟港-三官堂
132.55,9.625,1813.81378409086,2916.6509517467503,盎孟港-三官堂
132.6,9.600000000000009,1814.29378409086,2916.70095174675,盎孟港-三官堂
132.65,9.575000000000003,1814.77253409086,2916.75095174675,盎孟港-三官堂
132.70000000000002,9.549999999999997,1815.25003409086,2916.80095174675,盎孟港-三官堂
132.75,9.525000000000006,1815.72628409086,2916.85095174675,盎孟港-三官堂
132.8,9.5,1816.2012840908599,2916.9009517467503,盎孟港-三官堂
132.85,9.475000000000009,1816.67503409086,2916.95095174675,盎孟港-三官堂
132.9,9.450000000000003,1817.14753409086,2917.00095174675,盎孟港-三官堂
