"trip_no","comparison","section_index","站间区间","区间载重(t)","载重来源","全局趟次ID","历史segment","历史来源run_id","归一化区间里程(km)","载重里程(t·km)","规划OT区间里程(km)","历史OT区间里程(km)","规划OT区间机械能(kWh)","历史OT区间机械能(kWh)","规划单位能耗[kWh/(t·km)]","历史单位能耗[kWh/(t·km)]","区间节能率(%)"
"1","energy_first","8","鄞州区政府-钱湖南路","217.0","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","8.0","1.81112","393.01304","1.811","1.811","17.26613889","17.14647222","0.0439327379","0.0436282527","-0.697908"
"1","energy_first","9","钱湖南路-南高教园区","217.11","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","9.0","1.16824","253.636586","1.155","1.155","13.75044444","14.95127778","0.0542131742","0.0589476384","8.031644"
"1","energy_first","10","南高教园区-下应路","217.9","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","10.0","1.45257","316.515003","1.452","1.452","17.44938889","18.64413889","0.0551297371","0.0589044396","6.40818"
"1","energy_first","11","下应路-大洋江","218.5","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","11.0","1.2134","265.1279","1.214","1.214","12.68358333","11.56502778","0.0478394893","0.0436205612","-9.67188"
"1","energy_first","12","大洋江-泗港","219.2","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","12.0","0.95848","210.098816","0.958","0.958","11.04697222","11.56830556","0.052579888","0.0550612601","4.506566"
"1","energy_first","13","泗港-曹隘","219.1","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","13.0","1.79913","394.189383","1.798","1.798","22.84144444","23.77147222","0.0579453568","0.0603046993","3.912369"
"1","energy_first","14","曹隘-柳隘","218.7","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","14.0","1.30651","285.733737","1.308","1.308","19.90522222","20.84694444","0.0696635351","0.0729593385","4.517315"
"1","energy_first","15","柳隘-海晏北路","218.8","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","15.0","0.98073","214.583724","0.98","0.98","11.63633333","12.98694444","0.0542274741","0.0605215727","10.39976"
"1","energy_first","16","海晏北路-民安东路","216.8","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","16.0","0.86478","187.484304","0.866","0.866","11.14772222","15.13616667","0.059459496","0.0807329805","26.350426"
"1","energy_first","17","民安东路-会展中心","216.14","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","17.0","0.72539","156.785795","0.724","0.724","7.04455556","11.87438889","0.044931083","0.0757363824","40.674374"
"1","energy_first","18","会展中心-院士路","216.34","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","18.0","1.55147","335.64502","1.562","1.562","14.66047222","14.66522222","0.0436785036","0.0436926555","0.03239"
"1","energy_first","19","院士路-盎孟港","216.34","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","19.0","0.99486","215.228012","0.994","0.994","16.54875","17.97733333","0.0768893873","0.0835269217","7.946581"
"1","energy_first","20","盎孟港-三官堂","216.24","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","20.0","1.87873","406.256575","1.8761","1.876","15.52686111","17.31519444","0.0382193472","0.0426213273","10.328116"
"1","energy_first","21","三官堂-兴庄路","215.94","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","21.0","1.07981","233.174171","1.082","1.0819","15.02408333","10.29530556","0.0644328797","0.0441528558","-45.931398"
"1","energy_first","22","兴庄路-兴海南路","215.34","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","22.0","0.95851","206.405543","0.9579","0.958","16.26244444","11.15458333","0.0787887969","0.0540420725","-45.79159"
"1","energy_first","23","兴海南路-梅堰","215.44","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","23.0","0.83437","179.756673","0.8331","0.833","11.60491667","12.08191667","0.0645590313","0.0672126185","3.948049"
"1","energy_first","24","梅堰-永茂路","215.34","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","24.0","3.67469","791.307745","3.6759","3.676","29.20891667","26.47861111","0.0369122088","0.0334618374","-10.311362"
"1","energy_first","25","永茂路-镇海大道","215.34","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","25.0","2.13199","459.102727","2.1311","2.1311","15.94719444","16.06627778","0.034735569","0.0349949518","0.741201"
"1","energy_first","26","镇海大道-骆驼桥","215.34","traceable_standard_plan_MASS","UP001_20240701_055954_R1","0.0","26.0","1.59637","343.762316","1.593","1.5931","18.29647222","17.76733333","0.0532241941","0.0516849361","-2.978156"
"3","standard_dp","1","布政-张家潭","215.24","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","111.0","1.42832","307.431597","1.428","1.428","13.42766667","12.65486111","0.0436769246","0.0411631766","-6.106788"
"3","standard_dp","2","张家潭-同德路","215.24","traceable_standard_plan_MASS","UP003_20240701_102344_R111","2.0","112.0","2.02036","434.862286","2.017","2.017","16.61519444","16.29402778","0.0382079453","0.0374693973","-1.97107"
