trip_no,method,historical_run_s,planned_run_s,added_run_time_s,history_unit_energy_kwh_per_tkm,planned_unit_energy_kwh_per_tkm,unit_energy_reduction_kwh_per_tkm,saving_pct,max_mass_t
1,standard_dp,3002.7,3002.7,0.0,0.050584609470828434,0.05019570294509893,0.00038890652572950296,0.7688238177538531,219.2
1,dwell5_dp,3002.7,3041.1,38.40000000000009,0.050584609470828434,0.04809685797725105,0.0024877514935773837,4.918000790363006,219.2
1,energy_first,3002.7,3002.7,0.0,0.050584609470828434,0.04989984767998312,0.0006847617908453119,1.3536959126672836,219.2
3,standard_dp,3024.3999999999996,3024.1,-0.29999999999972715,0.049675693919582764,0.048692444689295004,0.0009832492302877596,1.9793366789792428,216.94
3,dwell5_dp,3024.3999999999996,3063.0,38.600000000000364,0.049675693919582764,0.04755203664278302,0.002123657276799744,4.2750430023939225,216.94
3,energy_first,3024.3999999999996,3040.1,15.700000000000273,0.049675693919582764,0.046458994135102114,0.0032166997844806505,6.475399799523664,216.94
4,standard_dp,3023.35,3023.1,-0.25,0.049175554050055754,0.04867569189487495,0.0004998621551808025,1.0164850500148823,217.44
4,dwell5_dp,3023.35,3056.1,32.75,0.049175554050055754,0.04766936958368663,0.0015061844663691246,3.062872387438649,217.44
4,energy_first,3023.35,3039.0,15.650000000000091,0.049175554050055754,0.04651384389516871,0.0026617101548870453,5.412669376694141,217.44
5,standard_dp,3023.5499999999997,3023.8,0.25000000000045475,0.049589343597982075,0.04877408062739878,0.0008152629705832914,1.644028558217223,216.14
5,dwell5_dp,3023.5499999999997,3063.0,39.45000000000027,0.049589343597982075,0.04753814746705257,0.0020511961309295015,4.136364755215206,216.14
5,energy_first,3023.5499999999997,3039.0,15.450000000000273,0.049589343597982075,0.046539478543716616,0.003049865054265459,6.1502428404588985,216.14
6,standard_dp,2966.2999999999997,3041.1,74.80000000000018,0.05223039734158228,0.05137372856682565,0.0008566687747566318,1.6401728080950444,230.7
6,dwell5_dp,2966.2999999999997,3003.1,36.80000000000018,0.05223039734158228,0.048790350613664366,0.0034400467279179156,6.586292471451648,230.7
6,energy_first,2966.2999999999997,3041.1,74.80000000000018,0.05223039734158228,0.04992323980109204,0.00230715754049024,4.417269746966758,230.7
8,standard_dp,3024.2,3024.2,0.0,0.04947783311696438,0.04887258289585708,0.0006052502211073008,1.2232755215381041,216.44
8,dwell5_dp,3024.2,3063.0,38.80000000000018,0.04947783311696438,0.047538928815354126,0.0019389043016102558,3.918733257834338,216.44
8,energy_first,3024.2,3024.2,0.0,0.04947783311696438,0.047911976766425335,0.0015658563505390466,3.1647633938159823,216.44
10,standard_dp,3021.1,3021.1,0.0,0.04950558971728122,0.04886402965877949,0.0006415600585017306,1.2959345846915011,216.94
10,dwell5_dp,3021.1,3056.1,35.0,0.04950558971728122,0.04769664318487107,0.0018089465324101564,3.654024813643812,216.94
10,energy_first,3021.1,3021.1,0.0,0.04950558971728122,0.04730005620172771,0.002205533515553512,4.455120175618503,216.94
12,standard_dp,3023.15,3063.0,39.84999999999991,0.04969448280189255,0.04849589473778177,0.0011985880641107796,2.411913750846268,216.72
12,dwell5_dp,3023.15,3056.1,32.94999999999982,0.04969448280189255,0.04790772035491366,0.0017867624469788887,3.5954946026942847,216.72
12,energy_first,3023.15,3097.0,73.84999999999991,0.04969448280189255,0.046813344619163796,0.002881138182728754,5.797702320827918,216.72
14,standard_dp,2948.9,2963.0,14.099999999999909,0.05293094303510938,0.052017861845277555,0.000913081189831827,1.7250423617545891,218.52
14,dwell5_dp,2948.9,2986.9,38.0,0.05293094303510938,0.05002949236206599,0.0029014506730433917,5.481577517179026,218.52
14,energy_first,2948.9,2963.0,14.099999999999909,0.05293094303510938,0.05140537356392121,0.0015255694711881693,2.8821883452487422,218.52
15,standard_dp,3023.7999999999997,3023.8,4.547473508864641e-13,0.04893940749139786,0.04877898741802646,0.00016042007337140063,0.3277932480069394,216.52
15,dwell5_dp,3023.7999999999997,3063.0,39.20000000000027,0.04893940749139786,0.04754329683692612,0.0013961106544717397,2.852733055088864,216.52
15,energy_first,3023.7999999999997,3023.8,4.547473508864641e-13,0.04893940749139786,0.04742942507687483,0.001509982414523027,3.0854121288420613,216.52
42,standard_dp,2965.5499999999997,2970.0,4.450000000000273,0.05168977255908356,0.05135667920760759,0.00033309335147596597,0.644408622799071,247.7
42,dwell5_dp,2965.5499999999997,3003.1,37.55000000000018,0.05168977255908356,0.04862927638985064,0.003060496169232922,5.920893085251336,247.7
42,energy_first,2965.5499999999997,2981.0,15.450000000000273,0.05168977255908356,0.049274252517390885,0.0024155200416926745,4.6731102152396415,247.7
62,standard_dp,2959.7,2970.0,10.300000000000182,0.052668268936006866,0.05183643014632943,0.000831838789677436,1.5793926902897375,231.7
62,dwell5_dp,2959.7,2998.1,38.40000000000009,0.052668268936006866,0.04936480530485257,0.003303463631154295,6.272208481292744,231.7
62,energy_first,2959.7,2974.9,15.200000000000273,0.052668268936006866,0.05047151023459765,0.0021967587014092155,4.170933933823273,231.7
67,standard_dp,2968.799999999999,2970.0,1.2000000000011823,0.051768352848859375,0.051087875891129494,0.0006804769577298808,1.3144651515503516,249.6
67,dwell5_dp,2968.799999999999,3006.0,37.20000000000118,0.051768352848859375,0.04904806856108757,0.002720284287771803,5.2547244369814665,249.6
67,energy_first,2968.799999999999,2983.9,15.100000000001273,0.051768352848859375,0.049699969243455946,0.002068383605403429,3.995459564730972,249.6
