trip_no,comparison,primary,reference,primary_duration_s,reference_duration_s,duration_difference_s,primary_distance_km,reference_distance_km,primary_energy_kwh,reference_energy_kwh,energy_difference_kwh,energy_error_pct,error_formula,energy_profile_note,plot,max_mass_t,target_time_s,target_run_time_s,target_dwell_time_s
3,07_energy_first_vs_standard_dp,OT Energy-first DP,OT Standard DP,3810.0,3810.0,0.0,36.5039,36.5041,366.0245,383.62061111111115,-17.596111111111156,-4.5868523748362025,(OT Energy-first DP - OT Standard DP) / OT Standard DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip003\trip003_07_energy_first_vs_standard_dp.png,216.94,3810.4,3024.4,786.0
3,08_energy_first_vs_dwell5_dp,OT Energy-first DP,OT Dwell 5% DP,3810.0,3810.0,0.0,36.5039,36.504,366.0245,374.6359722222222,-8.611472222222233,-2.298623960518714,(OT Energy-first DP - OT Dwell 5% DP) / OT Dwell 5% DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip003\trip003_08_energy_first_vs_dwell5_dp.png,216.94,3810.4,3024.4,786.0
3,09_energy_first_vs_ot_history,OT Energy-first DP,OT History,3810.0,3810.0,0.0,36.5039,36.5037,366.0245,391.3670833333333,-25.342583333333323,-6.475399800485689,(OT Energy-first DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip003\trip003_09_energy_first_vs_ot_history.png,216.94,3810.4,3024.4,786.0
4,01_standard_dp_vs_ot_history,OT Standard DP,OT History,3811.0,3811.0,0.0,36.5039,36.5041,383.8271111111111,387.7687222222222,-3.941611111111115,-1.0164850554533018,(OT Standard DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\trip004_01_standard_dp_vs_ot_history.png,217.44,3811.35,3023.35,788.0
4,02_dwell5_dp_vs_ot_history,OT Dwell 5% DP,OT History,3811.0,3811.0,0.0,36.504,36.5041,375.89186111111115,387.7687222222222,-11.876861111111054,-3.06287238512875,(OT Dwell 5% DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\trip004_02_dwell5_dp_vs_ot_history.png,217.44,3811.35,3023.35,788.0
4,03_standard_dp_vs_dwell5_dp,OT Standard DP,OT Dwell 5% DP,3811.0,3811.0,0.0,36.5039,36.504,383.8271111111111,375.89186111111115,7.9352499999999395,2.1110459738457417,(OT Standard DP - OT Dwell 5% DP) / OT Dwell 5% DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\trip004_03_standard_dp_vs_dwell5_dp.png,217.44,3811.35,3023.35,788.0
4,04_standard_dp_vs_real_history,OT Standard DP,Real History,3811.0,3811.35,-0.34999999999990905,36.5039,36.526983611111135,383.8271111111111,408.2395556962782,-24.412444585167123,-5.979931205718212,(OT Standard DP - Real History) / Real History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\trip004_04_standard_dp_vs_real_history.png,217.44,3811.35,3023.35,788.0
4,05_dwell5_dp_vs_real_history,OT Dwell 5% DP,Real History,3811.0,3811.35,-0.34999999999990905,36.504,36.526983611111135,375.89186111111115,408.2395556962782,-32.34769458516706,-7.923704142288719,(OT Dwell 5% DP - Real History) / Real History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\trip004_05_dwell5_dp_vs_real_history.png,217.44,3811.35,3023.35,788.0
4,06_ot_history_vs_real_history,OT History,Real History,3811.0,3811.35,-0.34999999999990905,36.5041,36.526983611111135,387.7687222222222,408.2395556962782,-20.470833474056008,-5.014416949171355,(OT History - Real History) / Real History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\trip004_06_ot_history_vs_real_history.png,217.44,3811.35,3023.35,788.0
4,07_energy_first_vs_standard_dp,OT Energy-first DP,OT Standard DP,3811.0,3811.0,0.0,36.5039,36.5039,366.7800833333333,383.8271111111111,-17.04702777777777,-4.4413297769481845,(OT Energy-first DP - OT Standard DP) / OT Standard DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\trip004_07_energy_first_vs_standard_dp.png,217.44,3811.35,3023.35,788.0
