trip_no,comparison,sections,planned_energy_kwh,history_energy_kwh,saving_kwh,saving_pct,distance_km,tonne_km,distance_weighted_mass_t,max_mass_t,planned_unit_energy,history_unit_energy
4,dwell5_dp,26,375.89186109999997,387.76872222000003,11.876861120000058,3.062872387438649,36.5273,7885.3961020000015,215.8767853632763,217.44,0.04766936958368663,0.049175554050055754
5,dwell5_dp,26,374.41627776999997,390.57174997999994,16.15547220999997,4.136364755215206,36.53265000000001,7876.122603,215.59133002943935,216.14,0.04753814746705257,0.049589343597982075
6,dwell5_dp,26,392.34686109,420.00994443999997,27.663083349999965,6.586292471451648,36.52808,8041.484763999999,220.14528997965397,230.7,0.048790350613664366,0.05223039734158228
8,dwell5_dp,26,374.76519443,390.05022221,15.285027780000007,3.918733257834338,36.52855,7883.332750000002,215.8129120920486,216.44,0.047538928815354126,0.04947783311696438
10,dwell5_dp,26,375.71994444999996,389.96952775999995,14.249583309999991,3.654024813643812,36.53191,7877.282746999999,215.62745410792917,216.94,0.04769664318487107,0.04950558971728122
12,dwell5_dp,26,377.46236111,391.5401666700001,14.077805560000058,3.5954946026942847,36.534400000000005,7878.946405999999,215.65829481256017,216.72,0.04790772035491366,0.04969448280189255
14,dwell5_dp,26,395.3040833200001,418.22966670000005,22.925583379999978,5.481577517179026,36.526880000000006,7901.421035,216.31798376976076,218.52,0.05002949236206599,0.05293094303510938
15,dwell5_dp,26,374.41919442999995,385.41402779999993,10.99483336999998,2.852733055088864,36.528549999999996,7875.330894999998,215.5938545329612,216.52,0.04754329683692612,0.04893940749139786
42,dwell5_dp,26,407.0161389,432.63180556000003,25.615666660000045,5.920893085251336,37.08994000000001,8369.775763,225.66161506327583,247.7,0.04862927638985064,0.05168977255908356
62,dwell5_dp,26,398.66277778,425.34105553999996,26.678277759999958,6.272208481292744,36.53671000000001,8075.8503009999995,221.03386706137465,231.7,0.04936480530485257,0.052668268936006866
67,dwell5_dp,26,406.16491667,428.69147222,22.526555549999955,5.2547244369814665,36.53708,8280.956387999999,226.6452707222361,249.6,0.04904806856108757,0.051768352848859375
1,energy_first,26,394.46536108000004,399.8784999899999,5.413138909999873,1.3536959126672836,36.51707,7905.141587,216.47798103736145,219.2,0.04989984767998312,0.050584609470828434
3,energy_first,26,366.02450001,391.36708333999997,25.342583329999968,6.475399799523664,36.524,7878.442201,215.70589751943928,216.94,0.046458994135102114,0.049675693919582764
4,energy_first,26,366.7800833399999,387.76872222000003,20.98863888000011,5.412669376694141,36.5273,7885.3961020000015,215.8767853632763,217.44,0.04651384389516871,0.049175554050055754
5,energy_first,26,366.55063888999996,390.57174997999994,24.021111089999977,6.1502428404588985,36.53265000000001,7876.122603,215.59133002943935,216.14,0.046539478543716616,0.049589343597982075
6,energy_first,26,401.45697222999996,420.00994443999997,18.552972210000007,4.417269746966758,36.52808,8041.484763999999,220.14528997965397,230.7,0.04992323980109204,0.05223039734158228
8,energy_first,26,377.70605556000004,390.05022221,12.344166649999977,3.1647633938159823,36.52855,7883.332750000002,215.8129120920486,216.44,0.047911976766425335,0.04947783311696438
10,energy_first,26,372.59591665,389.96952775999995,17.373611109999956,4.455120175618503,36.53191,7877.282746999999,215.62745410792917,216.94,0.04730005620172771,0.04950558971728122
12,energy_first,26,368.83983334,391.5401666700001,22.700333330000092,5.797702320827918,36.534400000000005,7878.946405999999,215.65829481256017,216.72,0.046813344619163796,0.04969448280189255
14,energy_first,26,406.17549999,418.22966670000005,12.054166710000061,2.8821883452487422,36.526880000000006,7901.421035,216.31798376976076,218.52,0.05140537356392121,0.05293094303510938
15,energy_first,26,373.52241664,385.41402779999993,11.891611159999911,3.0854121288420613,36.528549999999996,7875.330894999998,215.5938545329612,216.52,0.04742942507687483,0.04893940749139786
42,energy_first,26,412.41444445999997,432.63180556000003,20.217361100000062,4.6731102152396415,37.08994000000001,8369.775763,225.66161506327583,247.7,0.049274252517390885,0.05168977255908356
62,energy_first,26,407.60036112,425.34105553999996,17.740694419999954,4.170933933823273,36.53671000000001,8075.8503009999995,221.03386706137465,231.7,0.05047151023459765,0.052668268936006866
67,energy_first,26,411.56327779,428.69147222,17.128194430000008,3.995459564730972,36.53708,8280.956387999999,226.6452707222361,249.6,0.049699969243455946,0.051768352848859375
