trip_no,comparison,sections,planned_energy_kwh,history_energy_kwh,saving_kwh,saving_pct,distance_km,tonne_km,distance_weighted_mass_t,max_mass_t,planned_unit_energy,history_unit_energy
1,standard_dp,26,396.80413883999995,399.8784999899999,3.074361149999959,0.7688238177538531,36.51707,7905.141587,216.47798103736145,219.2,0.05019570294509893,0.050584609470828434
3,standard_dp,26,383.6206111100001,391.36708333999997,7.746472229999881,1.9793366789792428,36.524,7878.442201,215.70589751943928,216.94,0.048692444689295004,0.049675693919582764
4,standard_dp,26,383.82711113,387.76872222000003,3.9416110900000376,1.0164850500148823,36.5273,7885.3961020000015,215.8767853632763,217.44,0.04867569189487495,0.049175554050055754
5,standard_dp,26,384.15063886999997,390.57174997999994,6.42111110999997,1.644028558217223,36.53265000000001,7876.122603,215.59133002943935,216.14,0.04877408062739878,0.049589343597982075
6,standard_dp,26,413.12105554,420.00994443999997,6.8888888999999836,1.6401728080950444,36.52808,8041.484763999999,220.14528997965397,230.7,0.05137372856682565,0.05223039734158228
8,standard_dp,26,385.2788333200001,390.05022221,4.771388889999912,1.2232755215381041,36.52855,7883.332750000002,215.8129120920486,216.44,0.04887258289585708,0.04947783311696438
10,standard_dp,26,384.91577778,389.96952775999995,5.053749979999964,1.2959345846915011,36.53191,7877.282746999999,215.62745410792917,216.94,0.04886402965877949,0.04950558971728122
12,standard_dp,26,382.09655554999995,391.5401666700001,9.443611120000128,2.411913750846268,36.534400000000005,7878.946405999999,215.65829481256017,216.72,0.04849589473778177,0.04969448280189255
14,standard_dp,26,411.01502778,418.22966670000005,7.214638920000027,1.7250423617545891,36.526880000000006,7901.421035,216.31798376976076,218.52,0.052017861845277555,0.05293094303510938
15,standard_dp,26,384.15066663999994,385.41402779999993,1.263361159999988,0.3277932480069394,36.528549999999996,7875.330894999998,215.5938545329612,216.52,0.04877898741802646,0.04893940749139786
42,standard_dp,26,429.8438889000001,432.63180556000003,2.7879166599999508,0.644408622799071,37.08994000000001,8369.775763,225.66161506327583,247.7,0.05135667920760759,0.05168977255908356
62,standard_dp,26,418.62325,425.34105553999996,6.717805539999972,1.5793926902897375,36.53671000000001,8075.8503009999995,221.03386706137465,231.7,0.05183643014632943,0.052668268936006866
67,standard_dp,26,423.0564722099999,428.69147222,5.635000010000056,1.3144651515503516,36.53708,8280.956387999999,226.6452707222361,249.6,0.051087875891129494,0.051768352848859375
1,dwell5_dp,26,380.2124722,399.8784999899999,19.66602778999993,4.918000790363006,36.51707,7905.141587,216.47798103736145,219.2,0.04809685797725105,0.050584609470828434
3,dwell5_dp,26,374.6359722300001,391.36708333999997,16.73111110999986,4.2750430023939225,36.524,7878.442201,215.70589751943928,216.94,0.04755203664278302,0.049675693919582764
