规划方式,样本趟次数,代码预计节能量平均值(kWh),代码预计节能率平均值(%),新版Simu节能量平均值(kWh),新版Simu节能率平均值(%),OpenTrack节能量平均值(kWh),OpenTrack节能率平均值(%)
标准 DP,10,14.5814,3.4637,7.9486,1.8981,5.5819,1.4033
Energy First,10,27.9858,6.7355,21.9320,5.3398,17.0682,4.3194
停站放宽 5% DP,10,25.2852,6.0051,18.9824,4.5387,16.9625,4.2481
