趟次,场景,场景名称,最大载重(t),代码总能耗(kWh),Simu物理机械能耗(kWh),OpenTrack机械能耗(kWh),Simu-代码(kWh),Simu相对代码误差(%),OT-代码(kWh),OT相对代码误差(%),OT-Simu(kWh),OT相对Simu误差(%),代码里程(km),Simu里程(km),OT里程(km),代码能耗曲线口径,图文件
1,history,规划前：历史运行,219.2,424.85531044890985,416.1247077654954,399.8785,-8.730602683414475,-2.0549590575176193,-24.976810448909873,-5.878898023545691,-16.2462077654954,-3.904168020383652,36.50536611111112,36.50536611111112,36.5041,历史逐点实测累计能耗,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip001\00_history_code_simu_ot_es_vs.png
1,standard_dp,规划后：标准 DP,219.2,408.45389000000006,410.19910355809924,396.8041388888889,1.7452135580991808,0.42727309026220334,-11.649751111111186,-2.8521581985940165,-13.394964669210367,-3.2654787767748368,36.502,36.502,36.5041,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip001\01_standard_dp_code_simu_ot_es_vs.png
1,energy_first,规划后：Energy First,219.2,404.0774600000001,407.2222955796001,394.46536111111106,3.1448355795999987,0.7782754275875715,-9.612098888889022,-2.378776309099008,-12.756934468489021,-3.1326709286219354,36.502,36.502,36.5041,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip001\02_energy_first_code_simu_ot_es_vs.png
1,dwell5_dp,规划后：历史停站时间放宽 5% DP,219.2,391.2427799999999,394.25067387567464,380.2124722222222,3.0078938756747107,0.7688049542217013,-11.03030777777775,-2.8193000207640257,-14.038201653452461,-3.560729907053843,36.502,36.502,36.5041,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip001\03_dwell5_dp_code_simu_ot_es_vs.png
3,history,规划前：历史运行,216.94,408.71158992365974,406.4255332855291,391.3670833333333,-2.286056638130617,-0.5593324717211011,-17.344506590326432,-4.243703143717085,-15.058449952195815,-3.7050944684660574,36.5054,36.5054,36.5037,历史逐点实测累计能耗,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip003\00_history_code_simu_ot_es_vs.png
3,standard_dp,规划后：标准 DP,216.94,392.88197,396.36751223852133,383.62061111111115,3.4855422385213046,0.8871728673426538,-9.261358888888878,-2.357287836061522,-12.746901127410183,-3.215929846374368,36.502,36.502,36.5041,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip003\01_standard_dp_code_simu_ot_es_vs.png
3,energy_first,规划后：Energy First,216.94,371.52754000000004,373.78800725163444,366.0245,2.2604672516343953,0.6084252197385946,-5.503040000000055,-1.4811930227299046,-7.763507251634451,-2.0769813640404067,36.502,36.502,36.5039,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip003\02_energy_first_code_simu_ot_es_vs.png
3,dwell5_dp,规划后：历史停站时间放宽 5% DP,216.94,386.98488,389.54017724653545,374.6359722222222,2.555297246535474,0.6603093243682995,-12.348907777777754,-3.191056916171442,-14.904205024313228,-3.826102131406212,36.502,36.502,36.504,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip003\03_dwell5_dp_code_simu_ot_es_vs.png
4,history,规划前：历史运行,217.44,408.2450974906043,404.1441911846973,387.7687222222222,-4.10090630590696,-1.0045206497553452,-20.47637526838207,-5.015706347546116,-16.37546896247511,-4.051887746913423,36.50559013888889,36.50559013888889,36.5041,历史逐点实测累计能耗,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip004\00_history_code_simu_ot_es_vs.png
4,standard_dp,规划后：标准 DP,217.44,394.40290000000005,397.56108598314074,383.8271111111111,3.1581859831406973,0.8007512072402858,-10.575788888888951,-2.681468338313169,-13.733974872029648,-3.454557137569561,36.502,36.502,36.5039,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip004\01_standard_dp_code_simu_ot_es_vs.png
