趟次,场景,场景名称,最大载重(t),代码总能耗(kWh),Simu物理机械能耗(kWh),OpenTrack机械能耗(kWh),Simu-代码(kWh),Simu相对代码误差(%),OT-代码(kWh),OT相对代码误差(%),OT-Simu(kWh),OT相对Simu误差(%),代码里程(km),Simu里程(km),OT里程(km),代码能耗曲线口径,图文件
4,energy_first,规划后：Energy First,217.44,372.61598999999995,374.4353887434451,366.7800833333333,1.8193987434451628,0.48827715188635973,-5.835906666666631,-1.566198666532435,-7.655305410111794,-2.0444930261004366,36.502,36.502,36.5039,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip004\02_energy_first_code_simu_ot_es_vs.png
4,dwell5_dp,规划后：历史停站时间放宽 5% DP,217.44,388.46290000000005,390.3598943435107,375.89186111111115,1.8969943435106416,0.4883334659527696,-12.571038888888893,-3.23609767853993,-14.468033232399534,-3.706331885536348,36.502,36.502,36.504,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip004\03_dwell5_dp_code_simu_ot_es_vs.png
5,history,规划前：历史运行,216.14,405.40634047978483,403.9846314439088,390.57174999999995,-1.421709035876006,-0.3506874199829882,-14.834590479784879,-3.6591905450291278,-13.412881443908873,-3.320146461009912,36.50539680555556,36.50539680555556,36.5039,历史逐点实测累计能耗,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip005\00_history_code_simu_ot_es_vs.png
5,standard_dp,规划后：标准 DP,216.14,396.18694,397.9058740234827,384.15063888888886,1.7189340234826886,0.4338694313050018,-12.036301111111129,-3.038035809840458,-13.755235134593818,-3.456906779361102,36.502,36.502,36.504,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip005\01_standard_dp_code_simu_ot_es_vs.png
5,energy_first,规划后：Energy First,216.14,371.71648999999996,373.9710426794238,366.5506388888889,2.2545526794238526,0.6065247951264827,-5.165851111111067,-1.389728798717288,-7.42040379053492,-1.9842188147427906,36.502,36.502,36.5039,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip005\02_energy_first_code_simu_ot_es_vs.png
5,dwell5_dp,规划后：历史停站时间放宽 5% DP,216.14,386.67724000000004,389.2881435503284,374.4162777777778,2.6109035503283735,0.6752152131654744,-12.260962222222247,-3.170851799351378,-14.87186577255062,-3.8202719550917785,36.502,36.502,36.504,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip005\03_dwell5_dp_code_simu_ot_es_vs.png
6,history,规划前：历史运行,230.7,446.28775558993755,441.6459164653709,420.00994444444444,-4.641839124566673,-1.0401000400359925,-26.277811145493104,-5.888086961013991,-21.63597202092643,-4.898940806265304,36.505918750000006,36.505918750000006,36.504,历史逐点实测累计能耗,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip006\00_history_code_simu_ot_es_vs.png
6,standard_dp,规划后：标准 DP,230.7,428.12885,430.95548027591775,413.12105555555553,2.8266302759177506,0.6602288717328325,-15.007794444444471,-3.505438711837446,-17.83442472036222,-4.138345034838354,36.502,36.502,36.504,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip006\01_standard_dp_code_simu_ot_es_vs.png
6,energy_first,规划后：Energy First,230.7,425.10734,428.95686792890035,401.45697222222225,3.8495279289003292,0.9055425692956346,-23.650367777777774,-5.563387303022755,-27.499895706678103,-6.410876655141051,36.502,36.502,36.504,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip006\02_energy_first_code_simu_ot_es_vs.png
6,dwell5_dp,规划后：历史停站时间放宽 5% DP,230.7,408.24520000000007,408.2777995492577,392.3468611111111,0.032599549257611216,0.007985286601682325,-15.898338888888986,-3.8943112837307052,-15.930938438146597,-3.9019849856481286,36.502,36.502,36.504,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip006\03_dwell5_dp_code_simu_ot_es_vs.png
8,history,规划前：历史运行,216.44,407.9641195807223,403.8908582809911,390.05022222222226,-4.0732612997312,-0.9984361624540463,-17.913897358500037,-4.391047275655202,-13.840636058768837,-3.4268257810231897,36.50575819444445,36.50575819444445,36.5041,历史逐点实测累计能耗,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip008\00_history_code_simu_ot_es_vs.png
8,standard_dp,规划后：标准 DP,216.44,397.4142200000001,397.233761041191,385.2788333333333,-0.1804589588091403,-0.045408279253102785,-12.135386666666818,-3.0535864234215913,-11.954927707857678,-3.0095447266422095,36.502,36.502,36.5038,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip008\01_standard_dp_code_simu_ot_es_vs.png
8,energy_first,规划后：Energy First,216.44,386.1146600000001,386.1364777608725,377.70605555555557,0.021817760872409053,0.005650591166988855,-8.408604444444506,-2.177748041072697,-8.430422205316916,-2.1832752642804514,36.502,36.502,36.5038,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip008\02_energy_first_code_simu_ot_es_vs.png
8,dwell5_dp,规划后：历史停站时间放宽 5% DP,216.44,387.37873,389.67125597718007,374.76519444444443,2.2925259771800484,0.5918048151946929,-12.613535555555586,-3.2561249698855654,-14.906061532735635,-3.8252915256363083,36.502,36.502,36.504,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip008\03_dwell5_dp_code_simu_ot_es_vs.png
10,history,规划前：历史运行,216.94,410.2172093902154,405.6647839907598,389.9695277777778,-4.552425399455558,-1.1097597310026808,-20.24768161243759,-4.935844023349388,-15.69525621298203,-3.8690211308407623,36.50566638888888,36.50566638888888,36.5041,历史逐点实测累计能耗,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip010\00_history_code_simu_ot_es_vs.png
10,standard_dp,规划后：标准 DP,216.94,394.19379999999995,396.88421503943823,384.91577777777775,2.690415039438278,0.6825107445724105,-9.278022222222205,-2.353670256158825,-11.968437261660483,-3.015599212095443,36.502,36.502,36.504,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip010\01_standard_dp_code_simu_ot_es_vs.png
10,energy_first,规划后：Energy First,216.94,377.62724,379.5614736926434,372.59591666666665,1.9342336926434314,0.5122071417950229,-5.031323333333319,-1.3323518010335587,-6.96555702597675,-1.8351591267182277,36.502,36.502,36.504,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip010\02_energy_first_code_simu_ot_es_vs.png
10,dwell5_dp,规划后：历史停站时间放宽 5% DP,216.94,387.18899,389.95165880160266,375.7199444444444,2.762668801602672,0.7135194628345893,-11.469045555555567,-2.962131117301545,-14.23171435715824,-3.6496099031595524,36.502,36.502,36.504,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip010\03_dwell5_dp_code_simu_ot_es_vs.png
12,history,规划前：历史运行,216.72,408.88999438743747,405.2443521557018,391.54016666666666,-3.6456422317356783,-0.8915948743615638,-17.349827720770804,-4.243152916168264,-13.704185489035126,-3.3817091875890584,36.50561069444445,36.50561069444445,36.5039,历史逐点实测累计能耗,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip012\00_history_code_simu_ot_es_vs.png
12,standard_dp,规划后：标准 DP,216.72,396.90025,401.11506035859406,382.0965555555556,4.214810358594036,1.0619318981517487,-14.803694444444432,-3.7298274426494893,-19.018504803038468,-4.741408808244711,36.502,36.502,36.5039,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip012\01_standard_dp_code_simu_ot_es_vs.png
12,energy_first,规划后：Energy First,216.72,385.51737000000014,386.0962717202963,368.83983333333333,0.5789017202961304,0.1501622923750829,-16.67753666666681,-4.3260143289177355,-17.25643838696294,-4.469465169936735,36.502,36.502,36.504,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip012\02_energy_first_code_simu_ot_es_vs.png
12,dwell5_dp,规划后：历史停站时间放宽 5% DP,216.72,387.43206,389.9809465482765,377.4623611111111,2.5488865482765277,0.6578925214078897,-9.9696988888889,-2.5732766898250237,-12.518585437165427,-3.2100505288700627,36.502,36.502,36.5041,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip012\03_dwell5_dp_code_simu_ot_es_vs.png
14,history,规划前：历史运行,218.52,445.9760666509863,441.5006194976938,418.2296666666667,-4.475447153292521,-1.0035173382510083,-27.746399984319623,-6.221499775240968,-23.270952831027103,-5.270876597523928,36.50569750000001,36.50569750000001,36.5037,历史逐点实测累计能耗,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip014\00_history_code_simu_ot_es_vs.png
14,standard_dp,规划后：标准 DP,218.52,419.19363999999996,422.35607351284074,411.01502777777773,3.162433512840778,0.7544087531577955,-8.178612222222228,-1.951034424621096,-11.341045735063005,-2.6851859003084058,36.502,36.502,36.504,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip014\01_standard_dp_code_simu_ot_es_vs.png
14,energy_first,规划后：Energy First,218.52,415.6330499999999,416.85445321821715,406.1755,1.2214032182172332,0.29386575928387637,-9.457549999999912,-2.2754566798766156,-10.678953218217146,-2.5617942031740446,36.502,36.502,36.5041,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip014\02_energy_first_code_simu_ot_es_vs.png
14,dwell5_dp,规划后：历史停站时间放宽 5% DP,218.52,406.7472099999999,407.5368627084999,395.3040833333333,0.7896527085000002,0.19413844498158955,-11.443126666666558,-2.813326406508495,-12.232779375166558,-3.001637519086546,36.502,36.502,36.504,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip014\03_dwell5_dp_code_simu_ot_es_vs.png
15,history,规划前：历史运行,216.52,403.27903044305555,399.355510131103,385.4140277777778,-3.9235203119525295,-0.9729046183338672,-17.865002665277757,-4.429935929386331,-13.941482353325227,-3.490995366196006,36.50618555555557,36.50618555555557,36.5041,历史逐点实测累计能耗,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip015\00_history_code_simu_ot_es_vs.png
15,standard_dp,规划后：标准 DP,216.52,396.2622200000001,397.9170574031228,384.1506666666666,1.6548374031226558,0.4176117024536569,-12.111553333333518,-3.0564491697779097,-13.766390736456174,-3.4596131229704197,36.502,36.502,36.504,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip015\01_standard_dp_code_simu_ot_es_vs.png
15,energy_first,规划后：Energy First,216.52,380.03741,381.6384364352606,373.52241666666663,1.6010264352605645,0.42128127208859895,-6.514993333333393,-1.7143031611896822,-8.116019768593958,-2.126625358913691,36.502,36.502,36.504,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip015\02_energy_first_code_simu_ot_es_vs.png
15,dwell5_dp,规划后：历史停站时间放宽 5% DP,216.52,386.62075,389.30001893913203,374.4191944444445,2.6792689391320437,0.6929966741650685,-12.201555555555501,-3.155949481644609,-14.880824494687545,-3.822456658296283,36.502,36.502,36.504,规划表区间总能耗按区间里程线性展开,D:\energy_conservation\output\simu_ot_code_trip_compare10\trip015\03_dwell5_dp_code_simu_ot_es_vs.png
