class,curve_source,parent_ref,supporting_refs,real_sample_count,sample_reliability,template_source,template_run_id,template_distance_to_median_rmse_mps,center_time_median_s,time_s,samples,peak_v_kmh
class2,real,class2,class2,44,strong,medoid_real_run,07/0170101|70101|5014|UP,0.074111,110.78,110.78,44,77.83
class3,real,class3,class3,63,strong,medoid_real_run,07/2772798|72798|5012|UP,0.151423,114.8,114.8,63,70.39
