section,segment,rows,duration_s,distance_m,real_energy_wh,fusion_energy_wh,fusion_error_pct,run_class,quality_label,service_no,date_service,figure
布政-张家潭,16,2320,115.95,1427.817,13033.972,12902.075,-1.012,3,0,70316,07/0370316,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_016_07_0370316.jpg
布政-张家潭,17,2329,116.4,1427.897,12920.737,12856.088,-0.5,3,0,70317,07/0370317,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_017_07_0370317.jpg
布政-张家潭,18,2323,116.1,1428.442,14346.184,14178.174,-1.171,3,0,70318,07/0370318,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_018_07_0370318.jpg
布政-张家潭,19,2330,116.45,1428.08,13319.016,13313.098,-0.044,3,0,70319,07/0370319,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_019_07_0370319.jpg
布政-张家潭,20,2318,115.85,1428.109,13232.206,13198.652,-0.254,3,0,70320,07/0370320,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_020_07_0370320.jpg
布政-张家潭,21,2348,117.35,1428.649,14300.658,14187.687,-0.79,3,0,70321,07/0370321,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_021_07_0370321.jpg
布政-张家潭,22,2247,112.3,1426.428,13751.421,13853.98,0.746,2,1,70322,07/0370322,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_022_07_0370322.jpg
布政-张家潭,23,2337,116.8,1428.534,13101.882,13119.936,0.138,3,0,70423,07/0470423,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_023_07_0470423.jpg
布政-张家潭,24,2334,116.65,1428.27,13539.041,13342.954,-1.448,3,0,70424,07/0470424,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_024_07_0470424.jpg
布政-张家潭,25,2283,114.1,1427.539,15964.229,15849.68,-0.718,3,0,70425,07/0470425,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_025_07_0470425.jpg
布政-张家潭,26,2403,120.1,1428.059,15084.66,14590.498,-3.276,4,0,70526,07/0570526,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_026_07_0570526.jpg
布政-张家潭,27,2358,117.85,1428.837,14073.769,13916.908,-1.115,3,0,70527,07/0570527,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_027_07_0570527.jpg
布政-张家潭,28,2329,116.4,1427.934,13389.765,13402.48,0.095,3,0,70528,07/0570528,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_028_07_0570528.jpg
布政-张家潭,29,2367,118.3,1428.842,14067.717,14022.158,-0.324,4,0,70529,07/0570529,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_029_07_0570529.jpg
布政-张家潭,30,2355,117.7,1428.078,13152.121,13250.437,0.748,3,0,70530,07/0570530,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_030_07_0570530.jpg
布政-张家潭,31,2338,116.85,1428.205,13372.608,13387.08,0.108,3,0,70531,07/0570531,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_031_07_0570531.jpg
布政-张家潭,32,2398,119.85,1428.702,13230.349,13242.214,0.09,4,1,70532,07/0570532,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_032_07_0570532.jpg
布政-张家潭,33,2364,118.15,1428.624,14500.537,14011.277,-3.374,4,0,70633,07/0670633,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_033_07_0670633.jpg
布政-张家潭,34,2354,117.65,1428.427,14000.412,13858.746,-1.012,3,0,70634,07/0670634,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_034_07_0670634.jpg
布政-张家潭,35,2331,116.5,1428.127,13342.182,13368.623,0.198,3,0,70635,07/0670635,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_035_07_0670635.jpg
布政-张家潭,36,2381,119.0,1428.515,14116.833,14086.055,-0.218,4,0,70636,07/0670636,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_036_07_0670636.jpg
布政-张家潭,37,2379,118.9,1428.202,14062.105,13994.631,-0.48,4,0,70637,07/0670637,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_037_07_0670637.jpg
布政-张家潭,38,2353,117.6,1429.219,14333.064,14228.032,-0.733,3,0,70638,07/0670638,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_038_07_0670638.jpg
布政-张家潭,39,2380,118.95,1428.567,14175.86,14103.429,-0.511,4,0,70639,07/0670639,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_039_07_0670639.jpg
布政-张家潭,40,2348,117.35,1429.264,13056.355,13097.797,0.317,3,1,70640,07/0670640,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_040_07_0670640.jpg
布政-张家潭,41,2337,116.8,1450.642,13470.935,13792.218,2.385,3,0,70841,07/0870841,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_041_07_0870841.jpg
布政-张家潭,42,2347,117.3,1451.906,14318.311,14537.5,1.531,3,0,70842,07/0870842,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_042_07_0870842.jpg
布政-张家潭,43,2378,118.85,1450.917,14004.262,14366.666,2.588,4,0,70843,07/0870843,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_043_07_0870843.jpg
布政-张家潭,44,2369,118.4,1451.301,14168.869,14400.217,1.633,4,0,70844,07/0870844,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_044_07_0870844.jpg
布政-张家潭,45,2352,117.55,1451.503,13436.774,13957.213,3.873,3,0,70845,07/0870845,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_045_07_0870845.jpg
布政-张家潭,46,2295,114.7,1450.909,13150.557,13346.06,1.487,3,0,70846,07/0870846,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_046_07_0870846.jpg
布政-张家潭,47,2335,116.7,1450.743,13389.294,13849.39,3.436,3,1,70847,07/0870847,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_047_07_0870847.jpg
布政-张家潭,48,2339,116.9,1451.024,14023.356,14066.027,0.304,3,0,70948,07/0970948,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_048_07_0970948.jpg
布政-张家潭,49,2317,115.8,1450.938,13178.686,13474.246,2.243,3,0,70949,07/0970949,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_049_07_0970949.jpg
布政-张家潭,50,2327,116.3,1451.293,13988.037,14277.083,2.066,3,0,70950,07/0970950,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_050_07_0970950.jpg
布政-张家潭,51,2289,114.4,1450.715,13851.154,14023.629,1.245,3,0,70951,07/0970951,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_051_07_0970951.jpg
布政-张家潭,52,2347,117.3,1450.385,14192.847,14442.187,1.757,3,0,70952,07/0970952,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_052_07_0970952.jpg
布政-张家潭,53,2320,115.95,1450.764,13880.257,14160.758,2.021,3,0,70953,07/0970953,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_053_07_0970953.jpg
布政-张家潭,54,2325,116.2,1451.493,13295.738,13655.021,2.702,3,0,70954,07/0970954,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_054_07_0970954.jpg
布政-张家潭,55,2263,113.1,1450.436,15960.8,15945.296,-0.097,2,1,70955,07/0970955,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_055_07_0970955.jpg
布政-张家潭,56,2357,117.8,1451.079,14472.389,14671.887,1.378,3,0,71056,07/1071056,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_056_07_1071056.jpg
布政-张家潭,57,2332,116.55,1450.685,13670.027,13875.858,1.506,3,0,71057,07/1071057,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_057_07_1071057.jpg
布政-张家潭,58,2334,116.65,1451.452,13762.044,14171.55,2.976,3,0,71058,07/1071058,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_058_07_1071058.jpg
布政-张家潭,59,2390,119.45,1450.416,13202.378,13309.12,0.809,4,1,71059,07/1071059,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_059_07_1071059.jpg
布政-张家潭,60,2377,118.8,1429.415,14289.618,13938.889,-2.454,4,0,71560,07/1571560,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_060_07_1571560.jpg
布政-张家潭,61,2291,114.5,1428.296,15917.849,15740.121,-1.117,3,0,71561,07/1571561,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_061_07_1571561.jpg
布政-张家潭,62,2361,118.0,1428.247,14196.142,14130.299,-0.464,3,0,71562,07/1571562,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_062_07_1571562.jpg
布政-张家潭,63,2358,117.85,1429.551,14458.716,14445.457,-0.092,3,0,71563,07/1571563,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_063_07_1571563.jpg
布政-张家潭,64,2348,117.35,1428.695,13969.026,13985.626,0.119,3,0,71564,07/1571564,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_064_07_1571564.jpg
布政-张家潭,65,2337,116.8,1428.589,14554.708,14360.921,-1.331,3,0,71565,07/1571565,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_065_07_1571565.jpg
布政-张家潭,66,2338,116.85,1428.355,13448.762,13274.706,-1.294,3,0,71666,07/1671666,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_066_07_1671666.jpg
布政-张家潭,67,2324,116.15,1428.426,13353.889,13179.223,-1.308,3,0,71667,07/1671667,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_067_07_1671667.jpg
布政-张家潭,68,2343,117.1,1428.445,14626.437,14439.443,-1.278,3,0,71668,07/1671668,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_068_07_1671668.jpg
布政-张家潭,69,2341,117.0,1429.105,14313.875,14075.084,-1.668,3,0,71669,07/1671669,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_069_07_1671669.jpg
布政-张家潭,70,2345,117.2,1428.735,14507.254,14347.851,-1.099,3,0,71670,07/1671670,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_070_07_1671670.jpg
布政-张家潭,71,2326,116.25,1428.226,13554.292,13376.174,-1.314,3,0,71671,07/1671671,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_071_07_1671671.jpg
布政-张家潭,72,2345,117.2,1429.384,14429.57,14261.636,-1.164,3,1,71672,07/1671672,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_072_07_1671672.jpg
布政-张家潭,73,2369,118.4,1428.53,13987.764,13844.535,-1.024,4,0,71773,07/1771773,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_073_07_1771773.jpg
布政-张家潭,74,2383,119.1,1428.199,14861.631,14441.473,-2.827,4,0,71874,07/1871874,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_074_07_1871874.jpg
布政-张家潭,75,2280,113.95,1428.431,16150.875,15957.267,-1.199,3,0,71875,07/1871875,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_075_07_1871875.jpg
布政-张家潭,76,2350,117.45,1428.87,13120.795,13084.754,-0.275,3,0,71876,07/1871876,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_076_07_1871876.jpg
布政-张家潭,77,2330,116.45,1428.581,13302.627,13158.847,-1.081,3,0,71877,07/1871877,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_077_07_1871877.jpg
布政-张家潭,78,2326,116.25,1428.925,13329.53,13311.353,-0.136,3,0,71878,07/1871878,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_078_07_1871878.jpg
布政-张家潭,79,2340,116.95,1428.71,14247.813,14160.144,-0.615,3,0,71879,07/1871879,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_079_07_1871879.jpg
布政-张家潭,80,2334,116.65,1429.777,13460.448,13268.26,-1.428,3,0,71880,07/1871880,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_080_07_1871880.jpg
布政-张家潭,81,2368,118.35,1428.757,12993.04,13123.549,1.004,4,1,71881,07/1871881,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_081_07_1871881.jpg
布政-张家潭,82,2319,115.9,1428.884,13362.149,13279.667,-0.617,3,0,71982,07/1971982,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_082_07_1971982.jpg
布政-张家潭,83,2338,116.85,1428.514,13830.341,13777.938,-0.379,3,0,71983,07/1971983,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_083_07_1971983.jpg
布政-张家潭,84,2278,113.85,1428.244,16393.58,16269.793,-0.755,3,0,71984,07/1971984,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_084_07_1971984.jpg
布政-张家潭,85,2303,115.1,1428.979,13255.145,13108.623,-1.105,3,0,71985,07/1971985,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_085_07_1971985.jpg
布政-张家潭,86,2270,113.45,1428.427,16097.289,15955.709,-0.88,2,0,71986,07/1971986,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_086_07_1971986.jpg
布政-张家潭,87,2316,115.75,1428.739,14708.423,14439.41,-1.829,3,0,71987,07/1971987,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_087_07_1971987.jpg
布政-张家潭,88,2366,118.25,1428.735,14069.765,13983.218,-0.615,4,1,71988,07/1971988,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_088_07_1971988.jpg
布政-张家潭,89,2352,117.55,1451.291,13171.391,13609.126,3.323,3,0,72689,07/2672689,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_089_07_2672689.jpg
布政-张家潭,90,2349,117.4,1451.493,14178.393,14545.419,2.589,3,0,72690,07/2672690,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_090_07_2672690.jpg
布政-张家潭,91,2364,118.15,1451.117,14086.228,14410.592,2.303,4,0,72691,07/2672691,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_091_07_2672691.jpg
布政-张家潭,92,2383,119.1,1451.019,12457.257,12955.507,4.0,4,0,72692,07/2672692,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_092_07_2672692.jpg
布政-张家潭,93,2282,114.05,1450.39,16094.342,16345.953,1.563,3,6,72693,07/2672693,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_093_07_2672693.jpg
布政-张家潭,94,2286,114.25,1451.391,16082.568,16313.621,1.437,3,0,72694,07/2672694,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_094_07_2672694.jpg
布政-张家潭,95,2379,118.9,1451.566,14038.7,14471.301,3.081,4,1,72695,07/2672695,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_095_07_2672695.jpg
布政-张家潭,96,2415,120.7,1450.662,14160.654,14241.251,0.569,4,0,72796,07/2772796,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_096_07_2772796.jpg
布政-张家潭,97,2355,117.7,1451.499,13207.805,13494.842,2.173,3,0,72797,07/2772797,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_097_07_2772797.jpg
布政-张家潭,98,2369,118.4,1452.201,14242.17,14612.514,2.6,4,0,72798,07/2772798,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_098_07_2772798.jpg
布政-张家潭,99,2297,114.8,1452.145,16004.631,16246.761,1.513,3,0,72799,07/2772799,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_099_07_2772799.jpg
布政-张家潭,100,2364,118.15,1451.123,13603.092,13951.973,2.565,4,0,72800,07/2772800,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_100_07_2772800.jpg
布政-张家潭,101,2364,118.15,1451.434,13568.988,13975.955,2.999,4,0,72801,07/2772801,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_101_07_2772801.jpg
布政-张家潭,102,2345,117.2,1451.267,14291.983,14657.798,2.56,3,0,72802,07/2772802,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_102_07_2772802.jpg
布政-张家潭,103,2286,114.25,1452.398,14434.283,14825.58,2.711,3,1,72803,07/2772803,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_103_07_2772803.jpg
布政-张家潭,104,2355,117.7,1450.906,14439.819,14690.649,1.737,3,0,72904,07/2872904,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_104_07_2872904.jpg
布政-张家潭,105,2322,116.05,1451.678,13004.386,13359.728,2.732,3,0,72905,07/2872905,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_105_07_2872905.jpg
布政-张家潭,106,2369,118.4,1451.578,14100.85,14438.211,2.392,4,0,72906,07/2872906,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_106_07_2872906.jpg
布政-张家潭,107,2368,118.35,1451.134,14180.193,14567.719,2.733,4,0,72907,07/2872907,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_107_07_2872907.jpg
布政-张家潭,108,2374,118.65,1451.379,14104.775,14473.315,2.613,4,0,72908,07/2872908,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_108_07_2872908.jpg
布政-张家潭,109,2358,117.85,1451.456,14478.123,14676.857,1.373,3,0,72909,07/2872909,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_109_07_2872909.jpg
布政-张家潭,110,2326,116.25,1451.342,13324.694,13786.236,3.464,3,1,72910,07/2872910,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_110_07_2872910.jpg
布政-张家潭,111,2359,117.9,1451.883,14190.528,14620.92,3.033,3,0,73011,07/2973011,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_111_07_2973011.jpg
布政-张家潭,112,2335,116.7,1451.374,14096.362,14361.604,1.882,3,0,73012,07/2973012,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_112_07_2973012.jpg
布政-张家潭,113,2378,118.85,1451.51,12872.848,13329.181,3.545,4,0,73013,07/2973013,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_113_07_2973013.jpg
布政-张家潭,114,2396,119.75,1451.12,13236.666,13595.232,2.709,4,0,73014,07/2973014,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_114_07_2973014.jpg
布政-张家潭,115,2287,114.3,1451.234,13294.634,13449.081,1.162,3,0,73015,07/2973015,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_115_07_2973015.jpg
布政-张家潭,116,2319,115.9,1451.456,14310.343,14447.586,0.959,3,0,73016,07/2973016,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_116_07_2973016.jpg
布政-张家潭,117,2359,117.9,1451.838,13043.445,13432.314,2.981,3,1,73017,07/2973017,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_117_07_2973017.jpg
布政-张家潭,118,2360,117.95,1450.969,13795.616,14162.948,2.663,3,0,73118,07/3073118,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_118_07_3073118.jpg
布政-张家潭,119,2362,118.05,1451.556,13783.323,14087.139,2.204,4,0,73119,07/3073119,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_119_07_3073119.jpg
布政-张家潭,120,2385,119.2,1451.217,13823.211,14270.446,3.235,4,0,73120,07/3073120,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_120_07_3073120.jpg
布政-张家潭,121,2278,113.85,1451.037,15828.542,16125.343,1.875,3,0,73121,07/3073121,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_121_07_3073121.jpg
布政-张家潭,122,2375,118.7,1451.992,13925.681,14348.008,3.033,4,0,73122,07/3073122,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_122_07_3073122.jpg
布政-张家潭,123,2351,117.5,1451.09,13660.883,14066.588,2.97,3,0,73123,07/3073123,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_123_07_3073123.jpg
