section,segment,rows,duration_s,distance_m,real_energy_wh,fusion_energy_wh,fusion_error_pct,run_class,quality_label,service_no,date_service,figure
布政-张家潭,0,2351,117.5,1427.842,13559.418,13111.576,-3.303,3,0,70100,07/0170100,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_000_07_0170100.jpg
布政-张家潭,1,2271,113.5,1428.479,15863.828,15757.855,-0.668,2,0,70101,07/0170101,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_001_07_0170101.jpg
布政-张家潭,2,2350,117.45,1428.316,13422.513,13473.041,0.376,3,0,70102,07/0170102,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_002_07_0170102.jpg
布政-张家潭,3,2352,117.55,1428.844,14208.105,14012.932,-1.374,3,0,70103,07/0170103,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_003_07_0170103.jpg
布政-张家潭,4,2327,116.3,1428.646,13108.532,13146.925,0.293,3,0,70104,07/0170104,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_004_07_0170104.jpg
布政-张家潭,5,2347,117.3,1428.447,13157.574,13194.668,0.282,3,0,70105,07/0170105,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_005_07_0170105.jpg
布政-张家潭,6,2354,117.65,1428.573,14089.183,14065.734,-0.166,3,0,70106,07/0170106,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_006_07_0170106.jpg
布政-张家潭,7,2327,116.3,1429.832,13153.353,13032.839,-0.916,3,1,70107,07/0170107,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_007_07_0170107.jpg
布政-张家潭,8,2335,116.7,1428.13,13263.136,13119.969,-1.079,3,0,70208,07/0270208,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_008_07_0270208.jpg
布政-张家潭,9,2352,117.55,1428.41,13943.571,13761.248,-1.308,3,0,70209,07/0270209,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_009_07_0270209.jpg
布政-张家潭,10,2329,116.4,1428.511,13041.163,12978.976,-0.477,3,0,70210,07/0270210,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_010_07_0270210.jpg
布政-张家潭,11,2327,116.3,1427.978,12741.006,12668.648,-0.568,3,0,70211,07/0270211,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_011_07_0270211.jpg
布政-张家潭,12,2268,113.35,1428.649,16012.072,15968.933,-0.269,2,0,70212,07/0270212,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_012_07_0270212.jpg
布政-张家潭,13,2279,113.9,1428.138,15986.798,15889.018,-0.612,3,0,70213,07/0270213,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_013_07_0270213.jpg
布政-张家潭,14,2350,117.45,1428.374,13074.527,13125.061,0.387,3,1,70214,07/0270214,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_014_07_0270214.jpg
布政-张家潭,15,2338,116.85,1428.241,13750.968,13433.245,-2.311,3,0,70315,07/0370315,D:\energy_conservation\output\models\nn_results_residual_v2\triple_axis_all_runs_first5\布政-张家潭\seg_015_07_0370315.jpg
