section,趟次数,平均误差%,平均绝对误差%,中位绝对误差%,RMSE误差%,能耗加权误差%,真实能耗合计Wh,融合能耗合计Wh,能耗差合计Wh
同德路-石碶,108,-0.544,1.828,1.828,2.045,-0.626,1517207.997,1507708.913,-9499.084
布政-张家潭,108,0.452,1.502,1.311,1.819,0.428,1513922.589,1520407.067,6484.478
张家潭-同德路,109,-2.204,2.259,2.457,2.698,-2.222,1925917.092,1883120.971,-42796.121
石碶-雅渡,109,-0.42,0.993,0.763,1.299,-0.437,1373153.16,1367156.428,-5996.732
雅渡-庙堰,109,0.322,1.566,1.64,1.746,0.295,2287199.012,2293935.294,6736.282
