Segment_ID,等级,时长
0,class3,89.8
1,class3,89.95
2,class2,87.75
3,class3,89.95
4,class2,87.9
5,class2,88.0
6,class2,88.9
7,class2,88.85
8,class2,88.7
9,class3,89.7
10,class2,88.7
11,class3,89.7
12,class2,87.8
13,class2,88.65
14,class1,80.25
15,class2,89.05
16,class2,88.15
17,class2,88.35
18,class2,87.75
19,class3,90.7
20,class2,87.85
21,class3,90.7
22,class2,88.75
23,class3,89.8
24,class2,87.8
25,class2,88.95
26,class1,83.65
27,class2,88.2
28,class2,89.15
29,class2,89.25
30,class2,89.2
31,class2,89.2
32,class3,90.2
33,class1,81.5
