station_pair,class_name,status,reason,target_time_s,sim_time_s,time_error_s,lambda,theta,direction,peak_speed_kmh,total_dist_m,dist_error_m,T_acc_new_s,T_mid_new_s,T_br_new_s,curve_csv,class2_compare_status,class2_compare_message,class2_real_sample_count,class2_compare_metrics_csv,class2_compare_speed_distance_png,class2_compare_speed_time_png,class2_compare_mean_rmse_speed_mps,class2_compare_mean_mae_speed_mps,class2_compare_mean_corr_speed_shape
永茂路-镇海大道,class1,overspeed,最终生成曲线最高速度为 86.636808 km/h，超过 80.0 km/h，删除该等级,135.0,,,,,,86.6368,,0.0,,,,,success,class2 对比完成,10,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class2_generated_vs_real_metrics.csv,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class2_generated_vs_real_speed_distance.png,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class2_generated_vs_real_speed_time.png,0.34052459999999996,0.2863201,0.9993776999999999
永茂路-镇海大道,class2,generated,最终生成曲线后验检查通过，峰值 78.135921 km/h,141.0,141.05,0.05,0.993766,0.562636,-1.0,78.1359,2164.3679,-0.0,35.4774,64.8278,40.6947,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class2_generated_curve.csv,success,class2 对比完成,10,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class2_generated_vs_real_metrics.csv,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class2_generated_vs_real_speed_distance.png,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class2_generated_vs_real_speed_time.png,0.34052459999999996,0.2863201,0.9993776999999999
永茂路-镇海大道,class3,generated,最终生成曲线后验检查通过，峰值 71.075327 km/h,148.0,148.05,0.05,0.904282,0.891349,-1.0,71.0753,2164.3679,0.0,32.2829,78.6867,37.0304,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class3_generated_curve.csv,success,class2 对比完成,10,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class2_generated_vs_real_metrics.csv,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class2_generated_vs_real_speed_distance.png,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class2_generated_vs_real_speed_time.png,0.34052459999999996,0.2863201,0.9993776999999999
永茂路-镇海大道,class4,generated,最终生成曲线后验检查通过，峰值 64.774722 km/h,156.0,155.95,-0.05,0.824214,1.0,-1.0,64.7747,2164.6781,0.3102,29.4244,92.824,33.7516,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class4_generated_curve.csv,success,class2 对比完成,10,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class2_generated_vs_real_metrics.csv,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class2_generated_vs_real_speed_distance.png,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class2_generated_vs_real_speed_time.png,0.34052459999999996,0.2863201,0.9993776999999999
永茂路-镇海大道,class5,generated,最终生成曲线后验检查通过，峰值 59.645018 km/h,164.0,164.05,0.05,0.758945,1.0,-1.0,59.645,2165.8766,1.5087,27.0943,105.8269,31.0788,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class5_generated_curve.csv,success,class2 对比完成,10,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class2_generated_vs_real_metrics.csv,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class2_generated_vs_real_speed_distance.png,D:\energy_conservation\output\ato_generated_results_new\永茂路-镇海大道\class2_generated_vs_real_speed_time.png,0.34052459999999996,0.2863201,0.9993776999999999
