trip_no,section_index,站间区间,区间载重(t),全局趟次ID,历史segment,历史来源run_id,OT 历史区间里程(km),OT 历史机械能(kWh),OT 标准 DP区间里程(km),OT 标准 DP机械能(kWh),OT 停站宽松 5% DP区间里程(km),OT 停站宽松 5% DP机械能(kWh),OT Energy First DP区间里程(km),OT Energy First DP机械能(kWh),真实历史区间里程(km),真实历史能耗(kWh),标准 DP vs OpenTrack 历史图像路径,停站宽松 5% DP vs OpenTrack 历史图像路径,Energy First DP vs OpenTrack 历史图像路径,四源总览图像路径,OpenTrack历史 vs 真实历史图像路径
4,1,布政-张家潭,215.34,UP004_20240701_123753_R165,3.0,165.0,1.428,13.02077778,1.428,13.42766667,1.428,13.42766667,1.428,13.42766667,1.428844,14.20748024,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\01_standard_dp_vs_ot_history\01_布政-张家潭_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\02_dwell5_dp_vs_ot_history\01_布政-张家潭_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\03_energy_first_vs_ot_history\01_布政-张家潭_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\04_ot_history_vs_real_history\01_布政-张家潭_energy_distance.png
4,2,张家潭-同德路,215.24,UP004_20240701_123753_R165,3.0,166.0,2.017,16.77808333,2.017,16.87230556,2.017,16.61519444,2.017,18.08505556,2.020854,17.9335886,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\01_standard_dp_vs_ot_history\02_张家潭-同德路_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\02_dwell5_dp_vs_ot_history\02_张家潭-同德路_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\03_energy_first_vs_ot_history\02_张家潭-同德路_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\04_ot_history_vs_real_history\02_张家潭-同德路_energy_distance.png
4,3,同德路-石碶,215.24,UP004_20240701_123753_R165,3.0,167.0,1.331,12.10061111,1.331,12.96497222,1.331,12.965,1.331,12.96497222,1.330307,12.14821741,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\01_standard_dp_vs_ot_history\03_同德路-石碶_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\02_dwell5_dp_vs_ot_history\03_同德路-石碶_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\03_energy_first_vs_ot_history\03_同德路-石碶_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\04_ot_history_vs_real_history\03_同德路-石碶_energy_distance.png
4,4,石碶-雅渡,215.34,UP004_20240701_123753_R165,3.0,168.0,0.827,10.729,0.827,10.29288889,0.827,10.29286111,0.827,10.29286111,0.827348,13.09807208,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\01_standard_dp_vs_ot_history\04_石碶-雅渡_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\02_dwell5_dp_vs_ot_history\04_石碶-雅渡_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\03_energy_first_vs_ot_history\04_石碶-雅渡_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\04_ot_history_vs_real_history\04_石碶-雅渡_energy_distance.png
4,5,雅渡-庙堰,215.44,UP004_20240701_123753_R165,3.0,169.0,1.86,20.60519444,1.86,18.70927778,1.86,18.70930556,1.86,20.774,1.860248,20.63801067,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\01_standard_dp_vs_ot_history\05_雅渡-庙堰_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\02_dwell5_dp_vs_ot_history\05_雅渡-庙堰_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\03_energy_first_vs_ot_history\05_雅渡-庙堰_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\04_ot_history_vs_real_history\05_雅渡-庙堰_energy_distance.png
4,6,庙堰-钟公庙,215.64,UP004_20240701_123753_R165,3.0,170.0,1.086,12.93477778,1.086,12.76416667,1.086,12.76416667,1.086,11.39847222,1.086965,12.91190043,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\01_standard_dp_vs_ot_history\06_庙堰-钟公庙_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\02_dwell5_dp_vs_ot_history\06_庙堰-钟公庙_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\03_energy_first_vs_ot_history\06_庙堰-钟公庙_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\04_ot_history_vs_real_history\06_庙堰-钟公庙_energy_distance.png
4,7,钟公庙-鄞州区政府,215.54,UP004_20240701_123753_R165,3.0,171.0,0.984,9.683,0.984,8.39022222,0.984,8.39022222,0.984,6.50430556,0.984652,10.12287861,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\01_standard_dp_vs_ot_history\07_钟公庙-鄞州区政府_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\02_dwell5_dp_vs_ot_history\07_钟公庙-鄞州区政府_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\03_energy_first_vs_ot_history\07_钟公庙-鄞州区政府_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\04_ot_history_vs_real_history\07_钟公庙-鄞州区政府_energy_distance.png
4,8,鄞州区政府-钱湖南路,215.74,UP004_20240701_123753_R165,3.0,172.0,1.811,15.51397222,1.811,15.56425,1.811,15.56422222,1.811,15.56425,1.811757,16.37905653,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\01_standard_dp_vs_ot_history\08_鄞州区政府-钱湖南路_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\02_dwell5_dp_vs_ot_history\08_鄞州区政府-钱湖南路_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\03_energy_first_vs_ot_history\08_鄞州区政府-钱湖南路_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\04_ot_history_vs_real_history\08_鄞州区政府-钱湖南路_energy_distance.png
4,9,钱湖南路-南高教园区,215.74,UP004_20240701_123753_R165,3.0,173.0,1.155,13.54597222,1.155,13.67044444,1.155,13.67044444,1.155,12.37977778,1.168815,13.66118833,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\01_standard_dp_vs_ot_history\09_钱湖南路-南高教园区_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\02_dwell5_dp_vs_ot_history\09_钱湖南路-南高教园区_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\03_energy_first_vs_ot_history\09_钱湖南路-南高教园区_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\04_ot_history_vs_real_history\09_钱湖南路-南高教园区_energy_distance.png
4,10,南高教园区-下应路,215.84,UP004_20240701_123753_R165,3.0,174.0,1.452,17.09466667,1.452,17.34047222,1.452,17.34047222,1.452,17.34047222,1.452944,18.7185739,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\01_standard_dp_vs_ot_history\10_南高教园区-下应路_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\02_dwell5_dp_vs_ot_history\10_南高教园区-下应路_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\03_energy_first_vs_ot_history\10_南高教园区-下应路_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip004\section_energy_distance\04_ot_history_vs_real_history\10_南高教园区-下应路_energy_distance.png
