global_time,global_dist,velocity,step_energy_wh,section,cum_energy_kwh
0.0,0.0,0.0,0.0,布政-张家潭,17.30995606731903
0.05,0.0004861111111111112,0.01944444444444445,0.0055089259233554125,布政-张家潭,17.30995606731903
0.1,0.003935185185185185,0.1583333333333333,0.0707948721702038,布政-张家潭,17.30995606731903
0.15,0.01243055555555555,0.1583333333333333,0.11081935949757778,布政-张家潭,17.30995606731903
0.2,0.02046296296296296,0.2,0.1491140173102386,布政-张家潭,17.30995606731903
0.25,0.0317361111111111,0.2527777777777778,0.22562867593585173,布政-张家潭,17.30995606731903
0.3,0.04532407407407407,0.2805555555555556,0.28146045379028256,布政-张家潭,17.30995606731903
0.35,0.06027777777777778,0.3194444444444444,0.3449163562182599,布政-张家潭,17.30995606731903
0.4,0.07662037037037038,0.3194444444444444,0.35034058543858226,布政-张家潭,17.30995606731903
0.45,0.09357638888888889,0.3666666666666667,0.4140382501030981,布政-张家潭,17.30995606731903
0.5,0.112962962962963,0.3944444444444444,0.47903863139572456,布政-张家潭,17.30995606731903
0.55,0.1334375,0.425,0.5362081626908057,布政-张家潭,17.30995606731903
0.6,0.1549537037037037,0.425,0.5317326007454004,布政-张家潭,17.30995606731903
0.65,0.1763194444444445,0.4305555555555556,0.5131943643602442,布政-张家潭,17.30995606731903
0.7,0.1983333333333333,0.4555555555555555,0.5401529468901983,布政-张家潭,17.30995606731903
0.75,0.2217361111111111,0.4805555555555556,0.5854185954644877,布政-张家潭,17.30995606731903
0.8,0.2459722222222223,0.4805555555555556,0.5763661729147779,布政-张家潭,17.30995606731903
0.85,0.2705208333333333,0.5055555555555556,0.5974319940107615,布政-张家潭,17.30995606731903
0.9,0.296712962962963,0.5416666666666666,0.6697354444812315,布政-张家潭,17.30995606731903
0.95,0.324525462962963,0.5694444444444444,0.7364464578475239,布政-张家潭,17.30995606731903
1.0,0.3537037037037037,0.6000000000000001,0.8014171130415022,布政-张家潭,17.30995606731903
1.05,0.3838310185185186,0.6000000000000001,0.7924053669316234,布政-张家潭,17.30995606731903
1.1,0.4141666666666667,0.6277777777777778,0.8168304242059754,布政-张家潭,17.30995606731903
1.15,0.4461342592592592,0.65,0.8623158541021707,布政-张家潭,17.30995606731903
1.2,0.4793981481481481,0.6861111111111112,0.9379494378384434,布政-张家潭,17.30995606731903
1.25,0.5138541666666667,0.6861111111111112,0.9338609397915172,布政-张家潭,17.30995606731903
1.3,0.5483796296296297,0.7083333333333334,0.9407661105733996,布政-张家潭,17.30995606731903
1.35,0.5846412037037039,0.7444444444444446,1.018748849010449,布政-张家潭,17.30995606731903
1.4,0.6226851851851851,0.7722222222222223,1.0944615918597158,布政-张家潭,17.30995606731903
1.45,0.6621064814814814,0.8055555555555556,5.440341677301728,布政-张家潭,17.30995606731903
1.5,0.7026851851851852,0.8055555555555556,0.5069279963699119,布政-张家潭,17.30995606731903
1.55,0.7434837962962964,0.8305555555555556,1.620918958804777,布政-张家潭,17.30995606731903
1.6,0.7857870370370372,0.8583333333333333,1.3469262344492638,布政-张家潭,17.30995606731903
