trip_no,trip_label,section_count,historical_run_time_s,historical_dwell_time_s,historical_total_time_s,historical_energy_wh,csv,xlsx
1,trip001,26,3002.7,750.0,3752.7,424855.93,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip001\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip001\Historical_Only_Report.xlsx
2,trip002,26,2963.95,750.0,3713.95,454652.72,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip002\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip002\Historical_Only_Report.xlsx
3,trip003,26,3024.8,750.0,3774.8,408884.36,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip003\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip003\Historical_Only_Report.xlsx
4,trip004,26,3024.1,750.0,3774.1,408168.11,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip004\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip004\Historical_Only_Report.xlsx
5,trip005,26,3012.7,750.0,3762.7,408349.04,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip005\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip005\Historical_Only_Report.xlsx
6,trip006,26,2978.3,750.0,3728.3,442805.65,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip006\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip006\Historical_Only_Report.xlsx
7,trip007,26,3022.95,750.0,3772.95,413714.74,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip007\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip007\Historical_Only_Report.xlsx
8,trip008,26,3023.2,750.0,3773.2,408560.4,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip008\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip008\Historical_Only_Report.xlsx
9,trip009,26,2964.55,750.0,3714.55,456776.3,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip009\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip009\Historical_Only_Report.xlsx
10,trip010,26,3020.75,750.0,3770.75,410649.45,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip010\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip010\Historical_Only_Report.xlsx
11,trip011,26,3010.9,750.0,3760.9,409222.39,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip011\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip011\Historical_Only_Report.xlsx
12,trip012,26,3011.25,750.0,3761.25,412097.3,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip012\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip012\Historical_Only_Report.xlsx
13,trip013,26,2971.4,750.0,3721.4,438288.12,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip013\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip013\Historical_Only_Report.xlsx
14,trip014,26,2965.05,750.0,3715.05,441660.48,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip014\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip014\Historical_Only_Report.xlsx
15,trip015,26,3023.8,750.0,3773.8,402956.63,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip015\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip015\Historical_Only_Report.xlsx
16,trip016,26,2963.65,750.0,3713.65,439320.53,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip016\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip016\Historical_Only_Report.xlsx
17,trip017,26,2979.35,750.0,3729.35,436829.08,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip017\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip017\Historical_Only_Report.xlsx
18,trip018,26,3055.75,750.0,3805.75,415339.09,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip018\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip018\Historical_Only_Report.xlsx
19,trip019,26,3010.3,750.0,3760.3,408400.4,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip019\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip019\Historical_Only_Report.xlsx
20,trip020,26,3008.35,750.0,3758.35,415830.9,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip020\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip020\Historical_Only_Report.xlsx
21,trip021,26,2967.3,750.0,3717.3,450048.31,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip021\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip021\Historical_Only_Report.xlsx
22,trip022,26,3011.95,750.0,3761.95,412400.58,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip022\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip022\Historical_Only_Report.xlsx
23,trip023,26,2894.55,750.0,3644.55,395099.29,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip023\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip023\Historical_Only_Report.xlsx
24,trip024,26,2979.3,750.0,3729.3,440488.96,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip024\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip024\Historical_Only_Report.xlsx
25,trip025,26,2963.35,750.0,3713.35,433212.07,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip025\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip025\Historical_Only_Report.xlsx
26,trip026,26,2943.9,750.0,3693.9,442683.18,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip026\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip026\Historical_Only_Report.xlsx
27,trip027,26,2982.75,750.0,3732.75,437497.75,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip027\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip027\Historical_Only_Report.xlsx
28,trip028,26,3027.3,750.0,3777.3,413073.29,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip028\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip028\Historical_Only_Report.xlsx
29,trip029,26,3027.8,750.0,3777.8,412972.25,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip029\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip029\Historical_Only_Report.xlsx
30,trip030,26,3025.7,750.0,3775.7,409860.76,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip030\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip030\Historical_Only_Report.xlsx
31,trip031,26,2982.45,750.0,3732.45,431337.49,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip031\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip031\Historical_Only_Report.xlsx
32,trip032,26,2978.95,750.0,3728.95,431611.17,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip032\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip032\Historical_Only_Report.xlsx
33,trip033,26,3016.8,750.0,3766.8,416766.75,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip033\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip033\Historical_Only_Report.xlsx
34,trip034,26,3002.6,750.0,3752.6,425371.17,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip034\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip034\Historical_Only_Report.xlsx
35,trip035,26,3023.2,750.0,3773.2,412843.5,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip035\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip035\Historical_Only_Report.xlsx
36,trip036,26,3029.1,750.0,3779.1,412466.13,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip036\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip036\Historical_Only_Report.xlsx
37,trip037,26,3027.05,750.0,3777.05,414530.21,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip037\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip037\Historical_Only_Report.xlsx
38,trip038,26,3016.3,750.0,3766.3,414523.69,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip038\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip038\Historical_Only_Report.xlsx
39,trip039,26,3016.4,750.0,3766.4,422409.41,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip039\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip039\Historical_Only_Report.xlsx
40,trip040,26,3024.5,750.0,3774.5,418266.35,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip040\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip040\Historical_Only_Report.xlsx
41,trip041,26,2908.85,750.0,3658.85,402745.19,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip041\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip041\Historical_Only_Report.xlsx
42,trip042,26,2984.25,750.0,3734.25,444073.08,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip042\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip042\Historical_Only_Report.xlsx
43,trip043,26,3026.65,750.0,3776.65,406250.28,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip043\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip043\Historical_Only_Report.xlsx
44,trip044,26,3020.55,750.0,3770.55,409683.28,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip044\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip044\Historical_Only_Report.xlsx
45,trip045,26,3001.5,750.0,3751.5,418733.45,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip045\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip045\Historical_Only_Report.xlsx
46,trip046,26,2977.9,750.0,3727.9,430225.66,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip046\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip046\Historical_Only_Report.xlsx
47,trip047,26,3002.0,750.0,3752.0,427715.85,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip047\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip047\Historical_Only_Report.xlsx
48,trip048,26,3000.25,750.0,3750.25,414226.79,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip048\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip048\Historical_Only_Report.xlsx
49,trip049,26,2961.85,750.0,3711.85,440925.58,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip049\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip049\Historical_Only_Report.xlsx
50,trip050,26,2998.7,750.0,3748.7,429887.8,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip050\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip050\Historical_Only_Report.xlsx
51,trip051,26,3018.9,750.0,3768.9,413264.71,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip051\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip051\Historical_Only_Report.xlsx
52,trip052,26,3029.95,750.0,3779.95,400790.52,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip052\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip052\Historical_Only_Report.xlsx
53,trip053,26,2995.2,750.0,3745.2,421839.12,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip053\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip053\Historical_Only_Report.xlsx
54,trip054,26,2998.05,750.0,3748.05,435590.81,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip054\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip054\Historical_Only_Report.xlsx
55,trip055,26,2992.35,750.0,3742.35,411298.39,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip055\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip055\Historical_Only_Report.xlsx
56,trip056,26,2955.8,750.0,3705.8,423426.68,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip056\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip056\Historical_Only_Report.xlsx
57,trip057,26,2984.7,750.0,3734.7,440865.55,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip057\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip057\Historical_Only_Report.xlsx
58,trip058,26,2982.9,750.0,3732.9,435527.84,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip058\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip058\Historical_Only_Report.xlsx
59,trip059,26,3027.2,750.0,3777.2,408147.12,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip059\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip059\Historical_Only_Report.xlsx
60,trip060,26,3043.05,750.0,3793.05,379614.16,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip060\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip060\Historical_Only_Report.xlsx
61,trip061,26,2976.45,750.0,3726.45,435671.28,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip061\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip061\Historical_Only_Report.xlsx
62,trip062,26,2991.4,750.0,3741.4,439625.09,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip062\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip062\Historical_Only_Report.xlsx
63,trip063,26,3025.05,750.0,3775.05,411656.64,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip063\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip063\Historical_Only_Report.xlsx
64,trip064,26,3018.25,750.0,3768.25,416191.95,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip064\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip064\Historical_Only_Report.xlsx
65,trip065,26,2986.95,750.0,3736.95,430359.54,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip065\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip065\Historical_Only_Report.xlsx
66,trip066,26,2970.65,750.0,3720.65,438324.01,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip066\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip066\Historical_Only_Report.xlsx
67,trip067,26,2970.95,750.0,3720.95,446417.04,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip067\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip067\Historical_Only_Report.xlsx
68,trip068,26,3022.75,750.0,3772.75,410497.72,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip068\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip068\Historical_Only_Report.xlsx
69,trip069,26,3028.7,750.0,3778.7,410494.38,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip069\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip069\Historical_Only_Report.xlsx
70,trip070,26,3016.2,750.0,3766.2,412392.45,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip070\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip070\Historical_Only_Report.xlsx
71,trip071,25,2654.55,720.0,3374.55,407793.6,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip071\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip071\Historical_Only_Report.xlsx
72,trip072,25,2700.45,720.0,3420.45,379374.16,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip072\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip072\Historical_Only_Report.xlsx
73,trip073,25,2697.9,720.0,3417.9,386308.44,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip073\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip073\Historical_Only_Report.xlsx
74,trip074,25,2653.6,720.0,3373.6,410265.38,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip074\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip074\Historical_Only_Report.xlsx
75,trip075,25,2666.95,720.0,3386.95,394444.86,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip075\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip075\Historical_Only_Report.xlsx
76,trip076,25,2632.15,720.0,3352.15,419460.82,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip076\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip076\Historical_Only_Report.xlsx
77,trip077,25,2691.95,720.0,3411.95,393236.46,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip077\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip077\Historical_Only_Report.xlsx
78,trip078,25,2694.15,720.0,3414.15,381273.46,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip078\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip078\Historical_Only_Report.xlsx
79,trip079,25,2693.3,720.0,3413.3,381509.18,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip079\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip079\Historical_Only_Report.xlsx
80,trip080,25,2644.4,720.0,3364.4,411148.37,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip080\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip080\Historical_Only_Report.xlsx
81,trip081,25,2685.0,720.0,3405.0,386906.12,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip081\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip081\Historical_Only_Report.xlsx
82,trip082,25,2749.15,720.0,3469.15,348520.47,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip082\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip082\Historical_Only_Report.xlsx
83,trip083,25,2667.55,720.0,3387.55,400433.6,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip083\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip083\Historical_Only_Report.xlsx
84,trip084,25,2674.55,720.0,3394.55,397772.89,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip084\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip084\Historical_Only_Report.xlsx
85,trip085,25,2684.05,720.0,3404.05,381746.3,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip085\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip085\Historical_Only_Report.xlsx
86,trip086,25,2698.55,720.0,3418.55,382053.25,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip086\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip086\Historical_Only_Report.xlsx
87,trip087,25,2635.8,720.0,3355.8,414507.18,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip087\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip087\Historical_Only_Report.xlsx
88,trip088,25,2646.3,720.0,3366.3,409105.32,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip088\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip088\Historical_Only_Report.xlsx
89,trip089,24,2588.3,690.0,3278.3,385619.38,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip089\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip089\Historical_Only_Report.xlsx
90,trip090,24,2602.95,690.0,3292.95,385440.77,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip090\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip090\Historical_Only_Report.xlsx
91,trip091,24,2627.65,690.0,3317.65,365934.67,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip091\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip091\Historical_Only_Report.xlsx
92,trip092,24,2629.2,690.0,3319.2,356056.89,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip092\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip092\Historical_Only_Report.xlsx
93,trip093,24,2604.2,690.0,3294.2,369616.69,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip093\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip093\Historical_Only_Report.xlsx
94,trip094,24,2567.85,690.0,3257.85,387013.01,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip094\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip094\Historical_Only_Report.xlsx
95,trip095,24,2584.9,690.0,3274.9,384353.98,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip095\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip095\Historical_Only_Report.xlsx
96,trip096,24,2613.65,690.0,3303.65,372251.08,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip096\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip096\Historical_Only_Report.xlsx
97,trip097,24,2621.55,690.0,3311.55,374320.66,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip097\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip097\Historical_Only_Report.xlsx
98,trip098,24,2628.4,690.0,3318.4,368731.03,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip098\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip098\Historical_Only_Report.xlsx
99,trip099,24,2630.05,690.0,3320.05,367088.79,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip099\Historical_Only_Report.csv,D:\energy_conservation\output\schedule\batch_trip_reports_trip1_125\trip099\Historical_Only_Report.xlsx
