time_s,dist_m,velocity_mps,velocity_kmh
0.0,0.0,0.007535869209845245,0.027129129155442883
0.05,0.0016047185530913253,0.057098666183524584,0.2055551982606885
0.1,0.005582830297859005,0.10163898072337971,0.36590033060416693
0.15000000000000002,0.011684762964001257,0.14165114027293893,0.5099441049825801
0.2,0.019687569961378985,0.17762947227573045,0.6394661001926296
0.25,0.029394930380015793,0.21006830417528263,0.7562458950310175
0.30000000000000004,0.04063714899009797,0.23946196341512369,0.8620630682944452
0.35000000000000003,0.053271156241974524,0.2663047774387832,0.9586971987796197
0.4,0.06716311757879702,0.2912955634168924,1.0486640283008126
0.45,0.08224900408779136,0.31485563267924727,1.1334802776452901
0.5,0.09850791540637666,0.3374063143515473,1.2146627316655703
0.55,0.11589593059450576,0.35930619661836444,1.293502307826112
0.6000000000000001,0.13438157873109843,0.38085220641254913,1.3710679430851769
0.65,0.15394433681989933,0.4022847008579461,1.448224923088606
0.7000000000000001,0.17457500767109485,0.4237311812005587,1.5254322523220114
0.75,0.19627376699656202,0.44523477425380054,1.602845187313682
0.8,0.2190468353888937,0.46668875464194703,1.6800795167110094
0.8500000000000001,0.24290259470844536,0.48822475064512116,1.7576091023224363
0.9,0.2678500200849217,0.5098447571610012,1.8354411257796044
0.9500000000000001,0.2938953571960026,0.5315429831595369,1.9135547393743326
1.0,0.3210335301764109,0.5532963739048272,1.9918669460573781
1.05,0.349256469969066,0.5750854206733432,2.0703075144240355
1.1,0.3785649640382396,0.5969143140648151,2.1488915306333345
1.1500000000000001,0.4089633210222204,0.6188194098318125,2.227749875394525
1.2000000000000002,0.4404584377430784,0.6408627939164266,2.307106058099136
1.25,0.4730608266405369,0.6631321088742741,2.387275591947387
1.3,0.506782955182611,0.6857388620890801,2.468659903520688
1.35,0.5416415405921422,0.7087903522827154,2.5516452682177753
1.4000000000000001,0.5776604695435452,0.7323410090341476,2.636427632522931
1.4500000000000002,0.6148687586593643,0.7564531599973868,2.7232313759905926
1.5,0.653297511501131,0.7811845959189858,2.812264545308349
1.55,0.6929797252317319,0.8065654149889512,2.9036354939602242
1.6,0.7339492135457812,0.8326086691549215,2.9973912089577173
1.6500000000000001,0.7762377944064286,0.8592994257118844,3.093477932562784
1.7000000000000002,0.8198750371782949,0.8865925350391088,3.1917331261407917
1.75,0.8648908087220318,0.9144158077666471,3.29189690795993
1.8,0.9113122420910013,0.9426863761848452,3.393670954265443
1.85,0.9591598427116881,0.9713096615263745,3.4967147814949486
1.9000000000000001,1.008449243133942,1.0001822635552269,3.6006561487988167
