station_id,station_name,course_id
STA_1,布政,priority_dp
STA_2,张家潭,priority_dp
STA_3,同德路,priority_dp
STA_4,石碶,priority_dp
STA_5,雅渡,priority_dp
STA_6,庙堰,priority_dp
STA_7,钟公庙,priority_dp
STA_8,鄞州区政府,priority_dp
STA_9,钱湖南路,priority_dp
STA_10,南高教园区,priority_dp
STA_11,下应路,priority_dp
STA_12,大洋江,priority_dp
STA_13,泗港,priority_dp
STA_14,曹隘,priority_dp
STA_15,柳隘,priority_dp
STA_16,海晏北路,priority_dp
STA_17,民安东路,priority_dp
STA_18,会展中心,priority_dp
STA_19,院士路,priority_dp
STA_20,盎孟港,priority_dp
STA_21,三官堂,priority_dp
STA_22,兴庄路,priority_dp
STA_23,兴海南路,priority_dp
STA_24,梅堰,priority_dp
STA_25,永茂路,priority_dp
STA_26,镇海大道,priority_dp
STA_27,骆驼桥,priority_dp
STA_1,布政,priority_history
STA_2,张家潭,priority_history
STA_3,同德路,priority_history
STA_4,石碶,priority_history
STA_5,雅渡,priority_history
STA_6,庙堰,priority_history
STA_7,钟公庙,priority_history
STA_8,鄞州区政府,priority_history
STA_9,钱湖南路,priority_history
STA_10,南高教园区,priority_history
STA_11,下应路,priority_history
STA_12,大洋江,priority_history
STA_13,泗港,priority_history
STA_14,曹隘,priority_history
STA_15,柳隘,priority_history
STA_16,海晏北路,priority_history
STA_17,民安东路,priority_history
STA_18,会展中心,priority_history
STA_19,院士路,priority_history
STA_20,盎孟港,priority_history
STA_21,三官堂,priority_history
STA_22,兴庄路,priority_history
STA_23,兴海南路,priority_history
STA_24,梅堰,priority_history
STA_25,永茂路,priority_history
STA_26,镇海大道,priority_history
STA_27,骆驼桥,priority_history
STA_1,布政,energy_first_dp
STA_2,张家潭,energy_first_dp
STA_3,同德路,energy_first_dp
STA_4,石碶,energy_first_dp
STA_5,雅渡,energy_first_dp
STA_6,庙堰,energy_first_dp
STA_7,钟公庙,energy_first_dp
STA_8,鄞州区政府,energy_first_dp
STA_9,钱湖南路,energy_first_dp
STA_10,南高教园区,energy_first_dp
STA_11,下应路,energy_first_dp
STA_12,大洋江,energy_first_dp
STA_13,泗港,energy_first_dp
STA_14,曹隘,energy_first_dp
STA_15,柳隘,energy_first_dp
STA_16,海晏北路,energy_first_dp
STA_17,民安东路,energy_first_dp
STA_18,会展中心,energy_first_dp
STA_19,院士路,energy_first_dp
STA_20,盎孟港,energy_first_dp
STA_21,三官堂,energy_first_dp
STA_22,兴庄路,energy_first_dp
STA_23,兴海南路,energy_first_dp
STA_24,梅堰,energy_first_dp
STA_25,永茂路,energy_first_dp
STA_26,镇海大道,energy_first_dp
STA_27,骆驼桥,energy_first_dp
STA_1,布政,energy_first_history
STA_2,张家潭,energy_first_history
STA_3,同德路,energy_first_history
STA_4,石碶,energy_first_history
STA_5,雅渡,energy_first_history
STA_6,庙堰,energy_first_history
STA_7,钟公庙,energy_first_history
STA_8,鄞州区政府,energy_first_history
STA_9,钱湖南路,energy_first_history
STA_10,南高教园区,energy_first_history
STA_11,下应路,energy_first_history
STA_12,大洋江,energy_first_history
STA_13,泗港,energy_first_history
STA_14,曹隘,energy_first_history
STA_15,柳隘,energy_first_history
STA_16,海晏北路,energy_first_history
STA_17,民安东路,energy_first_history
STA_18,会展中心,energy_first_history
STA_19,院士路,energy_first_history
STA_20,盎孟港,energy_first_history
STA_21,三官堂,energy_first_history
STA_22,兴庄路,energy_first_history
STA_23,兴海南路,energy_first_history
STA_24,梅堰,energy_first_history
STA_25,永茂路,energy_first_history
STA_26,镇海大道,energy_first_history
STA_27,骆驼桥,energy_first_history
