trip_no,tsvp_file,sections,history_dwell_s,status,valid_for_stats,flag,opentrack_points,history_points,opentrack_duration_s,history_duration_s,duration_error_s,duration_error_pct,opentrack_distance_km,history_distance_km,distance_ratio,distance_error_km,distance_error_pct,opentrack_energy_kwh,history_energy_kwh,energy_error_kwh,energy_error_pct,plot,error
11,D:\OutPut\OT_priority_history_trip011.tsvP,5,30.0,ok,True,ok,562,11875,744.0,713.5,30.5,4.274702172389628,7.463,7.466684027777773,0.9995066045698375,-0.0036840277777727692,-0.04933954301624848,73.609,75.5271010073611,-1.918101007361102,-2.5396195296495736,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip011_vs_history_trip011_vt_vs_et_es.jpg,
12,D:\OutPut\OT_priority_history_trip012.tsvP,5,30.0,ok,True,ok,562,11860,743.0,712.75,30.25,4.244124868467204,7.463,7.469265972222237,0.9991610993308393,-0.006265972222236904,-0.08389006691607566,73.12686111111111,74.38330401311109,-1.256442901999975,-1.6891464000826175,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip012_vs_history_trip012_vt_vs_et_es.jpg,
13,D:\OutPut\OT_priority_history_trip013.tsvP,5,30.0,ok,True,ok,542,11578,729.0,698.6500000000001,30.34999999999991,4.344092177771403,7.463,7.469940555555563,0.9990708687031785,-0.006940555555562611,-0.09291312968214671,79.02638888888889,84.06896404820131,-5.04257515931242,-5.998141188490485,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip013_vs_history_trip013_vt_vs_et_es.jpg,
14,D:\OutPut\OT_priority_history_trip014.tsvP,5,30.0,ok,True,ok,540,11534,726.0,696.45,29.549999999999955,4.242946370880889,7.463,7.466830138888898,0.9994870462006429,-0.003830138888897494,-0.05129537993571444,79.33847222222222,84.78833935240961,-5.4498671301873856,-6.427613952357124,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip014_vs_history_trip014_vt_vs_et_es.jpg,
15,D:\OutPut\OT_priority_history_trip015.tsvP,5,30.0,ok,True,ok,560,11885,744.0,713.9999999999999,30.000000000000114,4.201680672268924,7.463,7.468249583333329,0.9992970798210808,-0.005249583333329255,-0.07029201789191131,71.03516666666667,75.53544519827079,-4.500278531604124,-5.957836774234234,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip015_vs_history_trip015_vt_vs_et_es.jpg,
16,D:\OutPut\OT_priority_history_trip016.tsvP,5,30.0,ok,True,ok,552,11711,735.0,705.3,29.700000000000045,4.210974053594222,7.463,7.466134305555556,0.9995801970032573,-0.0031343055555561605,-0.041980299674276175,76.33011111111112,81.73474172122214,-5.404630610111013,-6.612403118058327,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip016_vs_history_trip016_vt_vs_et_es.jpg,
17,D:\OutPut\OT_priority_history_trip017.tsvP,5,30.0,ok,True,ok,556,11699,735.0,704.7,30.299999999999955,4.299702000851419,7.463,7.46790791666665,0.9993427989844791,-0.004907916666650358,-0.06572010155209625,76.66997222222223,80.26166007650009,-3.5916878542778647,-4.474973294664608,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip017_vs_history_trip017_vt_vs_et_es.jpg,
18,D:\OutPut\OT_priority_history_trip018.tsvP,5,30.0,ok,True,ok,560,11842,742.0,711.85,30.149999999999977,4.235442860153118,7.463,7.465588194444436,0.9996533167411562,-0.0025881944444359206,-0.034668325884381644,73.27844444444443,76.40361618625002,-3.1251717418055875,-4.090345323691641,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip018_vs_history_trip018_vt_vs_et_es.jpg,
19,D:\OutPut\OT_priority_history_trip019.tsvP,5,30.0,ok,True,ok,560,11796,740.0,709.55,30.450000000000045,4.291452328940885,7.463,7.466369166666676,0.9995487543421081,-0.0033691666666761932,-0.04512456578918855,73.83319444444444,76.52234368590265,-2.6891492414582103,-3.514201358620462,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip019_vs_history_trip019_vt_vs_et_es.jpg,
20,D:\OutPut\OT_priority_history_trip020.tsvP,5,30.0,ok,True,ok,559,11807,740.0,710.0999999999999,29.90000000000009,4.2106745528798895,7.463,7.467277361111105,0.9994271859870398,-0.0042773611111046606,-0.05728140129601674,74.52413888888888,76.88840390418743,-2.3642650152985425,-3.0749305425103017,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip020_vs_history_trip020_vt_vs_et_es.jpg,
