trip_no,tsvp_file,sections,history_dwell_s,status,valid_for_stats,flag,opentrack_points,history_points,opentrack_duration_s,history_duration_s,duration_error_s,duration_error_pct,opentrack_distance_km,history_distance_km,distance_ratio,distance_error_km,distance_error_pct,opentrack_energy_kwh,history_energy_kwh,energy_error_kwh,energy_error_pct,plot,error
58,D:\OutPut\OT_priority_history_trip058.tsvP,5,30.0,ok,True,ok,546,11731,736.0,706.3,29.700000000000045,4.205012034546233,7.463,7.585175416666663,0.9838928686608603,-0.12217541666666332,-1.6107131339139658,77.88766666666666,82.00012494953472,-4.112458282868062,-5.015185385874703,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip058_vs_history_trip058_vt_vs_et_es.jpg,
59,D:\OutPut\OT_priority_history_trip059.tsvP,5,30.0,ok,True,ok,555,11922,746.0,715.8499999999999,30.15000000000009,4.211776210099895,7.463,7.587212222222228,0.983628740229722,-0.12421222222222816,-1.637125977027798,74.76144444444445,79.37338880945836,-4.611944365013912,-5.810441552502215,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip059_vs_history_trip059_vt_vs_et_es.jpg,
60,D:\OutPut\OT_priority_history_trip060.tsvP,5,30.0,ok,True,ok,558,12196,760.0,729.5500000000001,30.449999999999932,4.173805770680547,7.463,7.58489819444444,0.9839288291919693,-0.12189819444443994,-1.607117080803066,74.14752777777778,66.55978009437486,7.587747683402924,11.399898966980187,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip060_vs_history_trip060_vt_vs_et_es.jpg,
61,D:\OutPut\OT_priority_history_trip061.tsvP,5,30.0,ok,True,ok,550,11758,738.0,707.6500000000001,30.34999999999991,4.288843354765761,7.463,7.467427361111107,0.9994071102540396,-0.0044273611111069755,-0.059288974596040954,77.04091666666667,82.73076273375682,-5.689846067090144,-6.877545762996458,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip061_vs_history_trip061_vt_vs_et_es.jpg,
62,D:\OutPut\OT_priority_history_trip062.tsvP,5,30.0,ok,True,ok,542,11617,731.0,700.6,30.399999999999977,4.339137881815583,7.463,7.470193611111111,0.9990370248101186,-0.0071936111111110534,-0.09629751898814683,78.91058333333334,84.591706459889,-5.681123126555661,-6.715933942353426,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip062_vs_history_trip062_vt_vs_et_es.jpg,
63,D:\OutPut\OT_priority_history_trip063.tsvP,5,30.0,ok,True,ok,556,11852,742.0,712.3499999999999,29.65000000000009,4.162279778198933,7.463,7.468403333333333,0.9992765075623037,-0.0054033333333327604,-0.0723492437696334,76.07238888888888,80.08505423165286,-4.012665342763981,-5.010504620696145,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip063_vs_history_trip063_vt_vs_et_es.jpg,
64,D:\OutPut\OT_priority_history_trip064.tsvP,5,30.0,ok,True,ok,560,11863,743.0,712.9000000000001,30.09999999999991,4.222191050638225,7.463,7.469244027777772,0.9991640348401324,-0.006244027777771777,-0.08359651598676555,73.21058333333333,76.68991059685409,-3.4793272635207586,-4.536877454207757,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip064_vs_history_trip064_vt_vs_et_es.jpg,
65,D:\OutPut\OT_priority_history_trip065.tsvP,5,30.0,ok,True,ok,556,11867,743.0,713.0999999999999,29.90000000000009,4.192960314121455,7.463,7.4687849999999925,0.9992254429602683,-0.00578499999999238,-0.07745570397316813,75.21208333333334,80.27537660647215,-5.063293273138811,-6.307405193450798,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip065_vs_history_trip065_vt_vs_et_es.jpg,
66,D:\OutPut\OT_priority_history_trip066.tsvP,5,30.0,ok,True,ok,552,11699,735.0,704.7,30.299999999999955,4.299702000851419,7.463,7.470046805555552,0.999056658446864,-0.007046805555551927,-0.09433415531360718,76.56219444444444,81.44771315370822,-4.885518709263778,-5.99834976341671,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip066_vs_history_trip066_vt_vs_et_es.jpg,
67,D:\OutPut\OT_priority_history_trip067.tsvP,5,30.0,ok,True,ok,551,11731,736.0,706.3,29.700000000000045,4.205012034546233,7.463,7.468715000000013,0.999234808129643,-0.005715000000012793,-0.076519187035692,77.72272222222223,83.871430611007,-6.148708388784769,-7.331111850592224,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip067_vs_history_trip067_vt_vs_et_es.jpg,
68,D:\OutPut\OT_priority_history_trip068.tsvP,5,30.0,ok,True,ok,559,11871,743.0,713.3000000000001,29.699999999999932,4.163745969437814,7.463,7.46870013888888,0.999236796392561,-0.005700138888879991,-0.07632036074389782,74.10116666666667,77.38331423489572,-3.2821475682290497,-4.241415091457762,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip068_vs_history_trip068_vt_vs_et_es.jpg,
69,D:\OutPut\OT_priority_history_trip069.tsvP,5,30.0,ok,True,ok,555,11847,742.0,712.0999999999999,29.90000000000009,4.198848476337607,7.463,7.4686544444444385,0.9992429098860446,-0.005654444444438411,-0.07570901139554624,75.5131111111111,80.46384776384022,-4.95073665272912,-6.152746594047344,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip069_vs_history_trip069_vt_vs_et_es.jpg,
70,D:\OutPut\OT_priority_history_trip070.tsvP,5,30.0,ok,True,ok,563,11862,743.0,712.85,30.149999999999977,4.229501297608189,7.463,7.468197361111125,0.9993040675199361,-0.0051973611111248985,-0.06959324800639215,72.93227777777777,77.41659022067346,-4.4843124428956855,-5.792443751543822,output\opentrack_tsvp_compare\batch_history_trip001_070_avg\plots\priority_history_trip070_vs_history_trip070_vt_vs_et_es.jpg,
