站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,47,46,07/0870846,70846,5012,UP,工作日高峰,0.0,114.7,114.7,30.0,144.7,1450.91,1428.0,45.54,68.37,45.52,2295,67.38,997,68.09,68.27,13150.56,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,47,46,07/0870846,70846,5012,UP,工作日高峰,0.0,151.55,151.55,30.0,181.55,2054.33,2017.0,48.8,64.95,48.78,3032,63.74,1808,64.77,64.85,17457.2,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,47,46,07/0870846,70846,5012,UP,工作日高峰,0.0,105.25,105.25,30.0,135.25,1352.02,1332.0,46.25,77.27,46.22,2106,74.85,646,75.31,77.18,14902.32,215.24,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,47,46,07/0870846,70846,5012,UP,工作日高峰,0.0,79.45,79.45,30.0,109.45,840.24,827.0,38.07,72.94,38.05,1590,70.79,302,71.22,72.83,12354.37,215.64,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,47,46,07/0870846,70846,5012,UP,工作日高峰,0.0,133.95,133.95,30.0,163.95,1890.1,1860.0,50.8,73.74,50.78,2680,72.33,1285,72.83,73.61,20122.79,215.74,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,47,46,07/0870846,70846,5012,UP,工作日高峰,0.0,94.25,94.25,30.0,124.25,1104.06,1086.0,42.17,78.67,42.15,1886,74.71,433,75.77,78.55,15563.91,215.54,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,47,46,07/0870846,70846,5012,UP,工作日高峰,0.0,89.65,89.65,30.0,119.65,999.6,984.0,40.14,75.78,40.12,1794,71.14,392,72.03,75.48,12448.38,215.74,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,47,46,07/0870846,70846,5012,UP,工作日高峰,0.0,127.55,127.55,30.0,157.55,1839.61,1811.0,51.92,78.29,51.9,2552,76.93,1111,77.51,78.07,19215.05,216.04,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,47,46,07/0870846,70846,5012,UP,工作日低峰,0.0,96.95,96.95,30.0,126.95,1187.09,1155.0,44.08,78.87,44.06,1940,77.92,478,78.53,78.83,15835.58,216.44,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,47,46,07/0870846,70846,5012,UP,工作日低峰,0.0,111.2,111.2,30.0,141.2,1473.98,1452.0,47.72,78.83,47.7,2225,77.28,716,77.76,78.65,21085.16,216.82,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
