source,section_index,section,points,duration_s,distance_km,energy_kwh,energy_error_pct
opentrack,,TOTAL,558,742.0,7.463,74.87822222222222,
history_total,,TOTAL,11844,711.9499999999999,7.46413930555555,79.4962692789168,
energy_error,,OpenTrack - History,,,,-4.618047056694579,-5.809136829417643
history,1,布政-张家潭,2351,117.5,1.427842083333335,13.558814286750009,
history,2,张家潭-同德路,3018,150.85,2.019219861111107,18.515373760020914,
history,3,同德路-石碶,2220,110.95,1.3299802777777792,14.539153306368137,
history,4,石碶-雅渡,1576,78.75,0.8280034722222219,12.36032546338889,
history,5,雅渡-庙堰,2679,133.9,1.8590936111111072,20.522602462388857,
