time,velocity,cumulative_energy
0.0,0.0,0.0
0.05,0.025,0.00737084268375525
0.1,0.05,0.01956792154063848
0.15000000000000002,0.07500000000000001,0.04461549367935112
0.2,0.1,0.08646673749090933
0.25,0.125,0.148705477682003
0.30000000000000004,0.15000000000000002,0.23457652561096762
0.35000000000000003,0.17500000000000002,0.3470136937913529
0.4,0.2,0.48866565534018924
0.45,0.225,0.661919806972421
0.5,0.25,0.8689242828170194
0.55,0.275,1.1116082557956724
0.6000000000000001,0.30000000000000004,1.3917006535072862
0.65,0.325,1.7107474064501382
0.7000000000000001,0.35000000000000003,2.070127337941126
0.75,0.375,2.471066797214144
0.8,0.4,2.91465312985611
0.8500000000000001,0.42500000000000004,3.4018470729313366
0.9,0.45,3.933494155817124
0.9500000000000001,0.47500000000000003,4.510335181892423
1.0,0.5,5.1330158607562515
1.05,0.525,5.802095655574365
1.1,0.55,6.5180559054346565
1.1500000000000001,0.5750000000000001,7.281307278208806
1.2000000000000002,0.6000000000000001,8.092196605346563
1.25,0.625,8.951013146247945
1.3,0.65,9.85799432634737
1.35,0.675,10.813330989783477
1.4000000000000001,0.7000000000000001,11.817172204501535
1.4500000000000002,0.7250000000000001,13.06788242215006
1.5,0.75,14.367324158359615
1.55,0.775,15.71578594113012
1.6,0.8,17.11250669680521
1.6500000000000001,0.8250000000000001,18.55708477763845
1.7000000000000002,0.8500000000000001,20.049237858269304
1.75,0.875,21.588732588601477
1.8,0.9,23.17540190307728
1.85,0.925,24.809175126764675
1.9000000000000001,0.9500000000000001,26.48995100744132
1.9500000000000002,0.9750000000000001,28.217622858966884
2.0,1.0,29.99208413953607
2.0500000000000003,1.0250000000000001,31.813219217016265
2.1,1.05,33.68089670870511
2.15,1.075,35.59498415277467
2.2,1.1,37.55538935672012
2.25,1.125,39.56229039340016
2.3000000000000003,1.1500000000000001,41.61619039720676
2.35,1.175,43.71695538724253
2.4000000000000004,1.2000000000000002,45.86445243967599
2.45,1.225,48.05857438065751
2.5,1.25,50.29918597291581
2.5500000000000003,1.2750000000000001,52.586148749688604
2.6,1.3,54.91932855293311
2.6500000000000004,1.3250000000000002,57.29858807566998
2.7,1.35,59.723793485287196
2.75,1.375,62.194810709079036
2.8000000000000003,1.4000000000000001,64.71151111508331
2.85,1.425,67.27376863591714
2.9000000000000004,1.4500000000000002,69.88145653454882
2.95,1.475,72.53444876221288
3.0,1.5,75.23264349460382
3.0500000000000003,1.5250000000000001,77.97594635340833
3.1,1.55,80.76426071608162
3.1500000000000004,1.5750000000000002,83.59749195561288
3.2,1.6,86.4755470900636
3.25,1.625,89.39833446299615
3.3000000000000003,1.6500000000000001,92.36576181726596
3.35,1.675,95.37773967777338
3.4000000000000004,1.7000000000000002,98.43418146143125
3.45,1.725,101.5350027891447
3.5,1.75,104.68012077575509
3.5500000000000003,1.7750000000000001,107.86945388008304
3.6,1.8,111.10292113877402
3.6500000000000004,1.8250000000000002,114.380444077912
3.7,1.85,117.7019825806687
3.75,1.875,121.06746303140507
3.8000000000000003,1.9000000000000001,124.47681244927016
3.85,1.925,127.92995974790652
3.9000000000000004,1.9500000000000002,131.4268458002852
3.95,1.975,134.96740565223772
4.0,2.0,138.55157050917444
4.05,2.025,142.17929703631276
4.1000000000000005,2.0500000000000003,145.8505321964602
4.15,2.075,149.56522212096962
4.2,2.1,153.32065522303276
4.25,2.125,157.11594866010148
4.3,2.15,160.95098630508284
4.3500000000000005,2.1750000000000003,164.82564350628124
4.4,2.2,168.73979249050203
4.45,2.225,172.69331021118427
4.5,2.25,176.68606477744578
4.55,2.275,180.71792793921665
4.6000000000000005,2.3000000000000003,184.78877251622004
4.65,2.325,188.89846976886835
4.7,2.35,193.04708969473091
4.75,2.375,197.23458430844835
4.800000000000001,2.4000000000000004,201.46090698338224
4.8500000000000005,2.4250000000000003,205.7259345109564
4.9,2.45,210.029536332935
4.95,2.475,214.37158625683406
5.0,2.5,218.75195893650186
5.050000000000001,2.5250000000000004,223.17055986700387
5.1000000000000005,2.5500000000000003,227.6257925361207
5.15,2.575,232.1172025144429
5.2,2.6,236.6446287557882
5.25,2.625,241.20790196545047
5.300000000000001,2.6500000000000004,245.80684093726387
5.3500000000000005,2.6750000000000003,250.4412609843981
5.4,2.7,255.1109807426758
5.45,2.725,259.81578402963333
5.5,2.75,264.55593571705117
5.550000000000001,2.7750000000000004,269.33224302623415
5.6000000000000005,2.8000000000000003,274.1455596552352
5.65,2.825,278.9958170897336
5.7,2.85,283.88386166032893
5.75,2.875,288.8097818001042
5.800000000000001,2.9000000000000004,293.773499997611
5.8500000000000005,2.9250000000000003,298.77493838400585
5.9,2.95,303.81401865011435
5.95,2.975,308.89067963727575
6.0,3.0,314.0049084743097
6.050000000000001,3.0250000000000004,319.1567387987501
6.1000000000000005,3.0500000000000003,324.3461291140365
6.15,3.075,329.5731655756509
6.2,3.1,334.8378001449786
6.25,3.125,340.1399548654996
6.300000000000001,3.1500000000000004,345.47955404792987
6.3500000000000005,3.1750000000000003,350.85652215362745
6.4,3.2,356.27078300491036
6.45,3.225,361.72225795297254
6.5,3.25,367.2109057324505
6.550000000000001,3.2750000000000004,372.73731929221765
6.6000000000000005,3.3000000000000003,378.30144905907713
6.65,3.325,383.90323471295176
6.7,3.35,389.54261925733755
6.75,3.375,395.2195389504019
6.800000000000001,3.4000000000000004,400.9339449462557
