section,segment,rows,duration_s,distance_m,real_energy_wh,mlp_energy_wh,mlp_error_pct,run_class,quality_label,service_no,date_service,source_file,figure
布政-张家潭,98,2369,118.4,1452.201,14242.17,14552.605,2.18,4,0,72798,07/2772798,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_98_07_2772798.jpg
布政-张家潭,99,2297,114.8,1452.145,16004.631,16168.948,1.027,3,0,72799,07/2772799,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_99_07_2772799.jpg
布政-张家潭,100,2364,118.15,1451.123,13603.092,13942.209,2.493,4,0,72800,07/2772800,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_100_07_2772800.jpg
布政-张家潭,101,2364,118.15,1451.434,13568.988,13955.054,2.845,4,0,72801,07/2772801,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_101_07_2772801.jpg
布政-张家潭,102,2345,117.2,1451.267,14291.983,14483.194,1.338,3,0,72802,07/2772802,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_102_07_2772802.jpg
布政-张家潭,103,2286,114.25,1452.398,14434.283,14123.133,-2.156,3,1,72803,07/2772803,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_103_07_2772803.jpg
布政-张家潭,104,2355,117.7,1450.906,14439.819,14519.624,0.553,3,0,72904,07/2872904,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_104_07_2872904.jpg
布政-张家潭,105,2322,116.05,1451.678,13004.386,13155.311,1.161,3,0,72905,07/2872905,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_105_07_2872905.jpg
布政-张家潭,106,2369,118.4,1451.578,14100.85,14411.776,2.205,4,0,72906,07/2872906,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_106_07_2872906.jpg
布政-张家潭,107,2368,118.35,1451.134,14180.193,14527.425,2.449,4,0,72907,07/2872907,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_107_07_2872907.jpg
布政-张家潭,108,2374,118.65,1451.379,14104.775,14428.403,2.294,4,0,72908,07/2872908,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_108_07_2872908.jpg
布政-张家潭,109,2358,117.85,1451.456,14478.123,14645.124,1.153,3,0,72909,07/2872909,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_109_07_2872909.jpg
布政-张家潭,110,2326,116.25,1451.342,13324.694,13533.641,1.568,3,1,72910,07/2872910,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_110_07_2872910.jpg
布政-张家潭,111,2359,117.9,1451.883,14190.528,14431.985,1.702,3,0,73011,07/2973011,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_111_07_2973011.jpg
布政-张家潭,112,2335,116.7,1451.374,14096.362,14219.263,0.872,3,0,73012,07/2973012,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_112_07_2973012.jpg
