站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,31.0,31.0,0.0,117.3,12947.95,14192.85,14423.54,历史原始实测能耗,1244.9,real,class3,class3,80,80,strong,energy_first,215.24,UP053_20240709_151522_R2836,52.0,2836.0
张家潭-同德路,class1,141.0,30.0,30.0,0.0,149.75,18108.33,18085.48,17896.13,历史原始实测能耗,-22.85,extrapolated_adjacent,class2,class2,0,8,generated,energy_first,215.24,UP053_20240709_151522_R2836,52.0,2837.0
同德路-石碶,class3,109.0,35.0,35.0,0.0,109.95,12861.48,12162.44,12053.53,历史原始实测能耗,-699.04,real,class3,class3,60,60,strong,energy_first,215.24,UP053_20240709_151522_R2836,52.0,2838.0
石碶-雅渡,class2,80.0,30.0,30.0,0.0,78.15,11115.24,13237.57,13076.81,历史原始实测能耗,2122.33,real,class2,class2,38,38,strong,energy_first,215.74,UP053_20240709_151522_R2836,52.0,2839.0
雅渡-庙堰,class2,129.0,30.0,30.0,0.0,136.2,20676.14,19705.39,19470.31,历史原始实测能耗,-970.75,real,class2,class2,32,32,strong,energy_first,215.94,UP053_20240709_151522_R2836,52.0,2840.0
庙堰-钟公庙,class3,96.0,30.0,30.0,0.0,95.45,12619.21,13849.37,14167.36,历史原始实测能耗,1230.16,real,class3,class3,84,84,strong,energy_first,215.84,UP053_20240709_151522_R2836,52.0,2841.0
钟公庙-鄞州区政府,class3,90.0,39.0,39.0,0.0,90.45,10093.25,10059.93,9816.17,历史原始实测能耗,-33.32,real,class3,class3,108,108,strong,energy_first,215.84,UP053_20240709_151522_R2836,52.0,2842.0
鄞州区政府-钱湖南路,class3,132.1,30.0,30.0,0.0,131.65,16041.03,17910.36,17846.98,历史原始实测能耗,1869.33,real,class3,class3,62,62,strong,energy_first,215.54,UP053_20240709_151522_R2836,52.0,2843.0
钱湖南路-南高教园区,class3,100.0,35.0,35.0,0.0,100.0,13867.71,12885.85,13368.46,历史原始实测能耗,-981.86,real,class3,class3,63,63,strong,energy_first,215.74,UP053_20240709_151522_R2836,52.0,2844.0
南高教园区-下应路,class2,110.0,30.0,30.0,0.0,114.6,21246.51,17846.51,18790.88,历史原始实测能耗,-3400.0,real,class2,class2,44,44,strong,energy_first,215.44,UP053_20240709_151522_R2836,52.0,2845.0
下应路-大洋江,class2,101.0,30.0,30.0,0.0,106.25,13006.48,11008.57,10874.15,历史原始实测能耗,-1997.91,real,class2,class2,41,41,strong,energy_first,215.54,UP053_20240709_151522_R2836,52.0,2846.0
大洋江-泗港,class3,92.0,29.0,29.0,0.0,92.45,10559.94,10295.67,10392.0,历史原始实测能耗,-264.27,real,class3,class3,99,99,strong,energy_first,215.44,UP053_20240709_151522_R2836,52.0,2847.0
泗港-曹隘,class4,137.0,31.0,31.0,0.0,135.0,24096.3,22589.44,23875.93,历史原始实测能耗,-1506.86,real,class4,class4,82,82,strong,energy_first,215.44,UP053_20240709_151522_R2836,52.0,2848.0
曹隘-柳隘,class4,113.0,30.0,30.0,0.0,106.55,12091.41,20680.6,17040.12,历史原始实测能耗,8589.19,real,class4,class4,1,1,weak,energy_first,215.54,UP053_20240709_151522_R2836,52.0,2849.0
柳隘-海晏北路,class3,92.0,44.0,44.0,0.0,89.55,11436.38,12903.2,13264.49,历史原始实测能耗,1466.82,real,class3,class3,35,35,strong,energy_first,215.64,UP053_20240709_151522_R2836,52.0,2850.0
海晏北路-民安东路,class3,85.0,29.0,29.0,0.0,83.3,13746.14,16337.61,15158.8,历史原始实测能耗,2591.47,real,class3,class3,41,41,strong,energy_first,215.94,UP053_20240709_151522_R2836,52.0,2851.0
民安东路-会展中心,class3,79.0,30.0,30.0,0.0,76.8,11620.58,12065.74,11783.94,历史原始实测能耗,445.16,real,class3,class3,8,8,strong,energy_first,216.34,UP053_20240709_151522_R2836,51.0,2852.0
会展中心-院士路,class3,115.0,28.0,28.0,0.0,114.85,14381.53,14641.21,14253.56,历史原始实测能耗,259.68,real,class3,class3,104,104,strong,energy_first,216.14,UP053_20240709_151522_R2836,51.0,2853.0
院士路-盎孟港,class3,91.0,29.0,29.0,0.0,91.6,16570.41,15492.85,15146.99,历史原始实测能耗,-1077.56,real,class3,class3,99,99,strong,energy_first,215.94,UP053_20240709_151522_R2836,51.0,2854.0
盎孟港-三官堂,class2,132.0,34.0,34.0,0.0,141.3,17925.63,17373.76,17605.35,历史原始实测能耗,-551.87,real,class2,class2,52,52,strong,energy_first,216.14,UP053_20240709_151522_R2836,51.0,2855.0
三官堂-兴庄路,class1,94.0,30.0,30.0,0.0,103.85,13545.81,11018.39,11859.83,历史原始实测能耗,-2527.42,extrapolated_adjacent,class2,class2,0,46,generated,energy_first,215.74,UP053_20240709_151522_R2836,51.0,2856.0
兴庄路-兴海南路,class2,87.0,30.0,30.0,0.0,91.2,16357.2,11686.31,11494.09,历史原始实测能耗,-4670.89,real,class2,class2,30,30,strong,energy_first,215.64,UP053_20240709_151522_R2836,51.0,2857.0
兴海南路-梅堰,class3,82.0,30.0,30.0,0.0,81.55,11140.28,12030.12,12122.01,历史原始实测能耗,889.84,real,class3,class3,73,73,strong,energy_first,215.64,UP053_20240709_151522_R2836,51.0,2858.0
梅堰-永茂路,class5,345.1,27.0,27.0,0.0,329.65,23448.78,25348.53,26364.05,历史原始实测能耗,1899.75,extrapolated_adjacent,class4,class4,0,26,generated,energy_first,215.54,UP053_20240709_151522_R2836,40.0,2859.0
永茂路-镇海大道,class5,164.1,30.0,30.0,0.0,142.55,14910.2,17846.88,18468.23,历史原始实测能耗,2936.68,extrapolated_adjacent,class4,class4,0,1,generated,energy_first,215.44,UP053_20240709_151522_R2836,51.0,2860.0
镇海大道-骆驼桥,class2,116.0,0.0,0.0,0.0,117.35,19966.17,19039.91,18751.47,历史原始实测能耗,-926.26,real,class2,class2,101,101,strong,energy_first,215.44,UP053_20240709_151522_R2836,51.0,2861.0
--- 总计 ---,节能率: 1.48%,3027.2999999999997,781.0,781.0,0.0,3808.2999999999997,394380.09,400294.54,399365.18,历史原始实测能耗,5914.45,,,,,,,energy_first,,,,
