Segment_ID,等级,时长
0,class2,74.6
1,class2,74.6
2,class2,74.65
3,class2,74.5
4,class2,74.7
5,class2,74.5
6,class2,74.5
7,class2,74.4
8,class2,74.3
9,class2,74.45
10,class2,74.65
11,class2,74.35
12,class2,74.45
13,class2,74.5
14,class1,69.7
15,class2,74.6
16,class2,74.8
17,class2,74.75
18,class2,74.95
19,class2,74.55
20,class2,74.4
21,class2,74.35
22,class2,74.45
23,class2,74.45
24,class2,74.55
25,class2,74.6
26,class1,73.8
27,class2,74.75
28,class2,74.9
29,class2,74.9
30,class2,74.65
31,class2,74.9
32,class2,74.75
33,class2,74.9
34,class1,70.55
