station_id,station_name,course_id
STA_16,海晏北路,real_priority_dwell_5pct_dp_trip040
STA_17,民安东路,real_priority_dwell_5pct_dp_trip040
STA_18,会展中心,real_priority_dwell_5pct_dp_trip040
STA_19,院士路,real_priority_dwell_5pct_dp_trip040
STA_20,盎孟港,real_priority_dwell_5pct_dp_trip040
STA_21,三官堂,real_priority_dwell_5pct_dp_trip040
STA_22,兴庄路,real_priority_dwell_5pct_dp_trip040
STA_23,兴海南路,real_priority_dwell_5pct_dp_trip040
STA_24,梅堰,real_priority_dwell_5pct_dp_trip040
STA_25,永茂路,real_priority_dwell_5pct_dp_trip040
STA_26,镇海大道,real_priority_dwell_5pct_dp_trip040
STA_27,骆驼桥,real_priority_dwell_5pct_dp_trip040
STA_1,布政,real_priority_dwell_5pct_history_trip040
STA_2,张家潭,real_priority_dwell_5pct_history_trip040
STA_3,同德路,real_priority_dwell_5pct_history_trip040
STA_4,石碶,real_priority_dwell_5pct_history_trip040
STA_5,雅渡,real_priority_dwell_5pct_history_trip040
STA_6,庙堰,real_priority_dwell_5pct_history_trip040
STA_7,钟公庙,real_priority_dwell_5pct_history_trip040
STA_8,鄞州区政府,real_priority_dwell_5pct_history_trip040
STA_9,钱湖南路,real_priority_dwell_5pct_history_trip040
STA_10,南高教园区,real_priority_dwell_5pct_history_trip040
STA_11,下应路,real_priority_dwell_5pct_history_trip040
STA_12,大洋江,real_priority_dwell_5pct_history_trip040
STA_13,泗港,real_priority_dwell_5pct_history_trip040
STA_14,曹隘,real_priority_dwell_5pct_history_trip040
STA_15,柳隘,real_priority_dwell_5pct_history_trip040
STA_16,海晏北路,real_priority_dwell_5pct_history_trip040
STA_17,民安东路,real_priority_dwell_5pct_history_trip040
STA_18,会展中心,real_priority_dwell_5pct_history_trip040
STA_19,院士路,real_priority_dwell_5pct_history_trip040
STA_20,盎孟港,real_priority_dwell_5pct_history_trip040
STA_21,三官堂,real_priority_dwell_5pct_history_trip040
STA_22,兴庄路,real_priority_dwell_5pct_history_trip040
STA_23,兴海南路,real_priority_dwell_5pct_history_trip040
STA_24,梅堰,real_priority_dwell_5pct_history_trip040
STA_25,永茂路,real_priority_dwell_5pct_history_trip040
STA_26,镇海大道,real_priority_dwell_5pct_history_trip040
STA_27,骆驼桥,real_priority_dwell_5pct_history_trip040
