区间,等级,时间,预测能耗
布政-张家潭,Class3,115.0,13199.785652459524
张家潭-同德路,Class3,151.0,17107.45388148091
同德路-石碶,Class2,104.0,13183.28996751857
石碶-雅渡,Class3,82.0,10482.165613825173
雅渡-庙堰,Class2,129.0,20769.044817589143
庙堰-钟公庙,Class2,93.0,12723.623836001085
钟公庙-鄞州区政府,Class3,90.0,8754.696121778396
鄞州区政府-钱湖南路,Class2,128.0,16930.478811079985
钱湖南路-南高教园区,Class2,96.0,14517.832185125795
南高教园区-下应路,Class2,110.0,18017.69575701206
下应路-大洋江,Class2,101.0,12615.441462396995
大洋江-泗港,Class3,92.0,10418.84782884489
泗港-曹隘,Class2,128.0,25420.409990675194
曹隘-柳隘,Class2,106.0,15212.680744437355
柳隘-海晏北路,Class2,87.0,12444.213451054304
海晏北路-民安东路,Class2,83.0,13367.527087605218
民安东路-会展中心,Class2,76.0,9092.499163734545
会展中心-院士路,Class2,112.0,14884.569939197643
院士路-盎孟港,Class2,88.0,15743.160330676756
盎孟港-三官堂,Class2,132.0,16340.13609822734
三官堂-兴庄路,Class3,104.0,11154.03021636434
兴庄路-兴海南路,Class3,91.0,11020.635484515482
兴海南路-梅堰,Class2,78.0,12434.679411538034
梅堰-永茂路,Class2,298.0,22724.705985826226
永茂路-镇海大道,Class2,141.0,15609.213935664406
镇海大道-骆驼桥,Class3,122.0,16558.04980779749
