trip_no,comparison,section_index,站间区间,区间载重(t),载重来源,全局趟次ID,历史segment,历史来源run_id,归一化区间里程(km),载重里程(t·km),规划OT区间里程(km),历史OT区间里程(km),规划OT区间机械能(kWh),历史OT区间机械能(kWh),规划单位能耗[kWh/(t·km)],历史单位能耗[kWh/(t·km)],区间节能率(%)
4,standard_dp,1,布政-张家潭,215.34,traceable_standard_plan_MASS,UP004_20240701_123753_R165,3.0,165.0,1.42884,307.686406,1.428,1.428,13.42766667,13.02077778,0.0436407538,0.0423183395,-3.12492
4,standard_dp,2,张家潭-同德路,215.24,traceable_standard_plan_MASS,UP004_20240701_123753_R165,3.0,166.0,2.02085,434.967754,2.017,2.017,16.87230556,16.77808333,0.0387897848,0.0385731659,-0.561579
4,standard_dp,3,同德路-石碶,215.24,traceable_standard_plan_MASS,UP004_20240701_123753_R165,3.0,167.0,1.33031,286.335924,1.331,1.331,12.96497222,12.10061111,0.0452788879,0.0422601919,-7.143119
4,standard_dp,4,石碶-雅渡,215.34,traceable_standard_plan_MASS,UP004_20240701_123753_R165,3.0,168.0,0.82735,178.161549,0.827,0.827,10.29288889,10.729,0.0577727851,0.0602206259,4.064788
4,standard_dp,5,雅渡-庙堰,215.44,traceable_standard_plan_MASS,UP004_20240701_123753_R165,3.0,169.0,1.86025,400.77226,1.86,1.86,18.70927778,20.60519444,0.0466830658,0.0514137242,9.201159
4,standard_dp,6,庙堰-钟公庙,215.64,traceable_standard_plan_MASS,UP004_20240701_123753_R165,3.0,170.0,1.08696,234.392054,1.086,1.086,12.76416667,12.93477778,0.0544564819,0.0551843697,1.319011
4,standard_dp,7,钟公庙-鄞州区政府,215.54,traceable_standard_plan_MASS,UP004_20240701_123753_R165,3.0,171.0,0.98465,212.231461,0.984,0.984,8.39022222,9.683,0.0395333575,0.0456247154,13.351005
4,standard_dp,8,鄞州区政府-钱湖南路,215.74,traceable_standard_plan_MASS,UP004_20240701_123753_R165,3.0,172.0,1.81176,390.869102,1.811,1.811,15.56425,15.51397222,0.0398195966,0.0396909659,-0.324081
4,standard_dp,9,钱湖南路-南高教园区,215.74,traceable_standard_plan_MASS,UP004_20240701_123753_R165,3.0,173.0,1.16881,252.159069,1.155,1.155,13.67044444,13.54597222,0.0542135743,0.0537199485,-0.918887
4,standard_dp,10,南高教园区-下应路,215.84,traceable_standard_plan_MASS,UP004_20240701_123753_R165,3.0,174.0,1.45294,313.60257,1.452,1.452,17.34047222,17.09466667,0.0552944201,0.0545106078,-1.437908
