站间区间,选定等级,规划用时(s),停站时间(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS
布政-张家潭,class2,112.0,24.0,112.2,13520.21,13137.0,13205.33,历史原始实测能耗,-383.21,real,,,0,0,,energy_first,215.24
张家潭-同德路,class3,151.0,24.0,148.95,15478.91,17452.62,17538.78,历史原始实测能耗,1973.71,real,,,0,0,,energy_first,215.24
同德路-石碶,class4,114.0,24.0,103.4,10086.49,14898.1,14940.19,历史原始实测能耗,4811.61,real,,,0,0,,energy_first,215.24
石碶-雅渡,class4,86.0,24.0,76.65,7919.08,12346.59,12407.05,历史原始实测能耗,4427.51,real,,,0,0,,energy_first,215.64
雅渡-庙堰,class3,132.0,24.0,131.45,19845.21,20117.35,20318.41,历史原始实测能耗,272.14,real,,,0,0,,energy_first,215.74
庙堰-钟公庙,class4,101.0,24.0,91.8,9805.64,15555.07,15458.11,历史原始实测能耗,5749.43,real,,,0,0,,energy_first,215.54
钟公庙-鄞州区政府,class4,95.0,24.0,87.2,6879.31,12437.67,12472.74,历史原始实测能耗,5558.36,real,,,0,0,,energy_first,215.74
鄞州区政府-钱湖南路,class2,128.0,24.0,125.55,17598.15,19212.35,19254.1,历史原始实测能耗,1614.2,real,,,0,0,,energy_first,216.04
钱湖南路-南高教园区,class4,105.0,24.0,94.45,11394.04,15823.51,15843.14,历史原始实测能耗,4429.47,real,,,0,0,,energy_first,216.44
南高教园区-下应路,class3,114.0,24.0,108.65,18780.4,21075.63,21159.22,历史原始实测能耗,2295.23,real,,,0,0,,energy_first,216.82
下应路-大洋江,class3,106.0,24.0,100.55,11070.53,14664.97,14510.15,历史原始实测能耗,3594.44,real,,,0,0,,energy_first,216.64
大洋江-泗港,class3,92.0,24.0,88.0,10215.54,12388.8,12405.92,历史原始实测能耗,2173.26,real,,,0,0,,energy_first,216.74
泗港-曹隘,class4,137.0,24.0,131.8,22147.65,23054.01,23228.7,历史原始实测能耗,906.36,real,,,0,0,,energy_first,217.04
曹隘-柳隘,class4,113.0,24.0,104.25,15721.75,21047.64,20965.06,历史原始实测能耗,5325.89,real,,,0,0,,energy_first,216.94
柳隘-海晏北路,class3,92.0,24.0,86.45,10410.63,14706.21,14636.19,历史原始实测能耗,4295.58,real,,,0,0,,energy_first,217.04
海晏北路-民安东路,class3,85.0,24.0,81.25,13664.7,15490.22,15517.59,历史原始实测能耗,1825.52,real,,,0,0,,energy_first,217.74
民安东路-会展中心,class4,83.0,24.0,74.5,4887.2,12195.9,12117.71,历史原始实测能耗,7308.7,real,,,0,0,,energy_first,217.82
会展中心-院士路,class4,121.0,24.0,112.85,12919.89,15210.37,15377.42,历史原始实测能耗,2290.48,real,,,0,0,,energy_first,217.44
院士路-盎孟港,class3,91.0,24.0,88.45,14989.52,19722.42,19865.23,历史原始实测能耗,4732.9,real,,,0,0,,energy_first,216.74
盎孟港-三官堂,class3,139.0,24.0,128.85,16659.92,19518.8,19342.61,历史原始实测能耗,2858.88,real,,,0,0,,energy_first,216.44
三官堂-兴庄路,class2,99.0,24.0,95.75,9874.73,11541.89,11448.41,历史原始实测能耗,1667.16,real,,,0,0,,energy_first,216.24
兴庄路-兴海南路,class4,96.0,24.0,85.75,7794.6,14693.04,14888.3,历史原始实测能耗,6898.44,real,,,0,0,,energy_first,215.74
兴海南路-梅堰,class3,82.0,24.0,78.9,11049.26,13311.04,13494.07,历史原始实测能耗,2261.78,real,,,0,0,,energy_first,215.64
梅堰-永茂路,class3,313.0,24.0,315.05,28236.28,28993.63,28935.06,历史原始实测能耗,757.35,real,,,0,0,,energy_first,215.74
永茂路-镇海大道,class2,141.0,24.0,139.75,17519.7,17946.69,17824.27,历史原始实测能耗,426.99,real,,,0,0,,energy_first,215.64
镇海大道-骆驼桥,class4,128.0,0.0,114.45,15053.14,20389.6,20430.63,历史原始实测能耗,5336.46,real,,,0,0,,energy_first,215.44
--- 总计 ---,节能率: 19.09%,3056.0,600.0,3656.8999999999996,353522.48,436931.12,437584.39,历史原始实测能耗,83408.64,,,,,,,energy_first,
