序号,区间,segment,来源run_id,绝对开始时间,绝对结束时间,趟次选择方式,数据读取来源,样本数,运行时间(s),区间里程(km),重量(t),历史真实能耗(kWh),Simu物理机械能耗(kWh),Simu-真实(kWh),相对差异(%)
1,布政-张家潭,5,274,2024-07-01 17:10:11,2024-07-01 17:12:08,traceability-cache,cache,2347,117.3,1.428447361111113,215.24,13.15757374492361,13.066415620531574,-0.09115812439203547,-0.6928186469576554
2,张家潭-同德路,5,275,2024-07-01 17:12:38,2024-07-01 17:15:08,traceability-cache,cache,3014,150.65,2.020784861111111,215.24,17.544987480194447,16.821612492916724,-0.7233749872777225,-4.122972376550853
3,同德路-石碶,5,276,2024-07-01 17:15:38,2024-07-01 17:17:24,traceability-cache,cache,2106,105.25,1.331131944444442,215.24,15.224392381597221,14.517737696359493,-0.7066546852377287,-4.6415953262733245
4,石碶-雅渡,5,277,2024-07-01 17:17:58,2024-07-01 17:19:17,traceability-cache,cache,1576,78.75,0.8281427777777778,216.44,12.9399677644375,13.412319980620621,0.47235221618312245,3.6503353391750557
5,雅渡-庙堰,5,278,2024-07-01 17:19:46,2024-07-01 17:22:00,traceability-cache,cache,2674,133.65,1.860465833333328,216.74,20.94058174471528,20.54592282777971,-0.39465891693557204,-1.8846607116594127
6,庙堰-钟公庙,5,279,2024-07-01 17:22:30,2024-07-01 17:24:05,traceability-cache,cache,1891,94.5,1.087378472222224,216.74,15.968471399006946,15.825967669876729,-0.14250372913021603,-0.8924068282395402
7,钟公庙-鄞州区政府,5,280,2024-07-01 17:24:34,2024-07-01 17:26:04,traceability-cache,cache,1783,89.1,0.984365972222224,217.14,13.551388090173608,13.962513522270195,0.4111254320965854,3.0338252388676037
8,鄞州区政府-钱湖南路,5,281,2024-07-01 17:26:44,2024-07-01 17:28:50,traceability-cache,cache,2531,126.5,1.8117076388888962,220.12,18.80325037281944,17.70117783339484,-1.1020725394246,-5.861074641742115
9,钱湖南路-南高教园区,5,282,2024-07-01 17:29:19,2024-07-01 17:30:56,traceability-cache,cache,1939,96.9,1.169257361111111,220.72,15.653368882743056,15.751942617870977,0.09857373512792038,0.629728564287476
10,南高教园区-下应路,5,283,2024-07-01 17:31:31,2024-07-01 17:33:21,traceability-cache,cache,2207,110.3,1.4515716666666632,220.9,20.574150922993056,19.194197612251443,-1.3799533107416138,-6.707218761574356
11,下应路-大洋江,5,284,2024-07-01 17:33:51,2024-07-01 17:35:33,traceability-cache,cache,2036,101.75,1.213797361111112,220.6,14.998700675194444,14.771166501086762,-0.2275341741076827,-1.517025901343504
12,大洋江-泗港,5,285,2024-07-01 17:36:02,2024-07-01 17:37:34,traceability-cache,cache,1826,91.25,0.9589997222222223,220.5,12.113815191611112,12.169604088605503,0.05578889699439242,0.460539442875326
13,泗港-曹隘,5,286,2024-07-01 17:38:03,2024-07-01 17:40:17,traceability-cache,cache,2680,133.95,1.798582500000004,222.4,23.56321350504167,23.871656427570386,0.30844292252871675,1.3090019426370736
14,曹隘-柳隘,5,287,2024-07-01 17:40:48,2024-07-01 17:42:34,traceability-cache,cache,2133,106.6,1.30672263888889,222.2,21.548440432513885,22.58407924895201,1.0356388164381243,4.806096384012439
15,柳隘-海晏北路,5,288,2024-07-01 17:43:04,2024-07-01 17:44:33,traceability-cache,cache,1780,88.95,0.9823129166666685,222.9,15.180261521090276,15.592637375961942,0.41237585487166506,2.71652668367236
16,海晏北路-民安东路,5,289,2024-07-01 17:45:18,2024-07-01 17:46:42,traceability-cache,cache,1677,83.8,0.8649322222222211,225.2,16.392013358229168,16.699610012452116,0.30759665422294713,1.8765031939687051
17,民安东路-会展中心,5,290,2024-07-01 17:47:12,2024-07-01 17:48:29,traceability-cache,cache,1535,76.7,0.7255569444444435,230.0,14.197151550631947,14.426677362799039,0.22952581216709222,1.61670326155584
18,会展中心-院士路,5,291,2024-07-01 17:48:59,2024-07-01 17:50:53,traceability-cache,cache,2288,114.35,1.5516766666666661,230.7,15.905118916284723,16.058192585587715,0.15307366930299213,0.9624176349053579
19,院士路-盎孟港,5,292,2024-07-01 17:51:22,2024-07-01 17:52:52,traceability-cache,cache,1801,90.0,0.9947756944444425,230.3,20.392669720534723,20.422636149951963,0.02996642941723985,0.14694706395928472
20,盎孟港-三官堂,5,293,2024-07-01 17:53:22,2024-07-01 17:55:33,traceability-cache,cache,2613,130.6,1.878439583333331,229.2,20.078491397118057,18.91237125329825,-1.1661201438198077,-5.807807572570843
21,三官堂-兴庄路,5,294,2024-07-01 17:56:03,2024-07-01 17:57:41,traceability-cache,cache,1963,98.1,1.080586805555553,223.7,11.60436600561111,11.792135013021484,0.1877690074103739,1.6180893236182061
22,兴庄路-兴海南路,5,295,2024-07-01 17:58:11,2024-07-01 17:59:40,traceability-cache,cache,1769,88.4,0.959417083333333,218.2,14.994035663895833,15.121802769710355,0.12776710581452244,0.8521195272475782
