trip_no,comparison,section_index,站间区间,区间载重(t),载重来源,全局趟次ID,历史segment,历史来源run_id,归一化区间里程(km),载重里程(t·km),规划OT区间里程(km),历史OT区间里程(km),规划OT区间机械能(kWh),历史OT区间机械能(kWh),规划单位能耗[kWh/(t·km)],历史单位能耗[kWh/(t·km)],区间节能率(%)
12,energy_first,6,庙堰-钟公庙,215.54,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,608.0,1.08727,234.350176,1.086,1.086,11.40836111,13.16097222,0.0486808302,0.0561594297,13.31673
12,energy_first,7,钟公庙-鄞州区政府,215.54,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,609.0,0.98468,212.237927,0.984,0.984,8.39022222,10.33166667,0.0395321531,0.0486796437,18.791203
12,energy_first,8,鄞州区政府-钱湖南路,215.64,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,610.0,1.81316,390.989822,1.811,1.811,15.57080556,16.13763889,0.0398240687,0.0412738081,3.512492
12,energy_first,9,钱湖南路-南高教园区,215.54,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,611.0,1.16886,251.936084,1.155,1.155,12.37977778,13.55913889,0.0491385655,0.0538197572,8.697906
12,energy_first,10,南高教园区-下应路,215.54,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,612.0,1.45212,312.989945,1.452,1.452,16.00975,17.59561111,0.0511510043,0.056217816,9.012822
12,energy_first,11,下应路-大洋江,215.74,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,613.0,1.21495,262.113313,1.214,1.214,11.06775,11.65216667,0.0422250586,0.0444546923,5.015519
12,energy_first,12,大洋江-泗港,215.54,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,614.0,0.95819,206.528273,0.958,0.958,10.91591667,10.74361111,0.0528543455,0.0520200502,-1.603796
12,energy_first,13,泗港-曹隘,215.64,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,615.0,1.79885,387.904014,1.798,1.798,22.47936111,23.39502778,0.057950834,0.0603113836,3.913937
12,energy_first,14,曹隘-柳隘,215.44,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,616.0,1.30899,282.008806,1.308,1.308,16.18266667,20.53508333,0.057383551,0.0728171707,21.195028
12,energy_first,15,柳隘-海晏北路,215.34,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,617.0,0.98121,211.293761,0.98,0.98,9.89641667,12.758,0.0468372403,0.0603803913,22.429717
12,energy_first,16,海晏北路-民安东路,216.72,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,618.0,0.86581,187.638343,0.866,0.866,10.98355556,14.91422222,0.0585357735,0.0794838729,26.355157
12,energy_first,17,民安东路-会展中心,216.52,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,619.0,0.72594,157.180529,0.724,0.724,7.04216667,11.89025,0.0448030473,0.0756470925,40.773603
12,energy_first,18,会展中心-院士路,216.32,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,620.0,1.55142,335.603174,1.562,1.562,13.29733333,14.70041667,0.0396221918,0.0438029726,9.544514
12,energy_first,19,院士路-盎孟港,216.44,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,621.0,0.99484,215.32317,0.994,0.994,13.20855556,17.97633333,0.0613429367,0.0834853647,26.522527
12,energy_first,20,盎孟港-三官堂,216.44,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,622.0,1.87846,406.573882,1.8759,1.8759,16.77508333,15.03775,0.0412596186,0.0369865125,-11.553147
12,energy_first,21,三官堂-兴庄路,216.14,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,623.0,1.07983,233.394456,1.082,1.082,15.03697222,10.54,0.0644272896,0.0451595988,-42.665771
12,energy_first,22,兴庄路-兴海南路,215.54,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,624.0,0.95886,206.672684,0.958,0.958,9.08952778,11.17036111,0.0439803054,0.0540485606,18.628165
12,energy_first,23,兴海南路-梅堰,215.54,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,625.0,0.83396,179.751738,0.833,0.833,9.23286111,12.11602778,0.0513645164,0.0674042314,23.796303
12,energy_first,24,梅堰-永茂路,215.54,traceable_standard_plan_MASS,UP012_20240702_141702_R603,7.0,626.0,3.67717,792.577222,3.676,3.6761,29.22197222,26.33272222,0.0368695585,0.0332241724,-10.97209
12,energy_first,25,永茂路-镇海大道,215.44,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,627.0,2.13395,459.738188,2.1311,2.131,15.96097222,16.08475,0.0347175254,0.0349867608,0.769535
12,energy_first,26,镇海大道-骆驼桥,215.34,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,628.0,1.59661,343.813997,1.593,1.5929,18.30411111,17.78155556,0.0532384116,0.051718533,-2.938751
