站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,50,49,07/0970949,70949,5012,UP,工作日高峰,0.0,115.8,115.8,30.0,145.8,1450.94,1428.0,45.11,66.45,45.09,2317,64.9,1065,65.46,66.23,13178.69,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,50,49,07/0970949,70949,5012,UP,工作日高峰,0.0,151.8,151.8,30.0,181.8,2053.52,2017.0,48.7,64.12,48.68,3037,63.06,1825,64.0,64.07,17269.77,215.82,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,50,49,07/0970949,70949,5012,UP,工作日高峰,0.0,105.5,105.5,30.0,135.5,1352.6,1332.0,46.16,78.68,46.13,2111,77.55,644,78.27,78.61,16331.76,216.62,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,50,49,07/0970949,70949,5012,UP,工作日高峰,0.0,78.15,78.15,30.0,108.15,840.1,827.0,38.7,73.62,38.67,1564,72.09,286,73.28,73.54,13072.81,222.3,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,50,49,07/0970949,70949,5012,UP,工作日高峰,0.0,133.0,133.0,30.0,163.0,1889.49,1860.0,51.14,73.84,51.12,2661,72.3,1290,72.92,73.62,21239.45,224.3,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,50,49,07/0970949,70949,5012,UP,工作日高峰,0.0,93.75,93.75,30.0,123.75,1104.62,1086.0,42.42,78.82,42.39,1876,74.89,418,75.97,78.69,16456.49,226.0,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,50,49,07/0970949,70949,5012,UP,工作日高峰,0.0,89.6,89.6,30.0,119.6,999.25,984.0,40.15,75.94,40.13,1793,72.19,197,72.16,75.6,13387.89,228.1,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,50,49,07/0970949,70949,5012,UP,工作日高峰,0.0,127.1,127.1,30.0,157.1,1839.89,1811.0,52.11,78.32,52.09,2543,76.84,1087,77.53,78.14,18294.85,222.1,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,50,49,07/0970949,70949,5012,UP,工作日高峰,0.0,97.05,97.05,30.0,127.05,1188.17,1155.0,44.07,78.96,44.05,1942,78.1,477,78.81,78.91,16331.04,220.8,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,50,49,07/0970949,70949,5012,UP,工作日高峰,0.0,110.75,110.75,30.0,140.75,1473.88,1452.0,47.91,78.89,47.89,2216,77.34,723,78.16,78.71,20003.75,221.5,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
下应路-大洋江,50,49,07/0970949,70949,5012,UP,工作日高峰,0.0,101.6,101.6,30.0,131.6,1233.31,1214.0,43.7,73.22,43.68,2033,72.49,635,73.03,73.13,14398.99,222.1,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_下应路-大洋江.xlsx
大洋江-泗港,50,49,07/0970949,70949,5012,UP,工作日高峰,0.0,91.2,91.2,30.0,121.2,973.46,957.0,38.43,63.99,38.4,1825,61.67,625,62.41,63.81,12040.74,221.3,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_大洋江-泗港.xlsx
泗港-曹隘,50,49,07/0970949,70949,5012,UP,工作日平峰,0.0,134.15,134.15,30.0,164.15,1826.52,1798.0,49.02,79.07,49.0,2684,78.04,959,78.78,78.86,23402.15,220.22,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_泗港-曹隘.xlsx
