站间区间,运行等级,运行时长(s),预测能耗(Wh),峰值速度(kmh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,DP候选阶段,全局趟次ID,历史segment,历史来源run_id,趟次选择方式
布政-张家潭,class3,115.0,12947.95,67.1428,real,class3,class3,80,80,strong,real_only,UP019_20240703_130112_R967,18,967,traceability
布政-张家潭,class4,121.0,14024.15,63.0459,real,class4,class4,25,25,strong,real_only,UP019_20240703_130112_R967,18,967,traceability
布政-张家潭,class5,127.0,12627.54,56.8733,extrapolated_adjacent,class4,class4,0,25,generated,allow_extrapolated,UP019_20240703_130112_R967,18,967,traceability
张家潭-同德路,class1,141.0,18365.43,73.6007,extrapolated_adjacent,class2,class2,0,8,generated,allow_extrapolated,UP019_20240703_130112_R967,18,968,traceability
张家潭-同德路,class2,148.0,17497.75,66.7619,real,class2,class2,8,8,strong,real_only,UP019_20240703_130112_R967,18,968,traceability
张家潭-同德路,class3,151.0,17675.44,65.3684,real,class3,class3,54,54,strong,real_only,UP019_20240703_130112_R967,18,968,traceability
张家潭-同德路,class4,158.9,16286.72,59.5931,extrapolated_adjacent,class3,class3,0,54,generated,allow_extrapolated,UP019_20240703_130112_R967,18,968,traceability
同德路-石碶,class3,109.0,12861.48,69.8832,real,class3,class3,60,60,strong,real_only,UP019_20240703_130112_R967,18,969,traceability
同德路-石碶,class4,114.0,12843.99,64.3981,real,class4,class4,9,9,strong,real_only,UP019_20240703_130112_R967,18,969,traceability
同德路-石碶,class5,120.0,11316.5,56.6438,extrapolated_adjacent,class4,class4,0,9,generated,allow_extrapolated,UP019_20240703_130112_R967,18,969,traceability
石碶-雅渡,class2,80.0,11081.99,64.028,real,class2,class2,38,38,strong,real_only,UP019_20240703_130112_R967,18,970,traceability
石碶-雅渡,class3,82.0,11278.78,71.4001,real,class3,class3,63,63,strong,real_only,UP019_20240703_130112_R967,18,970,traceability
石碶-雅渡,class4,86.0,11684.27,61.45,real,class4,class4,8,8,strong,real_only,UP019_20240703_130112_R967,18,970,traceability
石碶-雅渡,class5,90.0,9063.81,50.8958,extrapolated_adjacent,class4,class4,0,8,generated,allow_extrapolated,UP019_20240703_130112_R967,18,970,traceability
雅渡-庙堰,class2,129.0,20630.35,79.0115,real,class2,class2,32,32,strong,real_only,UP019_20240703_130112_R967,18,971,traceability
雅渡-庙堰,class3,131.9,19827.74,75.5114,real,class3,class3,67,67,strong,real_only,UP019_20240703_130112_R967,18,971,traceability
雅渡-庙堰,class4,139.0,18541.85,69.0026,real,class4,class4,10,10,strong,real_only,UP019_20240703_130112_R967,18,971,traceability
雅渡-庙堰,class5,146.0,16230.18,62.5936,extrapolated_adjacent,class4,class4,0,10,generated,allow_extrapolated,UP019_20240703_130112_R967,18,971,traceability
庙堰-钟公庙,class3,96.0,12601.11,69.1047,real,class3,class3,84,84,strong,real_only,UP019_20240703_130112_R967,18,972,traceability
庙堰-钟公庙,class4,101.0,10879.51,58.1883,extrapolated_adjacent,class3,class3,0,84,generated,allow_extrapolated,UP019_20240703_130112_R967,18,972,traceability
钟公庙-鄞州区政府,class3,90.0,10076.78,68.6183,real,class3,class3,108,108,strong,real_only,UP019_20240703_130112_R967,18,973,traceability
钟公庙-鄞州区政府,class4,95.0,7701.49,59.8645,real,class4,class4,1,1,weak,real_only,UP019_20240703_130112_R967,18,973,traceability
钟公庙-鄞州区政府,class5,99.0,5826.86,53.292,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated,UP019_20240703_130112_R967,18,973,traceability
鄞州区政府-钱湖南路,class2,128.0,18452.0,77.1065,real,class2,class2,45,45,strong,real_only,UP019_20240703_130112_R967,18,974,traceability
鄞州区政府-钱湖南路,class3,132.1,16057.12,71.1313,real,class3,class3,62,62,strong,real_only,UP019_20240703_130112_R967,18,974,traceability
鄞州区政府-钱湖南路,class4,139.0,15176.42,64.1845,extrapolated_adjacent,class3,class3,0,62,generated,allow_extrapolated,UP019_20240703_130112_R967,18,974,traceability
钱湖南路-南高教园区,class3,100.0,13882.04,70.3357,real,class3,class3,63,63,strong,real_only,UP019_20240703_130112_R967,18,975,traceability
钱湖南路-南高教园区,class4,105.0,12297.33,60.2913,extrapolated_adjacent,class3,class3,0,63,generated,allow_extrapolated,UP019_20240703_130112_R967,18,975,traceability
南高教园区-下应路,class2,110.0,21332.35,78.6937,real,class2,class2,44,44,strong,real_only,UP019_20240703_130112_R967,18,976,traceability
南高教园区-下应路,class3,114.0,19076.24,70.8315,real,class3,class3,63,63,strong,real_only,UP019_20240703_130112_R967,18,976,traceability
南高教园区-下应路,class4,120.0,17137.96,62.5044,extrapolated_adjacent,class3,class3,0,63,generated,allow_extrapolated,UP019_20240703_130112_R967,18,976,traceability
下应路-大洋江,class2,101.0,13110.45,73.0005,real,class2,class2,41,41,strong,real_only,UP019_20240703_130112_R967,18,977,traceability
下应路-大洋江,class3,106.0,11143.14,62.6717,real,class3,class3,65,65,strong,real_only,UP019_20240703_130112_R967,18,977,traceability
下应路-大洋江,class4,111.0,11454.96,58.9497,real,class4,class4,1,1,weak,real_only,UP019_20240703_130112_R967,18,977,traceability
下应路-大洋江,class5,117.0,10337.74,52.235,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated,UP019_20240703_130112_R967,18,977,traceability
大洋江-泗港,class3,92.0,10609.33,60.955,real,class3,class3,99,99,strong,real_only,UP019_20240703_130112_R967,18,978,traceability
大洋江-泗港,class4,96.0,9438.27,53.4127,extrapolated_adjacent,class3,class3,0,99,generated,allow_extrapolated,UP019_20240703_130112_R967,18,978,traceability
泗港-曹隘,class2,128.1,19893.4,78.3111,real,class2,class2,6,6,strong,real_only,UP019_20240703_130112_R967,18,979,traceability
泗港-曹隘,class4,137.0,24204.29,75.5316,real,class4,class4,82,82,strong,real_only,UP019_20240703_130112_R967,18,979,traceability
泗港-曹隘,class5,143.0,22116.85,66.4822,extrapolated_adjacent,class4,class4,0,82,generated,allow_extrapolated,UP019_20240703_130112_R967,18,979,traceability
曹隘-柳隘,class2,106.0,18008.89,79.8019,real,class2,class2,68,68,strong,real_only,UP019_20240703_130112_R967,18,980,traceability
曹隘-柳隘,class3,108.0,16028.54,73.3086,real,class3,class3,38,38,strong,real_only,UP019_20240703_130112_R967,18,980,traceability
曹隘-柳隘,class4,113.0,12136.64,61.633,real,class4,class4,1,1,weak,real_only,UP019_20240703_130112_R967,18,980,traceability
曹隘-柳隘,class5,119.0,10454.74,54.6398,extrapolated_adjacent,class4,class4,0,1,generated,allow_extrapolated,UP019_20240703_130112_R967,18,980,traceability
柳隘-海晏北路,class3,92.0,11491.86,64.8124,real,class3,class3,35,35,strong,real_only,UP019_20240703_130112_R967,18,981,traceability
柳隘-海晏北路,class4,96.0,10157.79,55.7057,extrapolated_adjacent,class3,class3,0,35,generated,allow_extrapolated,UP019_20240703_130112_R967,18,981,traceability
海晏北路-民安东路,class3,85.0,13990.78,67.8617,real,class3,class3,41,41,strong,real_only,UP019_20240703_130112_R967,18,982,traceability
海晏北路-民安东路,class4,89.0,12450.04,54.6404,extrapolated_adjacent,class3,class3,0,41,generated,allow_extrapolated,UP019_20240703_130112_R967,18,982,traceability
民安东路-会展中心,class2,76.0,15754.82,79.546,real,class2,class2,96,96,strong,real_only,UP019_20240703_130112_R967,18,983,traceability
民安东路-会展中心,class3,79.0,11789.92,60.2777,real,class3,class3,8,8,strong,real_only,UP019_20240703_130112_R967,18,983,traceability
民安东路-会展中心,class4,83.0,7639.83,48.5512,extrapolated_adjacent,class3,class3,0,8,generated,allow_extrapolated,UP019_20240703_130112_R967,18,983,traceability
会展中心-院士路,class3,115.0,14453.61,77.6321,real,class3,class3,104,104,strong,real_only,UP019_20240703_130112_R967,18,984,traceability
会展中心-院士路,class4,121.0,12844.08,67.4907,extrapolated_adjacent,class3,class3,0,104,generated,allow_extrapolated,UP019_20240703_130112_R967,18,984,traceability
院士路-盎孟港,class3,91.0,16645.21,72.2139,real,class3,class3,99,99,strong,real_only,UP019_20240703_130112_R967,18,985,traceability
