站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,27.55,29.0,-1.45,117.45,12948.01,13074.53,,历史原始实测能耗,126.52,real,class3,class3,80,80,strong,real_only,215.24,UP015_20240702_210016_R766,14.0,766.0
张家潭-同德路,class2,148.0,27.55,29.0,-1.45,151.35,17596.66,16930.95,,历史原始实测能耗,-665.71,real,class2,class2,8,8,strong,real_only,215.24,UP015_20240702_210016_R766,14.0,767.0
同德路-石碶,class3,109.0,32.3,34.0,-1.7,110.05,13100.16,12339.37,,历史原始实测能耗,-760.79,real,class3,class3,60,60,strong,real_only,215.24,UP015_20240702_210016_R766,14.0,768.0
石碶-雅渡,class2,80.0,28.5,30.0,-1.5,84.5,11069.52,12000.74,,历史原始实测能耗,931.22,real,class2,class2,38,38,strong,real_only,215.44,UP015_20240702_210016_R766,14.0,769.0
雅渡-庙堰,class4,139.0,28.5,30.0,-1.5,130.65,18167.52,21190.73,,历史原始实测能耗,3023.21,real,class4,class4,10,10,strong,real_only,215.44,UP015_20240702_210016_R766,14.0,770.0
庙堰-钟公庙,class3,96.0,28.51,30.0,-1.49,95.2,12501.13,13067.77,,历史原始实测能耗,566.64,real,class3,class3,84,84,strong,real_only,215.64,UP015_20240702_210016_R766,14.0,771.0
钟公庙-鄞州区政府,class4,95.0,38.01,40.0,-1.99,90.95,7975.63,10193.11,,历史原始实测能耗,2217.48,real,class4,class4,1,1,weak,real_only,215.54,UP015_20240702_210016_R766,14.0,772.0
鄞州区政府-钱湖南路,class3,132.1,28.51,30.0,-1.49,130.85,16079.05,16118.46,,历史原始实测能耗,39.41,real,class3,class3,62,62,strong,real_only,215.84,UP015_20240702_210016_R766,14.0,773.0
钱湖南路-南高教园区,class3,100.0,33.26,35.0,-1.74,100.75,13621.4,13634.57,,历史原始实测能耗,13.17,real,class3,class3,63,63,strong,real_only,215.94,UP015_20240702_210016_R766,14.0,774.0
南高教园区-下应路,class3,114.0,28.51,30.0,-1.49,115.55,18431.79,19139.27,,历史原始实测能耗,707.48,real,class3,class3,63,63,strong,real_only,215.94,UP015_20240702_210016_R766,14.0,775.0
下应路-大洋江,class3,106.0,28.51,30.0,-1.49,105.4,11263.65,11311.61,,历史原始实测能耗,47.96,real,class3,class3,65,65,strong,real_only,215.84,UP015_20240702_210016_R766,14.0,776.0
大洋江-泗港,class3,92.0,27.56,29.0,-1.44,91.75,10720.8,11375.67,,历史原始实测能耗,654.87,real,class3,class3,99,99,strong,real_only,215.54,UP015_20240702_210016_R766,14.0,777.0
泗港-曹隘,class4,137.0,29.46,31.0,-1.54,134.8,22925.0,22444.78,,历史原始实测能耗,-480.22,real,class4,class4,82,82,strong,real_only,215.64,UP015_20240702_210016_R766,14.0,778.0
曹隘-柳隘,class4,113.0,28.51,30.0,-1.49,106.2,15909.71,20848.22,,历史原始实测能耗,4938.51,real,class4,class4,1,1,weak,real_only,215.34,UP015_20240702_210016_R766,14.0,779.0
柳隘-海晏北路,class3,92.0,42.76,45.0,-2.24,90.4,11439.01,11061.81,,历史原始实测能耗,-377.2,real,class3,class3,35,35,strong,real_only,215.24,UP015_20240702_210016_R766,14.0,780.0
海晏北路-民安东路,class3,85.0,28.51,30.0,-1.49,83.55,14704.07,15759.25,,历史原始实测能耗,1055.18,real,class3,class3,41,41,strong,real_only,216.12,UP015_20240702_210016_R766,14.0,781.0
民安东路-会展中心,class3,79.0,28.51,30.0,-1.49,77.05,11617.05,12439.77,,历史原始实测能耗,822.72,real,class3,class3,8,8,strong,real_only,216.52,UP015_20240702_210016_R766,14.0,782.0
会展中心-院士路,class3,115.0,27.56,29.0,-1.44,114.6,14934.06,14866.72,,历史原始实测能耗,-67.34,real,class3,class3,104,104,strong,real_only,216.42,UP015_20240702_210016_R766,14.0,783.0
院士路-盎孟港,class3,91.0,27.56,29.0,-1.44,89.85,17798.35,18239.75,,历史原始实测能耗,441.4,real,class3,class3,99,99,strong,real_only,216.02,UP015_20240702_210016_R766,14.0,784.0
盎孟港-三官堂,class3,138.9,33.26,35.0,-1.74,139.5,17033.14,16646.68,,历史原始实测能耗,-386.46,real,class3,class3,52,52,strong,real_only,215.84,UP015_20240702_210016_R766,14.0,785.0
三官堂-兴庄路,class3,104.0,29.46,31.0,-1.54,103.4,10496.93,10638.54,,历史原始实测能耗,141.61,real,class3,class3,58,58,strong,real_only,215.74,UP015_20240702_210016_R766,14.0,786.0
兴庄路-兴海南路,class2,87.0,28.51,30.0,-1.49,91.25,15846.08,12702.29,,历史原始实测能耗,-3143.79,real,class2,class2,30,30,strong,real_only,215.54,UP015_20240702_210016_R766,14.0,787.0
兴海南路-梅堰,class3,82.0,34.21,36.0,-1.79,81.6,11326.26,12657.2,,历史原始实测能耗,1330.94,real,class3,class3,73,73,strong,real_only,215.54,UP015_20240702_210016_R766,14.0,788.0
梅堰-永茂路,class4,329.0,26.61,28.0,-1.39,329.1,26368.07,26194.01,,历史原始实测能耗,-174.06,real,class4,class4,26,26,strong,real_only,215.34,UP015_20240702_210016_R766,9.0,789.0
永茂路-镇海大道,class4,156.0,26.61,28.0,-1.39,141.7,15467.81,17906.63,,历史原始实测能耗,2438.82,real,class4,class4,1,1,weak,real_only,215.24,UP015_20240702_210016_R766,14.0,790.0
镇海大道-骆驼桥,class4,128.0,0.0,0.0,0.0,116.35,17279.89,20497.1,,历史原始实测能耗,3217.21,real,class4,class4,1,1,weak,real_only,215.24,UP015_20240702_210016_R766,14.0,791.0
--- 总计 ---,节能率: 4.13%,3063.0,748.8,788.0,-39.2,3811.7999999999997,386620.75,403279.53,0.0,历史原始实测能耗,16658.78,,,,,,,real_only,,,,
