站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,58,57,07/1071057,71057,5012,UP,工作日高峰,0.0,116.55,116.55,30.0,146.55,1450.69,1428.0,44.81,66.22,44.79,2332,64.83,1062,65.22,65.95,13670.03,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,58,57,07/1071057,71057,5012,UP,工作日高峰,0.0,151.2,151.2,30.0,181.2,2052.55,2017.0,48.87,64.53,48.85,3025,63.67,1783,64.31,64.36,17341.57,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,58,57,07/1071057,71057,5012,UP,工作日高峰,0.0,106.55,106.55,30.0,136.55,1352.03,1332.0,45.68,78.19,45.66,2132,77.18,651,77.72,78.13,16265.51,215.34,3,0,7,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,58,57,07/1071057,71057,5012,UP,工作日高峰,0.0,81.8,81.8,30.0,111.8,840.47,827.0,36.99,75.19,36.97,1637,73.2,171,73.97,75.11,12812.26,216.94,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,58,57,07/1071057,71057,5012,UP,工作日高峰,0.0,130.2,130.2,30.0,160.2,1889.44,1860.0,52.24,78.6,52.22,2605,77.97,1105,78.48,78.54,21911.2,217.24,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,58,57,07/1071057,71057,5012,UP,工作日高峰,0.0,94.35,94.35,30.0,124.35,1104.3,1086.0,42.14,78.14,42.11,1888,74.59,437,75.31,77.98,15575.78,216.84,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,58,57,07/1071057,71057,5012,UP,工作日高峰,0.0,89.2,89.2,30.0,119.2,999.46,984.0,40.34,78.42,40.31,1785,75.1,300,76.17,78.36,14093.94,217.22,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,58,57,07/1071057,71057,5012,UP,工作日高峰,0.0,127.75,127.75,30.0,157.75,1839.29,1811.0,51.83,78.36,51.81,2556,77.92,1056,78.29,78.32,18630.95,219.82,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,58,57,07/1071057,71057,5012,UP,工作日高峰,0.0,97.05,97.05,30.0,127.05,1187.44,1155.0,44.05,78.42,44.02,1942,77.38,489,78.01,78.35,16158.32,220.02,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,58,57,07/1071057,71057,5012,UP,工作日高峰,0.0,111.05,111.05,30.0,141.05,1474.4,1452.0,47.8,78.54,47.78,2222,77.89,724,78.37,78.43,21521.05,219.02,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
下应路-大洋江,58,57,07/1071057,71057,5012,UP,工作日高峰,0.0,102.2,102.2,30.0,132.2,1232.7,1214.0,43.42,72.74,43.4,2045,72.07,644,72.6,72.66,14294.68,218.82,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_下应路-大洋江.xlsx
大洋江-泗港,58,57,07/1071057,71057,5012,UP,工作日高峰,0.0,90.6,90.6,30.0,120.6,972.51,957.0,38.64,66.49,38.62,1813,63.9,550,64.24,66.35,12688.43,219.2,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_大洋江-泗港.xlsx
泗港-曹隘,58,57,07/1071057,71057,5012,UP,工作日高峰,0.0,131.1,131.1,30.0,161.1,1826.2,1798.0,50.15,78.6,50.13,2623,77.42,1057,78.19,78.42,22571.32,220.3,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_泗港-曹隘.xlsx
曹隘-柳隘,58,57,07/1071057,71057,5012,UP,工作日高峰,0.0,106.8,106.8,30.0,136.8,1326.36,1307.0,44.71,75.98,44.69,2137,74.13,488,75.29,75.82,20966.67,219.9,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_曹隘-柳隘.xlsx
柳隘-海晏北路,58,57,07/1071057,71057,5012,UP,工作日高峰,0.0,88.85,88.85,30.0,118.85,995.3,980.0,40.33,78.46,40.3,1778,77.21,282,78.21,78.37,14604.93,220.1,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_柳隘-海晏北路.xlsx
海晏北路-民安东路,58,57,07/1071057,71057,5012,UP,工作日高峰,0.0,84.25,84.25,30.0,114.25,878.19,865.0,37.53,73.63,37.5,1686,71.38,234,71.92,73.54,15819.99,224.2,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_海晏北路-民安东路.xlsx
民安东路-会展中心,58,57,07/1071057,71057,5012,UP,工作日低峰,0.0,77.15,77.15,30.0,107.15,736.43,724.0,34.36,68.66,34.34,1544,67.09,204,68.24,68.6,12170.29,217.24,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_民安东路-会展中心.xlsx
