station_id,station_name,course_id
STA_1,布政,priority_history_trip002
STA_2,张家潭,priority_history_trip002
STA_3,同德路,priority_history_trip002
STA_4,石碶,priority_history_trip002
STA_5,雅渡,priority_history_trip002
STA_6,庙堰,priority_history_trip002
STA_7,钟公庙,priority_history_trip002
STA_8,鄞州区政府,priority_history_trip002
STA_9,钱湖南路,priority_history_trip002
STA_10,南高教园区,priority_history_trip002
STA_11,下应路,priority_history_trip002
STA_12,大洋江,priority_history_trip002
STA_13,泗港,priority_history_trip002
STA_14,曹隘,priority_history_trip002
STA_15,柳隘,priority_history_trip002
STA_16,海晏北路,priority_history_trip002
STA_17,民安东路,priority_history_trip002
STA_18,会展中心,priority_history_trip002
STA_19,院士路,priority_history_trip002
STA_20,盎孟港,priority_history_trip002
STA_21,三官堂,priority_history_trip002
STA_22,兴庄路,priority_history_trip002
STA_23,兴海南路,priority_history_trip002
STA_24,梅堰,priority_history_trip002
STA_25,永茂路,priority_history_trip002
STA_26,镇海大道,priority_history_trip002
STA_27,骆驼桥,priority_history_trip002
