time_s,dist_m,velocity_mps,velocity_kmh
0.0,0.0,0.00647699233037336,0.023317172389344096
0.05,0.0014438718156024393,0.05127788029372421,0.18460036905740715
0.1,0.005044923832972679,0.09276420040108538,0.3339511214439074
0.15000000000000002,0.010644996452600995,0.13123870438404725,0.4724593357825701
0.2,0.018101067661557182,0.16700414397420016,0.6012149183071206
0.25,0.02728525303349055,0.2003632709031345,0.7213077752512842
0.30000000000000004,0.03808480572862993,0.23161883690244056,0.833827812848786
0.35000000000000003,0.05040211649378369,0.2610735937037101,0.9398649373333563
0.4,0.06414167109896096,0.2885085905033806,1.0386309258121702
0.45,0.0792597529545877,0.3162146837216888,1.1383728613980797
0.5,0.09573659038320169,0.34285881342287045,1.2342917283223336
0.55,0.11352105225415345,0.3685196614151997,1.326670781094719
0.6000000000000001,0.13256605417726852,0.3932804155094039,1.415809495833854
0.65,0.15282854247219005,0.4172191162874567,1.5019888186348442
0.7000000000000001,0.17426909086219616,0.440402819312788,1.585450149526037
0.75,0.19685237639221184,0.4629286018878393,1.6665429667962215
0.8,0.22054923770013413,0.4849458504290516,1.7458050615445857
0.8500000000000001,0.24533027047973707,0.506295460755066,1.8226636587182379
0.9,0.27116174739245297,0.5269636157535705,1.8970690167128539
0.9500000000000001,0.29801593960110173,0.5472040725923808,1.969934661332571
1.0,0.3258766471350738,0.5672242287665025,2.042007223559409
1.05,0.3547346765493976,0.5870969478064488,2.1135490121032157
1.1,0.38458579749782446,0.6069478901306247,2.185012404470249
1.1500000000000001,0.41543275783358846,0.6269305232999363,2.256949883879771
1.2000000000000002,0.4472862734936243,0.6472101031014978,2.3299563711653923
1.25,0.4801619923584867,0.6678186514929983,2.404147145374794
1.3,0.5140784829059136,0.6888409704040762,2.4798274934546742
1.35,0.5490591552819716,0.7103859246382436,2.5573893286976768
1.4000000000000001,0.5851294796306217,0.7324270493077624,2.6367373775079446
1.4500000000000002,0.6223127865550012,0.7549052276674205,2.717658819602714
1.5,0.6606292242102192,0.7777522785412997,2.799908202748679
1.55,0.7000926848045816,0.8007861452331979,2.8828301228395126
1.6,0.7407137457858939,0.8240562940192896,2.9666026584694425
1.6500000000000001,0.7825072540435629,0.847684036287471,3.051662530634896
1.7000000000000002,0.8254921695028592,0.8717125820843805,3.1381652955037698
1.75,0.8696876382210224,0.8961061666421447,3.225982199911721
1.8,0.9151109906717646,0.9208279313875452,3.314980552995163
1.85,0.9617807654051131,0.9459630579463942,3.4054670086070193
1.9000000000000001,1.0097189502269768,0.9715643349281468,3.4976316057413284
1.9500000000000002,1.0589477224579729,0.9975865543117008,3.5913115955221233
2.0,1.1094867304366782,1.0239737648365153,3.686305553411455
2.0500000000000003,1.1613543051849768,1.0507292250954268,3.7826252103435363
2.1,1.2145681051299706,1.0778227727043268,3.8801619817355766
2.15,1.2691430591404163,1.1051753877135013,3.978631395768605
2.2,1.3250920452050292,1.1327840548710184,4.078022597535666
2.25,1.3824302530876758,1.1607442604348401,4.178679337565424
2.3000000000000003,1.4411721523023757,1.188931708153159,4.280154149351373
2.35,1.5013271200188878,1.217267000507321,4.382161201826356
2.4000000000000004,1.5629048392198956,1.245841767532995,4.485030363118782
2.45,1.625917407425343,1.2746609606848978,4.588779458465632
2.5,1.690374731913523,1.3036320188422972,4.69307526783227
2.5500000000000003,1.7562829568030984,1.3326969767407242,4.797709116266607
2.6,1.8236473035493492,1.3618768931093042,4.902756815193495
2.6500000000000004,1.8924727985489636,1.3911429068752685,5.0081144647509666
2.7,1.962758688812701,1.420292703674238,5.113053733227257
2.75,2.0344994790823936,1.4493389071134533,5.217620065608432
2.8000000000000003,2.1076915199433217,1.4783427273236773,5.322033818365239
2.85,2.1823315540614336,1.507258637400808,5.426131094642908
2.9000000000000004,2.258413479105201,1.5360183643498753,5.529666111659551
2.95,2.335931076646631,1.5646855373073207,5.632867934306355
3.0,2.414880329304263,1.5932845689979693,5.73582444839269
3.0500000000000003,2.49525620418942,1.6217504264082985,5.838301535069875
3.1,2.5770527316900926,1.65011067361861,5.940398425026996
3.1500000000000004,2.6602676110207226,1.6784844996065869,6.0425441985837125
3.2,2.7449005755042832,1.7068340797358301,6.144602687048988
3.25,2.83094726831553,1.7350336327140408,6.246121077770547
3.3000000000000003,2.9184035144082072,1.7632162109930491,6.347578359574977
3.35,3.007270874521727,1.7914781935477526,6.449321496771909
3.4000000000000004,3.0975509384083897,1.8197243619187522,6.5510077029075084
3.45,3.1892406880650213,1.8478656243465084,6.6523162476474305
3.5,3.282336454771121,1.8759650438974844,6.753474158030944
3.5500000000000003,3.376836520605219,1.9040375894664208,6.854535322079115
3.6,3.472735440451653,1.931919204390943,6.954909135807395
3.6500000000000004,3.5700251613119764,1.959669630022,7.0548106680792
3.7,3.6687007473734314,1.9873538124361985,7.154473724770314
3.75,3.768758120525071,2.014941113629386,7.253788009065791
3.8000000000000003,3.8701919866332757,2.0424135306988127,7.352688710515726
3.85,3.972999152884793,2.069873119361874,7.451543229702747
3.9000000000000004,4.077181177689283,2.0974078728177217,7.550668342143799
3.95,4.1827410047845985,2.124985210994889,7.6499467595816
4.0,4.289682627479077,2.1526796967842285,7.749646908423223
4.05,4.398014291234221,2.1805868534215174,7.850112672317462
4.1000000000000005,4.507746761751027,2.2087119672507423,7.951363082102672
4.15,4.618888980322035,2.2369767755895795,8.053116392122487
4.2,4.731447718463167,2.2653727500557137,8.15534190020057
