t_arrival,v_peak_opt,E_wh
284.0,16.646552674545788,31063.919921875
284.5,16.587309180657495,30992.921875
285.0,16.52857151723227,30914.423828125
285.5,16.470332153725973,30857.244140625
286.0,16.41258372634982,30744.203125
286.5,16.35531903309803,30642.751953125
287.0,16.298531028962547,30566.943359375
287.5,16.24221282132615,30468.87109375
288.0,16.186357665526142,30434.388671875
288.5,16.13095896058092,30415.25390625
289.0,16.076010245072133,30329.0390625
289.5,16.021505193175706,30284.375
290.0,15.967437610835242,30200.05078125
290.5,15.913801432071441,30140.75
291.0,15.860590715421992,30161.052734375
291.5,15.807799640506198,30094.765625
292.0,15.75542250470899,30057.44140625
292.5,15.70345371997959,30009.9921875
293.0,15.651887809739742,29989.5234375
293.5,15.60071940589715,29953.34375
294.0,15.549943245959831,29940.51953125
294.5,15.499554170247139,29947.85546875
295.0,15.4495471191936,29889.55859375
295.5,15.399917130741985,29872.23828125
296.0,15.350659337821748,29869.08984375
296.5,15.301768965909773,29826.830078125
297.0,15.25324133066995,29820.54296875
297.5,15.205071835668688,29817.54296875
298.0,15.157255970163233,29812.328125
298.5,15.109789306960185,29808.580078125
299.0,15.062667500341359,29756.369140625
299.5,15.015886284054538,29746.072265625
300.0,14.969441469366629,29748.322265625
300.5,14.923328943176918,29718.51953125
301.0,14.877544666188058,29729.7578125
301.5,14.832084671132888,29700.251953125
302.0,14.78694506105482,29675.23046875
302.5,14.742122007639898,29687.330078125
303.0,14.69761174959875,29667.0
303.5,14.653410591096483,29653.458984375
304.0,14.609514900228925,29642.8984375
304.5,14.56592110754347,29592.72265625
305.0,14.522625704603097,29601.0078125
305.5,14.479625242591792,29577.5546875
306.0,14.43691633096025,29540.798828125
306.5,14.394495636110175,29531.87890625
307.0,14.352359880115976,29481.189453125
307.5,14.31050583948265,29462.33203125
308.0,14.26893034393842,29435.44921875
308.5,14.22763027526112,29374.21484375
309.0,14.186602566137152,29358.107421875
309.5,14.145844199051893,29315.6953125
310.0,14.10535220521046,29302.96484375
310.5,14.065123663487979,29277.32421875
311.0,14.025155699408302,29244.51953125
311.5,13.985445484150105,29232.76171875
312.0,13.945990233579783,29223.55859375
312.5,13.906787207310005,29203.55859375
313.0,13.867833707783205,29204.162109375
313.5,13.82912707937925,29204.02734375
314.0,13.79066470754645,29221.84375
314.5,13.752444017955195,29186.15625
315.0,13.714462475673578,29209.8125
315.5,13.676717584364114,29192.0625
316.0,13.63920688550121,29195.76953125
316.5,13.601927957608439,29183.984375
317.0,13.56487841551521,29189.115234375
317.5,13.528055909632158,29205.0703125
318.0,13.491458125244705,29203.818359375
318.5,13.455082781824219,29212.037109375
319.0,13.41892763235628,29165.30859375
319.5,13.382990462685578,29204.421875
320.0,13.347269090876736,29169.486328125
320.5,13.311761366590943,29183.841796875
321.0,13.276465170477596,29127.859375
321.5,13.241378413580648,29160.626953125
322.0,13.20649903675935,29110.423828125
322.5,13.171825010122719,29108.453125
323.0,13.137354332477539,29111.130859375
323.5,13.103085030789414,29096.150390625
324.0,13.069015159656578,29103.8359375
324.5,13.035142800795919,29049.115234375
325.0,13.001466062541157,29028.234375
325.5,12.967983079352564,29022.8125
326.0,12.934692011338038,29005.1171875
326.5,12.901591043785206,28962.94921875
327.0,12.868678386704241,28946.4609375
327.5,12.835952274381063,28917.873046875
328.0,12.803410964940694,28914.65625
328.5,12.771052739920423,28878.19921875
329.0,12.738875903852623,28856.5703125
329.5,12.706878783856832,28763.984375
330.0,12.675059729240902,28757.1796875
330.5,12.64341711111103,28701.796875
331.0,12.611949321990346,28692.017578125
331.5,12.580654775445861,28671.169921875
332.0,12.549531905723555,28629.859375
332.5,12.518579167391447,28582.31640625
333.0,12.487795034990334,28548.08984375
333.5,12.45717800269204,28510.3984375
334.0,12.426726583965056,28483.06640625
334.5,12.396439311247262,28441.2265625
335.0,12.366314735625597,28413.3203125
335.5,12.336351426522578,28371.279296875
336.0,12.306547971389316,28343.76171875
336.5,12.276902975405035,28315.62109375
337.0,12.247415061182867,28259.83203125
337.5,12.218082868481732,28241.697265625
338.0,12.188905053924168,28217.435546875
338.5,12.15988029072005,28176.859375
339.0,12.131007268395864,28141.7578125
339.5,12.102284692529613,28125.5703125
340.0,12.07371128449106,28103.6796875
340.5,12.045285781187252,28044.83203125
341.0,12.01700693481315,28077.98828125
341.5,11.988873512607327,28041.328125
342.0,11.96088429661245,28000.806640625
342.5,11.933038083440668,27967.330078125
343.0,11.90533368404353,27920.19140625
343.5,11.877769923486493,27877.978515625
344.0,11.850345640727923,27862.19921875
344.5,11.823059688402308,27783.93359375
345.0,11.795910932607798,27740.591796875
