站间区间,选定等级,规划用时(s),停站时间(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS
布政-张家潭,class3,115.0,24.1,113.5,12906.3,15863.83,15792.69,历史原始实测能耗,2957.53,real,class3,class3,80,80,strong,energy_first,215.34
张家潭-同德路,class1,141.0,24.1,146.6,18247.37,18194.7,17772.41,历史原始实测能耗,-52.67,extrapolated_adjacent,class2,class2,0,8,generated,energy_first,215.44
同德路-石碶,class3,109.0,24.1,104.5,13376.21,15511.01,15629.16,历史原始实测能耗,2134.8,real,class3,class3,60,60,strong,energy_first,216.32
石碶-雅渡,class2,80.0,24.1,81.6,10951.41,13264.36,13030.06,历史原始实测能耗,2312.95,real,class2,class2,38,38,strong,energy_first,221.6
雅渡-庙堰,class4,139.0,24.1,128.8,18966.47,22674.86,21798.96,历史原始实测能耗,3708.39,real,class4,class4,10,10,strong,energy_first,223.7
庙堰-钟公庙,class4,101.0,24.1,94.25,11448.45,16871.24,16700.18,历史原始实测能耗,5422.79,extrapolated_adjacent,class3,class3,0,84,generated,energy_first,225.8
钟公庙-鄞州区政府,class4,95.0,24.1,88.95,8547.21,14256.91,14109.53,历史原始实测能耗,5709.7,real,class4,class4,1,1,weak,energy_first,227.8
鄞州区政府-钱湖南路,class4,139.0,24.1,126.9,16609.78,20010.93,19717.47,历史原始实测能耗,3401.15,extrapolated_adjacent,class3,class3,0,62,generated,energy_first,227.2
钱湖南路-南高教园区,class4,105.0,24.1,96.7,12779.93,16926.32,16660.13,历史原始实测能耗,4146.39,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,227.9
南高教园区-下应路,class4,120.0,24.1,110.0,17806.69,22591.88,22130.91,历史原始实测能耗,4785.19,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,230.2
下应路-大洋江,class3,106.0,24.1,101.3,12704.65,14525.55,14578.81,历史原始实测能耗,1820.9,real,class3,class3,65,65,strong,energy_first,231.8
大洋江-泗港,class4,96.0,24.1,89.9,10211.36,12769.88,12444.73,历史原始实测能耗,2558.52,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,230.7
泗港-曹隘,class4,137.0,24.1,133.95,24444.9,24552.63,24366.44,历史原始实测能耗,107.73,real,class4,class4,82,82,strong,energy_first,231.0
曹隘-柳隘,class4,113.0,24.1,105.85,16830.56,22669.73,22582.48,历史原始实测能耗,5839.17,real,class4,class4,1,1,weak,energy_first,233.8
柳隘-海晏北路,class4,96.0,24.1,88.2,11166.19,15830.39,15820.53,历史原始实测能耗,4664.2,extrapolated_adjacent,class3,class3,0,35,generated,energy_first,234.51
海晏北路-民安东路,class4,89.0,24.1,83.65,13571.11,16877.9,16735.22,历史原始实测能耗,3306.79,extrapolated_adjacent,class3,class3,0,41,generated,energy_first,234.8
民安东路-会展中心,class4,83.0,24.1,77.0,7467.22,12578.23,12638.26,历史原始实测能耗,5111.01,extrapolated_adjacent,class3,class3,0,8,generated,energy_first,226.11
会展中心-院士路,class4,121.0,24.1,115.3,13692.53,15280.36,15217.26,历史原始实测能耗,1587.83,extrapolated_adjacent,class3,class3,0,104,generated,energy_first,221.7
院士路-盎孟港,class4,96.0,24.1,91.05,14319.93,20224.55,20126.74,历史原始实测能耗,5904.62,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,219.1
盎孟港-三官堂,class2,132.0,24.1,131.15,17660.56,19290.39,18917.1,历史原始实测能耗,1629.83,real,class2,class2,52,52,strong,energy_first,216.54
三官堂-兴庄路,class3,104.0,24.1,98.2,10484.03,11440.95,11340.79,历史原始实测能耗,956.92,real,class3,class3,58,58,strong,energy_first,215.64
兴庄路-兴海南路,class4,96.0,24.1,88.2,9433.42,14589.27,14480.76,历史原始实测能耗,5155.85,extrapolated_adjacent,class3,class3,0,72,generated,energy_first,215.34
兴海南路-梅堰,class4,86.0,24.1,81.35,9580.99,13327.33,13269.64,历史原始实测能耗,3746.34,extrapolated_adjacent,class3,class3,0,73,generated,energy_first,215.44
梅堰-永茂路,class4,329.0,24.1,327.95,26343.06,25988.42,26025.7,历史原始实测能耗,-354.64,real,class4,class4,26,26,strong,energy_first,215.24
永茂路-镇海大道,class4,156.0,24.1,142.2,15473.7,18060.62,17554.93,历史原始实测能耗,2586.92,real,class4,class4,1,1,weak,energy_first,215.24
镇海大道-骆驼桥,class4,128.0,0.0,116.9,17268.28,20480.48,20151.15,历史原始实测能耗,3212.2,real,class4,class4,1,1,weak,energy_first,215.24
--- 总计 ---,节能率: 18.12%,3112.0,602.5000000000001,3713.95,372292.31,454652.72,449592.04,历史原始实测能耗,82360.41,,,,,,,energy_first,
