站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,95,94,07/2672694,72694,5012,UP,工作日高峰,0.0,114.25,114.25,30.0,144.25,1451.39,1428.0,45.73,76.7,45.71,2286,74.44,177,73.73,76.53,16082.57,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,95,94,07/2672694,72694,5012,UP,工作日高峰,0.0,146.6,146.6,30.0,176.6,2053.88,2017.0,50.44,68.3,50.42,2933,67.41,1637,68.21,68.25,17665.51,215.24,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,95,94,07/2672694,72694,5012,UP,工作日高峰,0.0,105.1,105.1,30.0,135.1,1352.33,1332.0,46.32,78.86,46.3,2103,78.16,611,78.71,78.8,15518.82,215.24,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,95,94,07/2672694,72694,5012,UP,工作日高峰,0.0,81.8,81.8,30.0,111.8,840.64,827.0,37.0,75.67,36.97,1637,73.64,169,74.33,75.6,13005.48,215.84,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,95,94,07/2672694,72694,5012,UP,工作日高峰,0.0,129.05,129.05,30.0,159.05,1889.99,1860.0,52.72,79.1,52.7,2582,78.39,1096,78.96,79.0,21550.0,215.94,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,95,94,07/2672694,72694,5012,UP,工作日高峰,0.0,94.25,94.25,30.0,124.25,1104.06,1086.0,42.17,78.76,42.15,1886,74.8,446,75.79,78.65,16139.14,215.84,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,95,94,07/2672694,72694,5012,UP,工作日高峰,0.0,89.15,89.15,30.0,119.15,999.39,984.0,40.36,78.78,40.33,1784,75.42,295,76.33,78.72,13920.89,215.64,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,95,94,07/2672694,72694,5012,UP,工作日高峰,0.0,128.2,128.2,30.0,158.2,1839.28,1811.0,51.65,76.83,51.63,2565,75.57,1137,76.11,76.6,18161.0,216.34,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,95,94,07/2672694,72694,5012,UP,工作日低峰,0.0,97.0,97.0,30.0,127.0,1187.54,1155.0,44.07,78.96,44.05,1941,77.94,472,78.66,78.89,15576.83,216.44,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,95,94,07/2672694,72694,5012,UP,工作日低峰,0.0,115.0,115.0,30.0,145.0,1475.3,1452.0,46.18,69.3,46.16,2301,68.37,975,68.96,69.18,17545.67,215.44,3,1,1,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
