trip_no,section_index,站间区间,区间载重(t),全局趟次ID,历史segment,历史来源run_id,OT 历史区间里程(km),OT 历史机械能(kWh),OT 标准 DP区间里程(km),OT 标准 DP机械能(kWh),OT 停站宽松 5% DP区间里程(km),OT 停站宽松 5% DP机械能(kWh),OT Energy First DP区间里程(km),OT Energy First DP机械能(kWh),真实历史区间里程(km),真实历史能耗(kWh),标准 DP vs OpenTrack 历史图像路径,停站宽松 5% DP vs OpenTrack 历史图像路径,Energy First DP vs OpenTrack 历史图像路径,四源总览图像路径,OpenTrack历史 vs 真实历史图像路径
14,1,布政-张家潭,215.24,UP014_20240702_184325_R710,13.0,710.0,1.428,14.68580556,1.428,13.42766667,1.428,13.42766667,1.428,13.42766667,1.428138,15.98656915,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\01_standard_dp_vs_ot_history\01_布政-张家潭_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\02_dwell5_dp_vs_ot_history\01_布政-张家潭_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\03_energy_first_vs_ot_history\01_布政-张家潭_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\04_ot_history_vs_real_history\01_布政-张家潭_energy_distance.png
14,2,张家潭-同德路,215.24,UP014_20240702_184325_R710,13.0,711.0,2.017,17.10027778,2.017,18.08505556,2.017,16.61519444,2.017,18.08505556,2.020088,18.02381715,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\01_standard_dp_vs_ot_history\02_张家潭-同德路_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\02_dwell5_dp_vs_ot_history\02_张家潭-同德路_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\03_energy_first_vs_ot_history\02_张家潭-同德路_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\04_ot_history_vs_real_history\02_张家潭-同德路_energy_distance.png
14,3,同德路-石碶,215.24,UP014_20240702_184325_R710,13.0,712.0,1.331,14.44780556,1.331,12.97044444,1.331,12.97044444,1.331,12.97044444,1.331274,16.24419086,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\01_standard_dp_vs_ot_history\03_同德路-石碶_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\02_dwell5_dp_vs_ot_history\03_同德路-石碶_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\03_energy_first_vs_ot_history\03_同德路-石碶_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\04_ot_history_vs_real_history\03_同德路-石碶_energy_distance.png
14,4,石碶-雅渡,215.54,UP014_20240702_184325_R710,13.0,713.0,0.827,12.10766667,0.827,10.29733333,0.827,10.29736111,0.827,10.29733333,0.827353,12.88653179,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\01_standard_dp_vs_ot_history\04_石碶-雅渡_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\02_dwell5_dp_vs_ot_history\04_石碶-雅渡_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\03_energy_first_vs_ot_history\04_石碶-雅渡_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\04_ot_history_vs_real_history\04_石碶-雅渡_energy_distance.png
14,5,雅渡-庙堰,215.54,UP014_20240702_184325_R710,13.0,714.0,1.86,20.99691667,1.86,21.62358333,1.86,20.80075,1.86,21.62358333,1.859978,21.64723041,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\01_standard_dp_vs_ot_history\05_雅渡-庙堰_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\02_dwell5_dp_vs_ot_history\05_雅渡-庙堰_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\03_energy_first_vs_ot_history\05_雅渡-庙堰_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\04_ot_history_vs_real_history\05_雅渡-庙堰_energy_distance.png
14,6,庙堰-钟公庙,215.74,UP014_20240702_184325_R710,13.0,715.0,1.086,14.10955556,1.086,12.77522222,1.086,12.77519444,1.086,12.77522222,1.087107,15.63854901,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\01_standard_dp_vs_ot_history\06_庙堰-钟公庙_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\02_dwell5_dp_vs_ot_history\06_庙堰-钟公庙_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\03_energy_first_vs_ot_history\06_庙堰-钟公庙_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\04_ot_history_vs_real_history\06_庙堰-钟公庙_energy_distance.png
14,7,钟公庙-鄞州区政府,215.54,UP014_20240702_184325_R710,13.0,716.0,0.984,13.13836111,0.984,11.00116667,0.984,11.00119444,0.984,11.00116667,0.98465,13.43887447,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\01_standard_dp_vs_ot_history\07_钟公庙-鄞州区政府_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\02_dwell5_dp_vs_ot_history\07_钟公庙-鄞州区政府_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\03_energy_first_vs_ot_history\07_钟公庙-鄞州区政府_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\04_ot_history_vs_real_history\07_钟公庙-鄞州区政府_energy_distance.png
14,8,鄞州区政府-钱湖南路,216.62,UP014_20240702_184325_R710,13.0,717.0,1.811,17.0425,1.811,17.15513889,1.811,17.15511111,1.811,17.15513889,1.81199,19.54668914,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\01_standard_dp_vs_ot_history\08_鄞州区政府-钱湖南路_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\02_dwell5_dp_vs_ot_history\08_鄞州区政府-钱湖南路_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\03_energy_first_vs_ot_history\08_鄞州区政府-钱湖南路_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\04_ot_history_vs_real_history\08_鄞州区政府-钱湖南路_energy_distance.png
14,9,钱湖南路-南高教园区,216.82,UP014_20240702_184325_R710,13.0,718.0,1.155,14.94280556,1.155,13.72805556,1.155,13.72808333,1.155,13.72805556,1.16912,16.05677894,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\01_standard_dp_vs_ot_history\09_钱湖南路-南高教园区_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\02_dwell5_dp_vs_ot_history\09_钱湖南路-南高教园区_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\03_energy_first_vs_ot_history\09_钱湖南路-南高教园区_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\04_ot_history_vs_real_history\09_钱湖南路-南高教园区_energy_distance.png
14,10,南高教园区-下应路,217.02,UP014_20240702_184325_R710,13.0,719.0,1.452,18.62597222,1.452,19.39905556,1.452,17.42791667,1.452,19.39905556,1.452086,21.3195249,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\01_standard_dp_vs_ot_history\10_南高教园区-下应路_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\02_dwell5_dp_vs_ot_history\10_南高教园区-下应路_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\03_energy_first_vs_ot_history\10_南高教园区-下应路_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip014\section_energy_distance\04_ot_history_vs_real_history\10_南高教园区-下应路_energy_distance.png
