站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,117.45,117.45,30.0,147.45,1428.32,1428.0,43.78,64.57,43.76,2350,62.8,1042,63.13,64.37,13422.51,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,151.75,151.75,30.0,181.75,2020.36,2017.0,47.93,64.15,47.91,3036,62.75,1801,63.69,63.82,17522.3,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,112.05,112.05,30.0,142.05,1330.84,1332.0,42.76,65.95,42.74,2242,65.14,918,65.67,65.87,13071.5,215.34,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,81.85,81.85,30.0,111.85,827.23,827.0,36.38,74.61,36.36,1638,72.61,166,73.2,74.55,13041.46,215.34,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,131.4,131.4,30.0,161.4,1860.19,1860.0,50.96,75.2,50.94,2629,73.66,1227,74.3,75.07,21037.35,215.34,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,95.75,95.75,30.0,125.75,1087.36,1086.0,40.88,70.88,40.86,1916,68.14,565,68.52,70.73,13754.66,215.54,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,90.3,90.3,30.0,120.3,984.78,984.0,39.26,67.87,39.24,1807,66.71,518,67.19,67.77,10268.27,215.64,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,132.5,132.5,30.0,162.5,1811.7,1811.0,49.22,70.65,49.21,2651,69.72,1299,70.32,70.46,17377.92,215.74,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,100.55,100.55,30.0,130.55,1168.99,1155.0,41.85,69.12,41.83,2012,66.67,689,67.17,68.73,13706.01,215.84,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,113.3,113.3,30.0,143.3,1451.81,1452.0,46.13,71.51,46.11,2267,70.38,884,71.07,71.38,18303.06,216.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
下应路-大洋江,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,106.95,106.95,30.0,136.95,1213.46,1214.0,40.85,62.25,40.83,2140,61.51,901,62.11,62.19,11924.55,216.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_下应路-大洋江.xlsx
大洋江-泗港,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,91.2,91.2,30.0,121.2,958.36,957.0,37.83,64.48,37.81,1825,61.01,566,61.41,64.17,11631.5,216.14,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_大洋江-泗港.xlsx
泗港-曹隘,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,135.05,135.05,30.0,165.05,1798.15,1798.0,47.93,77.81,47.92,2702,77.0,837,77.55,77.61,23419.64,215.94,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_泗港-曹隘.xlsx
曹隘-柳隘,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,106.15,106.15,30.0,136.15,1306.78,1307.0,44.32,76.07,44.3,2124,73.66,462,74.7,75.76,20883.83,215.84,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_曹隘-柳隘.xlsx
柳隘-海晏北路,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,91.65,91.65,30.0,121.65,981.08,980.0,38.54,66.97,38.52,1834,65.78,544,66.51,66.89,12154.23,215.84,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_柳隘-海晏北路.xlsx
海晏北路-民安东路,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,83.95,83.95,30.0,113.95,865.09,865.0,37.1,73.3,37.08,1680,71.37,216,72.62,73.22,15644.04,216.94,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_海晏北路-民安东路.xlsx
民安东路-会展中心,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,76.6,76.6,30.0,106.6,725.66,724.0,34.1,68.19,34.08,1533,66.52,193,67.58,68.12,12320.41,216.94,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_民安东路-会展中心.xlsx
会展中心-院士路,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,114.4,114.4,30.0,144.4,1552.48,1562.0,48.85,77.58,48.83,2289,76.94,826,77.45,77.5,14944.44,216.84,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_会展中心-院士路.xlsx
院士路-盎孟港,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,90.8,90.8,30.0,120.8,995.36,994.0,39.46,77.63,39.44,1817,75.82,253,77.4,77.52,19846.03,216.04,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_院士路-盎孟港.xlsx
盎孟港-三官堂,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,137.5,137.5,30.0,167.5,1878.17,1877.0,49.17,70.07,49.16,2751,68.08,1401,68.55,69.41,16758.3,215.84,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_盎孟港-三官堂.xlsx
三官堂-兴庄路,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,103.75,103.75,30.0,133.75,1080.53,1081.0,37.49,53.77,37.48,2076,53.2,953,53.62,53.69,10404.0,215.64,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_三官堂-兴庄路.xlsx
兴庄路-兴海南路,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,92.2,92.2,30.0,122.2,959.31,958.0,37.46,60.44,37.44,1845,58.82,675,59.38,60.37,11002.42,215.54,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_兴庄路-兴海南路.xlsx
兴海南路-梅堰,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,80.85,80.85,30.0,110.85,833.62,833.0,37.12,75.72,37.1,1618,73.6,176,74.35,75.55,12168.13,215.34,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_兴海南路-梅堰.xlsx
梅堰-永茂路,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,328.35,328.35,30.0,358.35,3675.59,3676.0,40.3,57.13,40.29,6568,55.96,2084,56.36,56.44,26160.33,216.14,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_梅堰-永茂路.xlsx
永茂路-镇海大道,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,141.6,141.6,30.0,171.6,2132.38,2131.0,54.21,77.68,54.19,2833,77.21,1329,77.56,77.6,17812.63,215.34,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_永茂路-镇海大道.xlsx
镇海大道-骆驼桥,3,2,07/0170102,70102,5014,UP,工作日平峰,0.0,116.9,116.9,0.0,116.9,1596.4,1593.0,49.16,77.76,49.14,2339,77.21,864,77.63,77.7,20304.84,215.24,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_镇海大道-骆驼桥.xlsx
--- 总计 ---,,,,,,,,,,3024.8,750.0,3774.8,36524.0,36502.0,43.47,77.81,,,,,,,408884.36,...,,,,
