segment,区段,列车运行方向,运行等级,曲线质量标签,是否是晚上八点以后的趟次,起始时刻s,结束时刻s,来源文件,运行时长s
8,雅渡-庙堰,UP,class3,0,0,0.0,133.0,results_雅渡-庙堰.xlsx,133.0
9,雅渡-庙堰,UP,class3,0,0,0.0,133.05,results_雅渡-庙堰.xlsx,133.05
10,雅渡-庙堰,UP,class4,0,0,0.0,136.5,results_雅渡-庙堰.xlsx,136.5
11,雅渡-庙堰,UP,class4,0,0,0.0,136.2,results_雅渡-庙堰.xlsx,136.2
12,雅渡-庙堰,UP,class3,0,0,0.0,133.85,results_雅渡-庙堰.xlsx,133.85
13,雅渡-庙堰,UP,class3,0,0,0.0,130.95,results_雅渡-庙堰.xlsx,130.95
14,雅渡-庙堰,UP,class2,1,1,0.0,128.3,results_雅渡-庙堰.xlsx,128.3
15,雅渡-庙堰,UP,class3,0,0,0.0,131.85,results_雅渡-庙堰.xlsx,131.85
16,雅渡-庙堰,UP,class2,0,0,0.0,130.2,results_雅渡-庙堰.xlsx,130.2
17,雅渡-庙堰,UP,class3,0,0,0.0,132.3,results_雅渡-庙堰.xlsx,132.3
18,雅渡-庙堰,UP,class4,1,1,0.0,135.6,results_雅渡-庙堰.xlsx,135.6
19,雅渡-庙堰,UP,class3,0,0,0.0,132.3,results_雅渡-庙堰.xlsx,132.3
20,雅渡-庙堰,UP,class2,0,0,0.0,130.0,results_雅渡-庙堰.xlsx,130.0
21,雅渡-庙堰,UP,class3,0,0,0.0,133.1,results_雅渡-庙堰.xlsx,133.1
22,雅渡-庙堰,UP,class3,0,0,0.0,131.95,results_雅渡-庙堰.xlsx,131.95
23,雅渡-庙堰,UP,class3,0,0,0.0,131.95,results_雅渡-庙堰.xlsx,131.95
24,雅渡-庙堰,UP,class2,0,0,0.0,129.1,results_雅渡-庙堰.xlsx,129.1
25,雅渡-庙堰,UP,class3,0,0,0.0,132.25,results_雅渡-庙堰.xlsx,132.25
26,雅渡-庙堰,UP,class3,1,1,0.0,132.0,results_雅渡-庙堰.xlsx,132.0
27,雅渡-庙堰,UP,class3,0,0,0.0,131.05,results_雅渡-庙堰.xlsx,131.05
28,雅渡-庙堰,UP,class3,0,0,0.0,130.95,results_雅渡-庙堰.xlsx,130.95
29,雅渡-庙堰,UP,class3,0,0,0.0,131.4,results_雅渡-庙堰.xlsx,131.4
30,雅渡-庙堰,UP,class3,0,0,0.0,131.85,results_雅渡-庙堰.xlsx,131.85
31,雅渡-庙堰,UP,class3,0,0,0.0,135.05,results_雅渡-庙堰.xlsx,135.05
32,雅渡-庙堰,UP,class3,0,0,0.0,131.2,results_雅渡-庙堰.xlsx,131.2
33,雅渡-庙堰,UP,class2,1,1,0.0,127.9,results_雅渡-庙堰.xlsx,127.9
0,雅渡-石碶,DOWN,class3,0,0,0.0,81.55,results_雅渡-石碶.xlsx,81.55
1,雅渡-石碶,DOWN,class3,0,0,0.0,82.0,results_雅渡-石碶.xlsx,82.0
2,雅渡-石碶,DOWN,class3,0,0,0.0,81.35,results_雅渡-石碶.xlsx,81.35
3,雅渡-石碶,DOWN,class3,0,0,0.0,81.1,results_雅渡-石碶.xlsx,81.1
4,雅渡-石碶,DOWN,class3,0,0,0.0,82.95,results_雅渡-石碶.xlsx,82.95
5,雅渡-石碶,DOWN,class3,0,0,0.0,82.25,results_雅渡-石碶.xlsx,82.25
6,雅渡-石碶,DOWN,class3,1,1,0.0,82.6,results_雅渡-石碶.xlsx,82.6
7,雅渡-石碶,DOWN,class3,0,0,0.0,81.15,results_雅渡-石碶.xlsx,81.15
8,雅渡-石碶,DOWN,class3,0,0,0.0,83.2,results_雅渡-石碶.xlsx,83.2
9,雅渡-石碶,DOWN,class3,0,0,0.0,82.95,results_雅渡-石碶.xlsx,82.95
10,雅渡-石碶,DOWN,class3,0,0,0.0,82.2,results_雅渡-石碶.xlsx,82.2
11,雅渡-石碶,DOWN,class3,0,0,0.0,82.1,results_雅渡-石碶.xlsx,82.1
12,雅渡-石碶,DOWN,class3,0,0,0.0,82.55,results_雅渡-石碶.xlsx,82.55
13,雅渡-石碶,DOWN,class3,1,1,0.0,82.45,results_雅渡-石碶.xlsx,82.45
14,雅渡-石碶,DOWN,class3,0,0,0.0,81.8,results_雅渡-石碶.xlsx,81.8
15,雅渡-石碶,DOWN,class3,0,0,0.0,83.0,results_雅渡-石碶.xlsx,83.0
16,雅渡-石碶,DOWN,class3,0,0,0.0,83.8,results_雅渡-石碶.xlsx,83.8
17,雅渡-石碶,DOWN,class3,1,1,0.0,81.7,results_雅渡-石碶.xlsx,81.7
18,雅渡-石碶,DOWN,class3,0,0,0.0,82.8,results_雅渡-石碶.xlsx,82.8
19,雅渡-石碶,DOWN,class3,0,0,0.0,82.1,results_雅渡-石碶.xlsx,82.1
20,雅渡-石碶,DOWN,class3,0,0,0.0,83.55,results_雅渡-石碶.xlsx,83.55
21,雅渡-石碶,DOWN,class3,0,0,0.0,82.3,results_雅渡-石碶.xlsx,82.3
22,雅渡-石碶,DOWN,class3,0,0,0.0,81.3,results_雅渡-石碶.xlsx,81.3
23,雅渡-石碶,DOWN,class3,0,0,0.0,83.45,results_雅渡-石碶.xlsx,83.45
24,雅渡-石碶,DOWN,class3,0,0,0.0,82.65,results_雅渡-石碶.xlsx,82.65
25,雅渡-石碶,DOWN,class3,1,1,0.0,82.7,results_雅渡-石碶.xlsx,82.7
26,雅渡-石碶,DOWN,class3,0,0,0.0,81.95,results_雅渡-石碶.xlsx,81.95
27,雅渡-石碶,DOWN,class3,0,0,0.0,83.25,results_雅渡-石碶.xlsx,83.25
28,雅渡-石碶,DOWN,class3,0,0,0.0,81.4,results_雅渡-石碶.xlsx,81.4
29,雅渡-石碶,DOWN,class3,0,0,0.0,82.55,results_雅渡-石碶.xlsx,82.55
30,雅渡-石碶,DOWN,class3,0,0,0.0,83.25,results_雅渡-石碶.xlsx,83.25
31,雅渡-石碶,DOWN,class3,0,0,0.0,81.8,results_雅渡-石碶.xlsx,81.8
32,雅渡-石碶,DOWN,class3,1,1,0.0,82.7,results_雅渡-石碶.xlsx,82.7
