segment,区段,列车运行方向,运行等级,曲线质量标签,是否是晚上八点以后的趟次,起始时刻s,结束时刻s,来源文件,运行时长s
30,同德路-石碶,UP,class3,0,0,0.0,110.05,results_同德路-石碶.xlsx,110.05
31,同德路-石碶,UP,class3,0,0,0.0,110.85,results_同德路-石碶.xlsx,110.85
32,同德路-石碶,UP,class4,0,0,0.0,112.05,results_同德路-石碶.xlsx,112.05
33,同德路-石碶,UP,class2,1,1,0.0,103.5,results_同德路-石碶.xlsx,103.5
0,布政-张家潭,UP,class3,0,0,0.0,116.8,results_布政-张家潭.xlsx,116.8
1,布政-张家潭,UP,class4,0,0,0.0,118.2,results_布政-张家潭.xlsx,118.2
2,布政-张家潭,UP,class4,0,0,0.0,118.85,results_布政-张家潭.xlsx,118.85
3,布政-张家潭,UP,class4,0,0,0.0,118.4,results_布政-张家潭.xlsx,118.4
4,布政-张家潭,UP,class3,0,0,0.0,117.55,results_布政-张家潭.xlsx,117.55
5,布政-张家潭,UP,class3,0,0,0.0,114.7,results_布政-张家潭.xlsx,114.7
6,布政-张家潭,UP,class3,1,1,0.0,117.6,results_布政-张家潭.xlsx,117.6
7,布政-张家潭,UP,class3,0,0,0.0,116.9,results_布政-张家潭.xlsx,116.9
8,布政-张家潭,UP,class3,0,0,0.0,115.8,results_布政-张家潭.xlsx,115.8
9,布政-张家潭,UP,class3,0,0,0.0,116.3,results_布政-张家潭.xlsx,116.3
10,布政-张家潭,UP,class3,0,0,0.0,114.4,results_布政-张家潭.xlsx,114.4
11,布政-张家潭,UP,class3,0,0,0.0,117.3,results_布政-张家潭.xlsx,117.3
12,布政-张家潭,UP,class3,0,0,0.0,115.95,results_布政-张家潭.xlsx,115.95
13,布政-张家潭,UP,class3,0,0,0.0,116.2,results_布政-张家潭.xlsx,116.2
14,布政-张家潭,UP,class3,1,1,0.0,114.2,results_布政-张家潭.xlsx,114.2
15,布政-张家潭,UP,class3,0,0,0.0,117.8,results_布政-张家潭.xlsx,117.8
16,布政-张家潭,UP,class3,0,0,0.0,116.55,results_布政-张家潭.xlsx,116.55
