站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,70,69,07/1671669,71669,5014,UP,工作日平峰,0.0,117.0,117.0,30.0,147.0,1429.11,1428.0,43.97,65.21,43.95,2341,63.93,1079,64.2,65.0,14313.88,215.34,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,70,69,07/1671669,71669,5014,UP,工作日平峰,0.0,151.8,151.8,30.0,181.8,2021.28,2017.0,47.94,63.82,47.92,3037,62.77,1799,63.42,63.52,17755.13,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,70,69,07/1671669,71669,5014,UP,工作日平峰,0.0,109.8,109.8,30.0,139.8,1330.53,1332.0,43.62,67.64,43.6,2197,66.53,866,66.87,67.42,12694.33,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,70,69,07/1671669,71669,5014,UP,工作日平峰,0.0,78.9,78.9,30.0,108.9,827.31,827.0,37.75,71.66,37.72,1579,70.13,298,71.03,71.53,12173.77,216.24,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,70,69,07/1671669,71669,5014,UP,工作日平峰,0.0,135.35,135.35,30.0,165.35,1859.97,1860.0,49.47,71.22,49.45,2708,70.23,1321,70.68,71.07,20480.32,216.14,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,70,69,07/1671669,71669,5014,UP,工作日平峰,0.0,97.05,97.05,30.0,127.05,1087.26,1086.0,40.33,68.75,40.31,1942,65.66,613,65.77,68.43,13490.58,216.34,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,70,69,07/1671669,71669,5014,UP,工作日平峰,0.0,91.05,91.05,30.0,121.05,984.98,984.0,38.94,68.52,38.92,1822,66.74,501,67.06,68.42,10706.41,216.14,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,70,69,07/1671669,71669,5014,UP,工作日平峰,0.0,130.65,130.65,30.0,160.65,1812.07,1811.0,49.93,72.53,49.91,2614,71.75,1225,72.14,72.36,17570.64,216.04,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,70,69,07/1671669,71669,5014,UP,工作日平峰,0.0,99.75,99.75,30.0,129.75,1169.28,1155.0,42.2,69.44,42.18,1996,68.6,657,69.15,69.24,14119.17,217.21,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,70,69,07/1671669,71669,5014,UP,工作日平峰,0.0,115.95,115.95,30.0,145.95,1452.55,1452.0,45.1,69.42,45.08,2320,68.67,948,69.16,69.27,19100.81,217.84,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
