区间,起点距离(m),终点距离(m),曲率半径(m)
布政-张家潭,0.0,87.48,3000.0
布政-张家潭,87.48,765.95,365.0
布政-张家潭,765.95,920.9,3000.0
布政-张家潭,920.9,1077.78,1000.0
布政-张家潭,1077.78,1103.18,3000.0
布政-张家潭,1103.18,1199.3,1500.0
布政-张家潭,1199.3,1223.32,3000.0
布政-张家潭,1223.32,1341.98,1200.0
布政-张家潭,1341.98,1428.0,3000.0
张家潭-同德路,0.0,77.99,3000.0
张家潭-同德路,77.99,630.38,350.0
张家潭-同德路,630.38,863.72,3000.0
张家潭-同德路,863.72,1547.54,360.0
张家潭-同德路,1547.54,2017.0,3000.0
同德路-石碶,0.0,61.64,3000.0
同德路-石碶,61.64,144.67,1500.0
同德路-石碶,144.67,286.91,3000.0
同德路-石碶,286.91,759.82,1600.0
同德路-石碶,759.82,786.37,3000.0
同德路-石碶,786.37,1270.86,700.0
同德路-石碶,1270.86,1332.0,3000.0
石碶-雅渡,0.0,153.9,3000.0
石碶-雅渡,153.9,227.99,2000.0
石碶-雅渡,227.99,576.31,3000.0
石碶-雅渡,576.31,749.76,500.0
石碶-雅渡,749.76,827.0,3000.0
雅渡-庙堰,0.0,106.08,3000.0
雅渡-庙堰,106.08,762.53,560.0
雅渡-庙堰,762.53,1185.78,3000.0
雅渡-庙堰,1185.78,1452.14,500.0
雅渡-庙堰,1452.14,1860.0,3000.0
庙堰-钟公庙,0.0,788.15,3000.0
庙堰-钟公庙,788.15,899.84,2000.0
庙堰-钟公庙,899.84,1086.0,3000.0
钟公庙-鄞州区政府,0.0,154.39,3000.0
钟公庙-鄞州区政府,154.39,190.36,3500.0
钟公庙-鄞州区政府,190.36,502.95,3000.0
钟公庙-鄞州区政府,502.95,668.17,1000.0
钟公庙-鄞州区政府,668.17,815.55,3000.0
钟公庙-鄞州区政府,815.55,850.92,3500.0
钟公庙-鄞州区政府,850.92,984.0,3000.0
鄞州区政府-钱湖南路,0.0,158.5,3000.0
鄞州区政府-钱湖南路,158.5,294.64,1000.0
鄞州区政府-钱湖南路,294.64,571.89,3000.0
鄞州区政府-钱湖南路,571.89,708.03,1000.0
鄞州区政府-钱湖南路,708.03,1337.38,3000.0
鄞州区政府-钱湖南路,1337.38,1479.04,1200.0
鄞州区政府-钱湖南路,1479.04,1811.0,3000.0
钱湖南路-南高教园区,0.0,299.01,3000.0
钱湖南路-南高教园区,299.01,670.73,800.0
钱湖南路-南高教园区,670.73,1155.0,3000.0
南高教园区-下应路,0.0,174.24,3000.0
南高教园区-下应路,174.24,273.41,1350.0
南高教园区-下应路,273.41,539.55,3000.0
南高教园区-下应路,539.55,665.59,2100.0
南高教园区-下应路,665.59,1221.88,3000.0
南高教园区-下应路,1221.88,1382.34,1000.0
南高教园区-下应路,1382.34,1452.0,3000.0
下应路-大洋江,0.0,128.74,3000.0
下应路-大洋江,128.74,760.45,410.0
下应路-大洋江,760.45,918.85,3000.0
下应路-大洋江,918.85,1126.29,1000.0
