区间,起点距离(m),终点距离(m),曲率半径(m)
下应路-大洋江,1126.29,1214.0,3000.0
大洋江-泗港,0.0,465.81,3000.0
大洋江-泗港,465.81,587.37,1500.0
大洋江-泗港,587.37,957.0,3000.0
泗港-曹隘,0.0,104.58,3000.0
泗港-曹隘,104.58,214.19,800.0
泗港-曹隘,214.19,236.36,3000.0
泗港-曹隘,236.36,367.69,1000.0
泗港-曹隘,367.69,458.95,3000.0
泗港-曹隘,458.95,579.83,1200.0
泗港-曹隘,579.83,630.43,3000.0
泗港-曹隘,630.43,710.01,2500.0
泗港-曹隘,710.01,888.91,3000.0
泗港-曹隘,888.91,992.32,2500.0
泗港-曹隘,992.32,1052.8,3000.0
泗港-曹隘,1052.8,1177.17,1200.0
泗港-曹隘,1177.17,1303.85,3000.0
泗港-曹隘,1303.85,1524.63,450.0
泗港-曹隘,1524.63,1546.75,3000.0
泗港-曹隘,1546.75,1694.12,550.0
泗港-曹隘,1694.12,1798.0,3000.0
曹隘-柳隘,0.0,70.45,3000.0
曹隘-柳隘,70.45,249.48,600.0
曹隘-柳隘,249.48,300.49,3000.0
曹隘-柳隘,300.49,403.17,1200.0
曹隘-柳隘,403.17,532.69,3000.0
曹隘-柳隘,532.69,684.58,650.0
曹隘-柳隘,684.58,707.62,3000.0
曹隘-柳隘,707.62,877.33,500.0
曹隘-柳隘,877.33,971.85,3000.0
曹隘-柳隘,971.85,1077.41,1200.0
曹隘-柳隘,1077.41,1307.0,3000.0
柳隘-海晏北路,0.0,296.79,3000.0
柳隘-海晏北路,296.79,425.22,1200.0
柳隘-海晏北路,425.22,476.45,3000.0
柳隘-海晏北路,476.45,571.19,2000.0
柳隘-海晏北路,571.19,623.35,3000.0
柳隘-海晏北路,623.35,744.8,1000.0
柳隘-海晏北路,744.8,774.3,3000.0
柳隘-海晏北路,774.3,886.97,1200.0
柳隘-海晏北路,886.97,980.0,3000.0
海晏北路-民安东路,0.0,91.75,3000.0
海晏北路-民安东路,91.75,206.96,1000.0
海晏北路-民安东路,206.96,345.91,3000.0
海晏北路-民安东路,345.91,520.28,650.0
海晏北路-民安东路,520.28,639.37,3000.0
海晏北路-民安东路,639.37,789.65,1200.0
海晏北路-民安东路,789.65,865.0,3000.0
民安东路-会展中心,0.0,493.09,3000.0
民安东路-会展中心,493.09,631.44,800.0
民安东路-会展中心,631.44,724.0,3000.0
会展中心-院士路,0.0,306.96,3000.0
会展中心-院士路,306.96,417.09,1200.0
会展中心-院士路,417.09,690.29,3000.0
会展中心-院士路,690.29,1135.08,510.0
会展中心-院士路,1135.08,1182.24,3000.0
会展中心-院士路,1182.24,1346.71,500.0
会展中心-院士路,1346.71,1562.0,3000.0
院士路-盎孟港,0.0,317.25,3000.0
院士路-盎孟港,317.25,520.41,550.0
院士路-盎孟港,520.41,662.39,3000.0
院士路-盎孟港,662.39,850.44,650.0
院士路-盎孟港,850.44,994.0,3000.0
盎孟港-三官堂,0.0,507.71,3000.0
盎孟港-三官堂,507.71,652.28,1000.0
盎孟港-三官堂,652.28,1148.48,3000.0
盎孟港-三官堂,1148.48,1263.81,1200.0
盎孟港-三官堂,1263.81,1509.99,3000.0
盎孟港-三官堂,1509.99,1601.91,2000.0
盎孟港-三官堂,1601.91,1636.51,3000.0
盎孟港-三官堂,1636.51,1742.74,1200.0
盎孟港-三官堂,1742.74,1877.0,3000.0
三官堂-兴庄路,0.0,120.96,3000.0
三官堂-兴庄路,120.96,317.62,1000.0
三官堂-兴庄路,317.62,366.16,3000.0
三官堂-兴庄路,366.16,791.52,365.0
三官堂-兴庄路,791.52,1081.0,3000.0
兴庄路-兴海南路,0.0,401.96,3000.0
兴庄路-兴海南路,401.96,687.82,410.0
兴庄路-兴海南路,687.82,958.0,3000.0
兴海南路-梅堰,0.0,391.81,3000.0
兴海南路-梅堰,391.81,551.35,1200.0
兴海南路-梅堰,551.35,593.57,3000.0
兴海南路-梅堰,593.57,723.38,1500.0
兴海南路-梅堰,723.38,833.0,3000.0
梅堰-永茂路,0.0,107.01,3000.0
梅堰-永茂路,107.01,186.04,2500.0
梅堰-永茂路,186.04,314.58,3000.0
梅堰-永茂路,314.58,393.6,2500.0
梅堰-永茂路,393.6,631.51,3000.0
梅堰-永茂路,631.51,660.61,350.0
梅堰-永茂路,660.61,688.19,3000.0
梅堰-永茂路,688.19,1285.02,300.0
梅堰-永茂路,1285.02,1312.61,3000.0
梅堰-永茂路,1312.61,1341.71,350.0
梅堰-永茂路,1341.71,1380.09,3000.0
梅堰-永茂路,1380.09,1700.41,500.0
梅堰-永茂路,1700.41,2085.87,3000.0
梅堰-永茂路,2085.87,2330.72,600.0
梅堰-永茂路,2330.72,3013.05,3000.0
梅堰-永茂路,3013.05,3340.48,450.0
梅堰-永茂路,3340.48,3426.15,3000.0
梅堰-永茂路,3426.15,3614.6,600.0
梅堰-永茂路,3614.6,3676.0,3000.0
永茂路-镇海大道,0.0,161.0,3000.0
永茂路-镇海大道,161.0,381.93,1300.0
永茂路-镇海大道,381.93,540.05,3000.0
永茂路-镇海大道,540.05,793.35,1200.0
永茂路-镇海大道,793.35,2131.0,3000.0
镇海大道-骆驼桥,0.0,954.73,3000.0
镇海大道-骆驼桥,954.73,1093.54,1500.0
镇海大道-骆驼桥,1093.54,1593.0,3000.0
