station_pair,selected_class,target_time(s),predicted_energy(Wh)
布政-张家潭,class3,115.0,13199.79
张家潭-同德路,class3,151.0,17107.45
同德路-石碶,class2,104.0,13215.19
石碶-雅渡,class3,82.0,10200.49
雅渡-庙堰,class2,129.0,20728.07
庙堰-钟公庙,class2,93.0,12707.36
钟公庙-鄞州区政府,class3,90.0,8743.22
鄞州区政府-钱湖南路,class2,128.0,16858.59
钱湖南路-南高教园区,class2,96.0,14404.4
南高教园区-下应路,class2,110.0,17938.77
下应路-大洋江,class2,101.0,12536.07
大洋江-泗港,class3,92.0,10349.12
泗港-曹隘,class2,128.0,25169.68
曹隘-柳隘,class2,106.0,15077.3
柳隘-海晏北路,class2,87.0,12367.59
海晏北路-民安东路,class2,83.0,13246.11
民安东路-会展中心,class2,76.0,9009.49
会展中心-院士路,class2,112.0,14804.7
院士路-盎孟港,class2,88.0,15614.1
盎孟港-三官堂,class2,132.0,16274.2
三官堂-兴庄路,class3,104.0,11081.94
兴庄路-兴海南路,class3,91.0,10984.6
兴海南路-梅堰,class2,78.0,12410.12
梅堰-永茂路,class2,298.0,29884.12
永茂路-镇海大道,class2,141.0,15572.81
镇海大道-骆驼桥,class3,122.0,16342.14
