section,segment,rows,duration_s,distance_m,real_energy_wh,mlp_energy_wh,mlp_error_pct,run_class,quality_label,service_no,date_service,source_file,figure
石碶-雅渡,0,1576,78.75,828.003,12360.409,12239.624,-0.977,2,0,70100,07/0170100,results_石碶-雅渡.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\石碶-雅渡\triple_axis_mlp\seg_0_07_0170100.jpg
石碶-雅渡,1,1633,81.6,827.566,13264.362,13168.904,-0.72,3,0,70101,07/0170101,results_石碶-雅渡.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\石碶-雅渡\triple_axis_mlp\seg_1_07_0170101.jpg
石碶-雅渡,2,1638,81.85,827.225,13041.456,12936.794,-0.803,3,0,70102,07/0170102,results_石碶-雅渡.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\石碶-雅渡\triple_axis_mlp\seg_2_07_0170102.jpg
石碶-雅渡,3,1676,83.75,827.348,13098.343,13006.189,-0.704,3,0,70103,07/0170103,results_石碶-雅渡.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\石碶-雅渡\triple_axis_mlp\seg_3_07_0170103.jpg
石碶-雅渡,4,1679,83.9,827.885,13065.511,12945.008,-0.922,3,0,70104,07/0170104,results_石碶-雅渡.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\石碶-雅渡\triple_axis_mlp\seg_4_07_0170104.jpg
石碶-雅渡,5,1576,78.75,828.143,12939.968,12953.472,0.104,2,0,70105,07/0170105,results_石碶-雅渡.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\石碶-雅渡\triple_axis_mlp\seg_5_07_0170105.jpg
石碶-雅渡,6,1679,83.9,827.18,14061.91,13630.448,-3.068,3,0,70106,07/0170106,results_石碶-雅渡.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\石碶-雅渡\triple_axis_mlp\seg_6_07_0170106.jpg
石碶-雅渡,7,1670,83.45,827.253,13178.289,13151.591,-0.203,3,1,70107,07/0170107,results_石碶-雅渡.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\石碶-雅渡\triple_axis_mlp\seg_7_07_0170107.jpg
石碶-雅渡,8,1638,81.85,827.293,13146.845,13097.263,-0.377,3,0,70208,07/0270208,results_石碶-雅渡.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\石碶-雅渡\triple_axis_mlp\seg_8_07_0270208.jpg
石碶-雅渡,9,1674,83.65,827.445,13296.542,13201.878,-0.712,3,0,70209,07/0270209,results_石碶-雅渡.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\石碶-雅渡\triple_axis_mlp\seg_9_07_0270209.jpg
石碶-雅渡,10,1633,81.6,827.142,11672.78,11620.762,-0.446,3,0,70210,07/0270210,results_石碶-雅渡.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\石碶-雅渡\triple_axis_mlp\seg_10_07_0270210.jpg
石碶-雅渡,11,1626,81.25,826.959,11841.744,11825.464,-0.137,3,0,70211,07/0270211,results_石碶-雅渡.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\石碶-雅渡\triple_axis_mlp\seg_11_07_0270211.jpg
石碶-雅渡,12,1675,83.7,828.262,13124.7,13015.068,-0.835,3,0,70212,07/0270212,results_石碶-雅渡.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\石碶-雅渡\triple_axis_mlp\seg_12_07_0270212.jpg
石碶-雅渡,13,1637,81.8,827.353,12887.157,12769.204,-0.915,3,0,70213,07/0270213,results_石碶-雅渡.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\石碶-雅渡\triple_axis_mlp\seg_13_07_0270213.jpg
石碶-雅渡,14,1691,84.5,827.263,12000.74,11991.758,-0.075,4,1,70214,07/0270214,results_石碶-雅渡.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\石碶-雅渡\triple_axis_mlp\seg_14_07_0270214.jpg
石碶-雅渡,15,1642,82.05,826.634,12186.853,12079.221,-0.883,3,0,70315,07/0370315,results_石碶-雅渡.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\石碶-雅渡\triple_axis_mlp\seg_15_07_0370315.jpg
