序号,区间,segment,来源run_id,绝对开始时间,绝对结束时间,趟次选择方式,数据读取来源,样本数,运行时间(s),区间里程(km),重量(t),历史真实能耗(kWh),Simu物理机械能耗(kWh),Simu-真实(kWh),相对差异(%)
1,布政-张家潭,4,220,2024-07-01 14:52:02,2024-07-01 14:53:58,traceability-cache,cache,2327,116.3,1.428645833333329,215.24,13.108531943083332,12.976196525566742,-0.1323354175165896,-1.0095365224052866
2,张家潭-同德路,4,221,2024-07-01 14:54:28,2024-07-01 14:56:58,traceability-cache,cache,3010,150.45,2.0211208333333293,215.24,17.458041243375003,16.843421717495257,-0.6146195258797452,-3.520552605596471
3,同德路-石碶,4,222,2024-07-01 14:57:28,2024-07-01 14:59:18,traceability-cache,cache,2211,110.5,1.330464166666665,215.24,11.767722841270835,11.482152542675877,-0.28557029859495925,-2.426725224980907
4,石碶-雅渡,4,223,2024-07-01 14:59:53,2024-07-01 15:01:17,traceability-cache,cache,1679,83.9,0.8278845833333334,215.54,13.065511340590277,13.266804867031208,0.2012935264409298,1.5406479026624584
5,雅渡-庙堰,4,224,2024-07-01 15:01:47,2024-07-01 15:03:57,traceability-cache,cache,2601,130.0,1.8604634722222149,215.64,21.102914640284723,20.43334296962139,-0.669571670663332,-3.172887167847153
6,庙堰-钟公庙,4,225,2024-07-01 15:04:26,2024-07-01 15:06:03,traceability-cache,cache,1929,96.4,1.0876188888888871,215.84,13.037616475666667,13.14908993556571,0.11147345989904352,0.8550141055851501
7,钟公庙-鄞州区政府,4,226,2024-07-01 15:06:33,2024-07-01 15:08:03,traceability-cache,cache,1802,90.05,0.985130555555554,215.64,10.306098725423611,10.99296282353506,0.6868640981114477,6.6646372833306575
8,鄞州区政府-钱湖南路,4,227,2024-07-01 15:08:43,2024-07-01 15:10:55,traceability-cache,cache,2655,132.7,1.811574583333338,215.64,17.209037391743056,15.908851629889014,-1.3001857618540416,-7.555249792634388
9,钱湖南路-南高教园区,4,228,2024-07-01 15:11:24,2024-07-01 15:13:05,traceability-cache,cache,2013,100.6,1.168927499999999,215.54,13.790074980854166,13.775565443530194,-0.014509537323971018,-0.1052172475067448
10,南高教园区-下应路,4,229,2024-07-01 15:13:40,2024-07-01 15:15:36,traceability-cache,cache,2319,115.9,1.4529920833333299,215.74,18.943014141881942,18.17171749383915,-0.7712966480427931,-4.0716680157963845
11,下应路-大洋江,4,230,2024-07-01 15:16:05,2024-07-01 15:17:50,traceability-cache,cache,2111,105.5,1.213937361111109,215.84,11.3941611934375,11.072595893485989,-0.3215652999515114,-2.8221937051120345
