section_index,section,segment,trip_no,run_id,quality_labels,row_count,speed_source,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,cruise_min_speed_ratio,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,xlsx_file,warning
1,布政-张家潭,81,82,07/1871881,1,2368,mps,43.44,66.7,222,0.92,68.68,68.55,66.75,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
2,张家潭-同德路,81,82,07/1871881,1,3124,mps,46.54,60.42,1592,0.92,62.24,62.14,61.84,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
3,同德路-石碶,81,82,07/1871881,1,2182,mps,43.95,71.32,587,0.92,73.2,73.17,73.09,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx,
4,石碶-雅渡,81,82,07/1871881,1,1666,mps,35.74,67.13,241,0.92,68.56,68.5,68.32,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx,
5,雅渡-庙堰,81,82,07/1871881,1,2784,mps,48.12,70.75,995,0.92,73.41,73.29,72.9,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx,
6,庙堰-钟公庙,81,82,07/1871881,1,1954,mps,40.11,68.99,463,0.92,71.07,71.02,70.89,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx,
7,钟公庙-鄞州区政府,81,82,07/1871881,1,1807,mps,39.26,69.43,413,0.92,70.88,70.8,70.67,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx,
8,鄞州区政府-钱湖南路,81,82,07/1871881,1,2663,mps,49.01,69.83,1169,0.92,72.12,72.07,71.97,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx,
9,钱湖南路-南高教园区,81,82,07/1871881,1,2129,mps,39.57,69.57,561,0.92,71.58,71.51,71.17,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx,
10,南高教园区-下应路,81,82,07/1871881,1,2309,mps,45.28,67.55,867,0.92,69.86,69.78,69.51,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx,
11,下应路-大洋江,81,82,07/1871881,1,2134,mps,40.98,62.92,661,0.92,64.63,64.51,64.34,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_下应路-大洋江.xlsx,
12,大洋江-泗港,81,82,07/1871881,1,1745,mps,39.59,70.03,274,0.92,71.75,71.71,71.22,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_大洋江-泗港.xlsx,
13,泗港-曹隘,81,82,07/1871881,0,2693,mps,48.11,77.07,836,0.92,77.87,77.68,77.6,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_泗港-曹隘.xlsx,
14,曹隘-柳隘,81,82,07/1871881,0,2122,mps,44.35,73.79,451,0.92,75.98,75.83,74.74,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_曹隘-柳隘.xlsx,
15,柳隘-海晏北路,81,82,07/1871881,1,1775,mps,39.81,73.13,354,0.92,75.32,75.23,74.05,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_柳隘-海晏北路.xlsx,
16,海晏北路-民安东路,81,82,07/1871881,1,1679,mps,37.13,71.72,207,0.92,73.72,73.64,72.76,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_海晏北路-民安东路.xlsx,
17,民安东路-会展中心,81,82,07/1871881,1,1548,mps,33.76,61.72,157,0.92,63.91,63.72,61.95,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_民安东路-会展中心.xlsx,
18,会展中心-院士路,81,82,07/1871881,1,2425,mps,46.11,68.74,679,0.92,70.92,70.75,70.16,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_会展中心-院士路.xlsx,
19,院士路-盎孟港,81,82,07/1871881,1,1904,mps,37.64,67.18,324,0.92,70.11,69.78,68.45,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_院士路-盎孟港.xlsx,
20,盎孟港-三官堂,81,82,07/1871881,1,2996,mps,45.14,66.44,1172,0.92,70.05,69.64,68.84,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_盎孟港-三官堂.xlsx,
21,三官堂-兴庄路,81,82,07/1871881,1,2146,mps,36.28,56.69,536,0.92,59.48,59.29,58.28,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_三官堂-兴庄路.xlsx,
22,兴庄路-兴海南路,81,82,07/1871881,1,1870,mps,36.94,59.36,529,0.92,62.02,61.81,60.3,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_兴庄路-兴海南路.xlsx,
23,兴海南路-梅堰,81,82,07/1871881,1,1719,mps,34.92,67.57,312,0.92,68.95,68.88,68.62,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_兴海南路-梅堰.xlsx,
25,永茂路-镇海大道,81,82,07/1871881,1,2933,mps,52.35,70.56,1302,0.92,72.56,72.46,71.97,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_永茂路-镇海大道.xlsx,
26,镇海大道-骆驼桥,81,82,07/1871881,1,2333,mps,49.3,77.28,861,0.92,77.84,77.79,77.72,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_镇海大道-骆驼桥.xlsx,
