趟次,全局趟次ID,历史真实能耗(kWh),Simu物理机械能耗(kWh),Simu-真实(kWh),相对差异(%),绝对差异(kWh),绝对相对差异(%),全线图
1,UP001_20240701_055954_R1,424.8559146155764,416.1247077654953,-8.731206850081094,-2.0550983403353054,8.731206850081094,2.0550983403353054,D:\energy_conservation\output\analysis\trip_real_vs_simu_physics\trip001\trip001_real_vs_simu_physical_energy_distance.png
3,UP003_20240701_102344_R111,408.7124232569931,406.4255332855292,-2.286889971463893,-0.5595352236273782,2.286889971463893,0.5595352236273782,D:\energy_conservation\output\analysis\trip_real_vs_simu_physics\trip003\trip003_real_vs_simu_physical_energy_distance.png
4,UP004_20240701_123753_R165,408.2457224906041,404.14419118469726,-4.10153130590686,-1.0046722059656752,4.10153130590686,1.0046722059656752,D:\energy_conservation\output\analysis\trip_real_vs_simu_physics\trip004\trip004_real_vs_simu_physical_energy_distance.png
5,UP005_20240701_145202_R220,405.4065904797847,403.98463144390865,-1.421959035876057,-0.3507488702127949,1.421959035876057,0.3507488702127949,D:\energy_conservation\output\analysis\trip_real_vs_simu_physics\trip005\trip005_real_vs_simu_physical_energy_distance.png
6,UP006_20240701_171011_R274,446.28787538146526,441.645916465371,-4.641958916094268,-1.0401266026164269,4.641958916094268,1.0401266026164269,D:\energy_conservation\output\analysis\trip_real_vs_simu_physics\trip006\trip006_real_vs_simu_physical_energy_distance.png
8,UP008_20240701_214424_R382,407.96426541405555,403.89085828099104,-4.0734071330645065,-0.998471552142019,4.0734071330645065,0.998471552142019,D:\energy_conservation\output\analysis\trip_real_vs_simu_physics\trip008\trip008_real_vs_simu_physical_energy_distance.png
10,UP010_20240702_094840_R494,410.2173760568819,405.6647839907598,-4.552592066122088,-1.109799908985526,4.552592066122088,1.109799908985526,D:\energy_conservation\output\analysis\trip_real_vs_simu_physics\trip010\trip010_real_vs_simu_physical_energy_distance.png
12,UP012_20240702_141702_R603,408.89051522077085,405.2443521557019,-3.646163065068947,-0.8917211158836215,3.646163065068947,0.8917211158836215,D:\energy_conservation\output\analysis\trip_real_vs_simu_physics\trip012\trip012_real_vs_simu_physical_energy_distance.png
14,UP014_20240702_184325_R710,445.9762958176528,441.50061949769383,-4.47567631995895,-1.0035682079813786,4.47567631995895,1.0035682079813786,D:\energy_conservation\output\analysis\trip_real_vs_simu_physics\trip014\trip014_real_vs_simu_physical_energy_distance.png
15,UP015_20240702_210016_R766,403.2795096097222,399.35551013110313,-3.9239994786190664,-0.9730222798615671,3.9239994786190664,0.9730222798615671,D:\energy_conservation\output\analysis\trip_real_vs_simu_physics\trip015\trip015_real_vs_simu_physical_energy_distance.png
42,UP042_20240708_073251_R2252,454.40523003824995,467.6757926174143,13.270562579164334,2.9204247006680077,13.270562579164334,2.9204247006680077,D:\energy_conservation\output\analysis\trip_real_vs_simu_physics\trip042\trip042_real_vs_simu_physical_energy_distance.png
62,UP062_20240715_081635_R3332,450.45656254192363,446.9976290563031,-3.4589334856205483,-0.7678728146620415,3.4589334856205483,0.7678728146620415,D:\energy_conservation\output\analysis\trip_real_vs_simu_physics\trip062\trip062_real_vs_simu_physical_energy_distance.png
67,UP067_20240716_074738_R3654,450.9440844277708,446.55913121936726,-4.3849532084035445,-0.9723939973550971,4.3849532084035445,0.9723939973550971,D:\energy_conservation\output\analysis\trip_real_vs_simu_physics\trip067\trip067_real_vs_simu_physical_energy_distance.png
