t,v,s,t_global,station_pair
0.0,0.0,0.0,3238.9009517467503,兴海南路-梅堰
0.05002762430939226,0.027515193370165746,0.0013757596685082874,3238.9509793710595,兴海南路-梅堰
0.10005524861878452,0.05503038674033149,0.004127279005524862,3239.001006995369,兴海南路-梅堰
0.1500828729281768,0.08254558011049724,0.008254558011049724,3239.0510346196784,兴海南路-梅堰
0.20011049723756905,0.11006077348066298,0.013757596685082873,3239.1010622439876,兴海南路-梅堰
0.2501381215469613,0.13757596685082873,0.02063639502762431,3239.1510898682973,兴海南路-梅堰
0.3001657458563536,0.1650911602209945,0.028890953038674033,3239.2011174926065,兴海南路-梅堰
0.3501933701657458,0.1926063535911602,0.03852127071823205,3239.251145116916,兴海南路-梅堰
0.4002209944751381,0.22012154696132596,0.04952734806629835,3239.3011727412254,兴海南路-梅堰
0.4502486187845304,0.24763674033149172,0.061909185082872936,3239.3512003655346,兴海南路-梅堰
0.5002762430939226,0.27515193370165747,0.07566678176795581,3239.4012279898443,兴海南路-梅堰
0.5503038674033148,0.3026671270718232,0.09080013812154697,3239.4512556141535,兴海南路-梅堰
0.6003314917127072,0.330182320441989,0.10730925414364642,3239.5012832384627,兴海南路-梅堰
0.6503591160220994,0.3576975138121547,0.12519412983425415,3239.5513108627724,兴海南路-梅堰
0.7003867403314916,0.3852127071823204,0.14445476519337017,3239.6013384870816,兴海南路-梅堰
0.750414364640884,0.4127279005524862,0.1650911602209945,3239.6513661113913,兴海南路-梅堰
0.8004419889502762,0.44024309392265193,0.1871033149171271,3239.7013937357005,兴海南路-梅堰
0.8504696132596684,0.46775828729281765,0.21049122928176797,3239.7514213600098,兴海南路-梅堰
0.9004972375690607,0.49527348066298343,0.23525490331491714,3239.8014489843194,兴海南路-梅堰
0.950524861878453,0.5227886740331492,0.2613943370165746,3239.8514766086287,兴海南路-梅堰
1.0005524861878452,0.5503038674033149,0.28890953038674033,3239.901504232938,兴海南路-梅堰
1.0505801104972374,0.5778190607734807,0.31780048342541434,3239.9515318572476,兴海南路-梅堰
1.1006077348066297,0.6053342541436464,0.3480671961325967,3240.001559481557,兴海南路-梅堰
1.150635359116022,0.6328494475138122,0.3797096685082873,3240.0515871058665,兴海南路-梅堰
1.2006629834254143,0.660364640883978,0.4127279005524862,3240.1016147301757,兴海南路-梅堰
1.2506906077348066,0.6878798342541437,0.4471218922651934,3240.151642354485,兴海南路-梅堰
1.3007182320441988,0.7153950276243094,0.48289164364640885,3240.2016699787946,兴海南路-梅堰
1.350745856353591,0.7429102209944751,0.5200371546961327,3240.251697603104,兴海南路-梅堰
1.4007734806629832,0.7704254143646408,0.5585584254143647,3240.301725227413,兴海南路-梅堰
