t_ref_s,v_ref_mps,v_ref_kmh,s_ref_m
0.0,0.0,0.0,0.0
0.05,0.08031087023037686,0.2891191328293567,0.002007771755759422
0.1,0.1154140463895395,0.4154905670023422,0.006900894671257332
0.15000000000000002,0.1493814253783053,0.5377731313618991,0.013520781465453453
0.2,0.18225811545175163,0.6561292156263059,0.021811769986204876
0.25,0.2140892248649558,0.7707212095138409,0.031720453494122565
0.30000000000000004,0.24491986187299514,0.8817115027427825,0.04319568066257134
0.35,0.274795134730947,0.9892624850314093,0.05618855557766989
0.4,0.3037601516938888,1.0935365460979998,0.07065243773829079
0.45000000000000007,0.33186002101689777,1.194696075660832,0.08654294205606046
0.5,0.3591398509550513,1.2929034634381846,0.10381793885535918
0.55,0.38564474976342666,1.3883210991483361,0.12243755387332114
0.6000000000000001,0.41141982569710134,1.4811113725095648,0.14236416825983433
0.65,0.4365101870111525,1.571436673240149,0.16356241857754067
0.7,0.4609609419606576,1.6594593910583675,0.1859991968018359
0.7500000000000001,0.48481719880069407,1.7453419156824987,0.2096436503208697
0.8,0.508124065786339,1.8292466368308202,0.23446718193554553
0.85,0.5309266511726699,1.9113359442216118,0.2604434498595207
0.9000000000000001,0.5532700632147641,1.9917722275731509,0.28754836771920655
0.9500000000000001,0.5751994101676989,2.0707178766037164,0.31576010455376813
1.0,0.5967598002865516,2.148335281031586,0.3450590848151244
1.05,0.6179963418263997,2.224786830575039,0.37542798836794816
1.1,0.6389541430423205,2.3002349149523535,0.40685175048966615
1.1500000000000001,0.6596783121893911,2.374841923881808,0.43931756187045895
1.2000000000000002,0.6802139575226891,2.448770247081681,0.47281486861326094
1.25,0.7006061872972786,2.5221822742702034,0.5073353722337601
1.3,0.7200773166409282,2.5922783399073417,0.5428524598322153
1.35,0.7404092927548664,2.665473453917519,0.5793646250671102
1.4,0.7592779784370426,2.733400722373353,0.6168568068469079
1.4500000000000002,0.7796053786037433,2.8065793629734763,0.6553288907729276
1.5000000000000002,0.8015790695690265,2.8856846504484954,0.6948585019772469
1.55,0.823521432382461,2.9646771565768595,0.735486014526034
1.6,0.8458668644799135,3.0451207121276886,0.7772207219475934
1.6500000000000001,0.8675321383205921,3.1231156979541317,0.8200556970176061
1.7,0.8894659940446009,3.2020775785605635,0.8639806503267359
1.75,0.9125469055903253,3.285168860125171,0.909030972817609
1.8000000000000003,0.9360441859968042,3.369759069588495,0.9552457501072873
1.85,0.9589804282285471,3.4523295416227695,1.002621365462921
1.9000000000000001,0.9821354216610514,3.535687517979785,1.051149261710161
1.9500000000000002,1.0065391338582903,3.6235408818898454,1.1008661255981445
2.0,1.0313193553494733,3.712749679258104,1.1518125878283385
2.05,1.055460199346622,3.799656717647839,1.203982076695741
2.1,1.079574395325217,3.8864678231707814,1.2573579415625369
2.1500000000000004,1.104708325877999,3.9769499731607967,1.3119650095926172
2.2,1.1304075517170242,4.069467186181288,1.3678429065324929
2.25,1.156181013778013,4.162251649600847,1.4250076206698687
2.3000000000000003,1.1814432331069085,4.25319563918487,1.4834482268419917
2.35,1.2070325526779173,4.345317189640502,1.5431601214866124
2.4000000000000004,1.2340713029745953,4.442656690708543,1.6041877178779251
2.45,1.2613943554075366,4.541019679467132,1.6665743593374784
2.5,1.2881955646674632,4.637504032802868,1.7303141073393535
2.5500000000000003,1.3151190425256405,4.734428553092306,1.7953969725191812
2.6,1.3432479084846647,4.835692470544793,1.8618561462944387
2.65,1.3717215170127746,4.938197461245989,1.9297303819318747
2.7,1.400179442418279,5.040645992705804,1.999027905917651
2.7500000000000004,1.428111503518364,5.141201412666111,2.069735179566067
2.8,1.456217226690132,5.242382016084476,2.1418433978212796
2.85,1.4855654397556455,5.348035583120324,2.215387964482424
2.9000000000000004,1.5149343115502876,5.453763521581036,2.290400458265072
2.95,1.5436786696095448,5.557243210594361,2.366865782794068
3.0000000000000004,1.5724149968890693,5.66069398880065,2.4447681244565334
3.05,1.602022335731564,5.7672804086336305,2.524129057772049
3.1,1.631545277304547,5.873562998296369,2.604968248097952
3.15,1.6611219961821746,5.980039186255829,2.68728492993512
3.2,1.6896304639170197,6.082669670101271,2.7710537414376
3.2500000000000004,1.7181086933339729,6.185191296002302,2.856247220368875
3.3000000000000003,1.7476202574042585,6.291432926655331,2.9428904441373307
3.3500000000000005,1.7769501365770801,6.397020491677488,3.031004703986864
3.4,1.805502577177102,6.499809277837567,3.1205660218307187
3.45,1.833867350581151,6.601922462092143,3.211550270024675
3.5,1.8631875381678717,6.707475137404338,3.3039766422434007
3.5500000000000003,1.8924154273226488,6.8126955383615355,3.3978667163806637
3.6000000000000005,1.9205796441709848,6.914086719015545,3.4931915931680044
3.65,1.9486972304288077,7.015310029543708,3.589923515032999
3.7,1.9776352642341515,7.119486951242945,3.6880818273995732
3.75,2.006662918665053,7.223986507194191,3.787689281972053
3.8000000000000003,2.03572979506264,7.328627262225504,3.8887490998152456
3.8500000000000005,2.0635663760077145,7.428838953627772,3.9912315040920046
3.9000000000000004,2.091383773806406,7.528981585703062,4.095105257837358
3.9500000000000006,2.120305129888592,7.6330984675989315,4.200397480429733
4.0,2.1489926485147475,7.736373534653091,4.307129924889817
4.050000000000001,2.1766198565379606,7.8358314835366585,4.415270237516134
4.1,2.2040281552087606,7.934501358751539,4.524786437809802
4.15,2.2323973189084105,8.036630348070279,4.6356970746627315
4.2,2.2606480092571397,8.138332833325704,4.74802320786687
4.25,2.2891226595031533,8.240841574211352,4.861767474585878
4.300000000000001,2.3165049472205044,8.339417809993815,4.9769081647539695
4.35,2.3441347079626333,8.43888494866548,5.093424156133548
4.4,2.3727319897995396,8.541835163278343,5.211345823577602
4.45,2.401669254604062,8.646009316574624,5.330705854687692
4.5,2.4294898190739485,8.746163348666215,5.451484831529642
4.550000000000001,2.457199564711532,8.845918432961515,5.573652066124279
4.6000000000000005,2.4858919844695486,8.949211144090375,5.697229354853807
4.65,2.513665094027123,9.049194338497642,5.822218281816224
4.7,2.5404327495626466,9.145557898425528,5.9485707279059685
4.75,2.566856405777653,9.240683060799551,6.076252956789476
4.800000000000001,2.5944938511064732,9.340177863983303,6.20528671321158
4.8500000000000005,2.622281277704489,9.44021259973616,6.335706091431854
4.9,2.650314439442493,9.541131981992974,6.467520984360529
4.95,2.677570818255801,9.639254945720884,6.6007181158029855
5.0,2.7049797519943013,9.737927107179486,6.7352818800592384
5.05,2.733374972124025,9.84014989964649,6.871240748162196
5.1000000000000005,2.7618520479684094,9.942667372686275,7.008621423664508
5.15,2.789607897987362,10.042588432754503,7.147407922313402
5.2,2.817201798287966,10.141926473836676,7.287578164720285
5.250000000000001,2.8460211107075235,10.245675998547085,7.429158737445173
5.3,2.8748649693765063,10.349513889755423,7.5721808894472735
5.3500000000000005,2.903864071406114,10.45391065706201,7.716649115466839
5.4,2.931851981583233,10.554667133699638,7.862542016791573
5.45,2.960086481468556,10.656311333286803,8.009840478367868
5.500000000000001,2.989296942625022,10.76146899345008,8.158575063970208
5.55,3.0186383997187054,10.86709823898734,8.3087734475288
5.6,3.0472888153392526,10.970239735221309,8.46042162790525
5.65,3.075683363128275,11.07246010726179,8.613495932366938
5.7,3.1049588502238104,11.177851860805717,8.76801198770074
5.75,3.1343444022383666,11.28363984805812,8.923994569012295
5.800000000000001,3.1637757516046503,11.38959270577674,9.081447572858371
5.8500000000000005,3.1923679097060704,11.492524474941854,9.24035116439114
5.9,3.22128826815593,11.596637765361347,9.40069256883769
5.95,3.251009641795018,11.703634710462065,9.562500016586464
6.000000000000001,3.280938349112739,11.81137805680586,9.725798716359158
6.050000000000001,3.309621305381143,11.914636699372116,9.890562707721505
6.1,3.3383413329820235,12.018028798735285,10.056761773680584
6.150000000000001,3.3679020555725177,12.124447400061063,10.224417858394448
