站间区间,选定等级,规划用时(s),停站时间(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS
布政-张家潭,class3,115.0,28.5,117.45,12947.63,13422.51,13477.15,历史原始实测能耗,474.88,real,class3,class3,80,80,strong,real_only,215.24
张家潭-同德路,class2,148.0,28.5,151.75,17599.22,17522.3,17482.78,历史原始实测能耗,-76.92,real,class2,class2,8,8,strong,real_only,215.24
同德路-石碶,class3,109.0,28.5,112.05,13125.73,13071.5,12809.41,历史原始实测能耗,-54.23,real,class3,class3,60,60,strong,real_only,215.34
石碶-雅渡,class2,80.0,28.5,81.85,11046.12,13041.46,12955.87,历史原始实测能耗,1995.34,real,class2,class2,38,38,strong,real_only,215.34
雅渡-庙堰,class4,139.0,28.5,131.4,18155.36,21037.35,20027.64,历史原始实测能耗,2881.99,real,class4,class4,10,10,strong,real_only,215.34
庙堰-钟公庙,class3,96.0,28.5,95.75,12482.54,13754.66,13658.81,历史原始实测能耗,1272.12,real,class3,class3,84,84,strong,real_only,215.54
钟公庙-鄞州区政府,class4,95.0,28.5,90.3,7979.13,10268.27,10141.05,历史原始实测能耗,2289.14,real,class4,class4,1,1,weak,real_only,215.64
鄞州区政府-钱湖南路,class3,132.0,28.5,132.5,16066.42,17377.92,16864.37,历史原始实测能耗,1311.5,real,class3,class3,62,62,strong,real_only,215.74
钱湖南路-南高教园区,class3,100.0,28.5,100.55,13608.38,13706.01,13386.84,历史原始实测能耗,97.63,real,class3,class3,63,63,strong,real_only,215.84
南高教园区-下应路,class3,114.0,28.5,113.3,18468.87,18303.06,17964.08,历史原始实测能耗,-165.81,real,class3,class3,63,63,strong,real_only,216.24
下应路-大洋江,class3,106.0,28.5,106.95,11307.4,11924.55,11620.09,历史原始实测能耗,617.15,real,class3,class3,65,65,strong,real_only,216.24
大洋江-泗港,class3,92.0,28.5,91.2,10764.14,11631.5,11372.44,历史原始实测能耗,867.36,real,class3,class3,99,99,strong,real_only,216.14
泗港-曹隘,class4,137.0,28.5,135.05,22963.08,23419.64,23235.89,历史原始实测能耗,456.56,real,class4,class4,82,82,strong,real_only,215.94
曹隘-柳隘,class4,113.0,28.5,106.15,15966.43,20883.83,20729.08,历史原始实测能耗,4917.4,real,class4,class4,1,1,weak,real_only,215.84
柳隘-海晏北路,class3,92.0,28.5,91.65,11476.12,12154.23,12171.46,历史原始实测能耗,678.11,real,class3,class3,35,35,strong,real_only,215.84
海晏北路-民安东路,class3,85.0,28.5,83.95,14780.46,15644.04,15403.19,历史原始实测能耗,863.58,real,class3,class3,41,41,strong,real_only,216.94
民安东路-会展中心,class3,79.0,28.5,76.6,11650.32,12320.41,12249.25,历史原始实测能耗,670.09,real,class3,class3,8,8,strong,real_only,216.94
会展中心-院士路,class3,115.0,28.5,114.4,14971.59,14944.44,14761.59,历史原始实测能耗,-27.15,real,class3,class3,104,104,strong,real_only,216.84
院士路-盎孟港,class3,91.0,28.5,90.8,17804.33,19846.03,19714.68,历史原始实测能耗,2041.7,real,class3,class3,99,99,strong,real_only,216.04
盎孟港-三官堂,class3,139.0,28.5,137.5,17036.39,16758.3,16383.7,历史原始实测能耗,-278.09,real,class3,class3,52,52,strong,real_only,215.84
三官堂-兴庄路,class3,104.0,28.5,103.75,10484.03,10404.0,10283.95,历史原始实测能耗,-80.03,real,class3,class3,58,58,strong,real_only,215.64
兴庄路-兴海南路,class2,87.0,28.5,92.2,15846.08,11002.42,10881.38,历史原始实测能耗,-4843.66,real,class2,class2,30,30,strong,real_only,215.54
兴海南路-梅堰,class3,82.0,28.5,80.85,11301.49,12168.13,12156.45,历史原始实测能耗,866.64,real,class3,class3,73,73,strong,real_only,215.34
梅堰-永茂路,class4,329.0,28.5,328.35,26636.43,26160.33,26432.6,历史原始实测能耗,-476.1,real,class4,class4,26,26,strong,real_only,216.14
永茂路-镇海大道,class4,156.0,28.5,141.6,15542.69,17812.63,17501.31,历史原始实测能耗,2269.94,real,class4,class4,1,1,weak,real_only,215.34
镇海大道-骆驼桥,class4,128.0,0.0,116.9,17268.28,20304.84,19930.85,历史原始实测能耗,3036.56,real,class4,class4,1,1,weak,real_only,215.24
--- 总计 ---,节能率: 5.28%,3063.0,712.5,3774.8,387278.66,408884.36,403595.91,历史原始实测能耗,21605.7,,,,,,,real_only,
