序号,区间,segment,来源run_id,绝对开始时间,绝对结束时间,趟次选择方式,数据读取来源,样本数,运行时间(s),区间里程(km),重量(t),历史真实能耗(kWh),Simu物理机械能耗(kWh),Simu-真实(kWh),相对差异(%)
1,布政-张家潭,11,603,2024-07-02 14:17:02,2024-07-02 14:18:58,traceability-cache,cache,2327,116.3,1.427978333333333,215.24,12.741006409708334,12.714196166839615,-0.026810242868717978,-0.21042484405540546
2,张家潭-同德路,11,604,2024-07-02 14:19:27,2024-07-02 14:21:59,traceability-cache,cache,3031,151.5,2.0221172222222252,215.24,17.587783743173613,16.893080622627505,-0.6947031205461062,-3.949918481433131
3,同德路-石碶,11,605,2024-07-02 14:22:28,2024-07-02 14:24:18,traceability-cache,cache,2220,110.95,1.330442638888892,215.24,11.959923694937501,11.57226820863809,-0.38765548629941077,-3.2412872873386385
4,石碶-雅渡,11,606,2024-07-02 14:24:53,2024-07-02 14:26:15,traceability-cache,cache,1626,81.25,0.8269587500000016,215.34,11.84174399340278,12.624356049234997,0.7826120558322182,6.608925647001182
5,雅渡-庙堰,11,607,2024-07-02 14:26:45,2024-07-02 14:28:57,traceability-cache,cache,2656,132.75,1.861769027777785,215.54,20.25403367188889,19.853813918627758,-0.4002197532611317,-1.9760002365188485
6,庙堰-钟公庙,11,608,2024-07-02 14:29:26,2024-07-02 14:31:03,traceability-cache,cache,1935,96.7,1.087273055555554,215.54,13.4898288229375,13.760445436641904,0.270616613704402,2.0060789299583814
7,钟公庙-鄞州区政府,11,609,2024-07-02 14:31:33,2024-07-02 14:33:04,traceability-cache,cache,1814,90.65,0.9846849999999991,215.54,10.015274168243055,10.78617646142459,0.7709022931815344,7.697265998228494
8,鄞州区政府-钱湖南路,11,610,2024-07-02 14:33:43,2024-07-02 14:35:55,traceability-cache,cache,2634,131.65,1.81316347222222,215.64,16.31998102188889,15.10194895594221,-1.218032065946678,-7.4634404556783105
9,钱湖南路-南高教园区,11,611,2024-07-02 14:36:25,2024-07-02 14:38:05,traceability-cache,cache,2000,99.95,1.168859583333335,215.54,13.76564112940278,13.81431642520584,0.04867529580305927,0.35359991841637556
10,南高教园区-下应路,11,612,2024-07-02 14:38:40,2024-07-02 14:40:34,traceability-cache,cache,2275,113.7,1.452115138888886,215.54,19.336954773097222,18.325913790971086,-1.0110409821261384,-5.228542932379206
11,下应路-大洋江,11,613,2024-07-02 14:41:04,2024-07-02 14:42:49,traceability-cache,cache,2107,105.3,1.214954166666671,215.74,11.500415851527778,11.166575212146586,-0.3338406393811911,-2.902857111352559
12,大洋江-泗港,11,614,2024-07-02 14:43:19,2024-07-02 14:44:51,traceability-cache,cache,1847,92.3,0.9581911111111109,215.54,10.86224764820139,10.9423276741909,0.08008002598950953,0.73723255612543
13,泗港-曹隘,11,615,2024-07-02 14:45:20,2024-07-02 14:47:35,traceability-cache,cache,2695,134.7,1.798849722222224,215.64,23.679392029319445,24.038403257212387,0.35901122789294093,1.516133638264103
14,曹隘-柳隘,11,616,2024-07-02 14:48:06,2024-07-02 14:49:53,traceability-cache,cache,2134,106.65,1.3089859722222221,215.44,20.89321623939583,21.704718490822465,0.8115022514266348,3.884046583007562
15,柳隘-海晏北路,11,617,2024-07-02 14:50:22,2024-07-02 14:51:53,traceability-cache,cache,1807,90.3,0.981208055555556,215.34,14.56707159011111,14.576027954688696,0.008956364577585191,0.061483631230763225
16,海晏北路-民安东路,11,618,2024-07-02 14:52:37,2024-07-02 14:54:01,traceability-cache,cache,1677,83.8,0.8658069444444448,216.72,15.742859422798613,16.104659595113333,0.361800172314719,2.2981858796932695
17,民安东路-会展中心,11,619,2024-07-02 14:54:31,2024-07-02 14:55:48,traceability-cache,cache,1534,76.65,0.7259416666666657,216.52,12.947319495534723,13.307366175471984,0.3600466799372607,2.780858849288718
18,会展中心-院士路,11,620,2024-07-02 14:56:18,2024-07-02 14:58:13,traceability-cache,cache,2288,114.35,1.551420972222231,216.32,14.921660502173614,15.090259676743765,0.16859917457015036,1.1298955270131683
19,院士路-盎孟港,11,621,2024-07-02 14:58:42,2024-07-02 15:00:13,traceability-cache,cache,1815,90.7,0.9948429166666674,216.44,19.839463445847226,19.928191256735335,0.08872781088811098,0.44722888363537566
20,盎孟港-三官堂,11,622,2024-07-02 15:00:43,2024-07-02 15:03:00,traceability-cache,cache,2751,137.5,1.878463333333334,216.44,16.559614065493054,15.51995675562622,-1.039657309866834,-6.278270168344524
21,三官堂-兴庄路,11,623,2024-07-02 15:03:35,2024-07-02 15:05:19,traceability-cache,cache,2082,104.05,1.079830000000001,216.14,10.432472098868054,10.407472382089436,-0.024999716778618678,-0.23963367974241886
22,兴庄路-兴海南路,11,624,2024-07-02 15:05:50,2024-07-02 15:07:21,traceability-cache,cache,1829,91.4,0.9588587500000002,215.54,12.23806045686111,12.119688987030942,-0.11837146983016827,-0.9672404401614543
23,兴海南路-梅堰,11,625,2024-07-02 15:07:51,2024-07-02 15:09:13,traceability-cache,cache,1641,82.0,0.8339552777777773,215.54,13.140805651881944,13.13491073351133,-0.005894918370615414,-0.04485964199440984
24,梅堰-永茂路,7,626,2024-07-02 15:09:48,2024-07-02 15:15:18,traceability-cache,cache,6586,329.25,3.675095694444435,215.54,26.13913722615278,25.63750949911512,-0.5016277270376595,-1.919067652071431
25,永茂路-镇海大道,11,627,2024-07-02 15:15:45,2024-07-02 15:18:07,traceability-cache,cache,2848,142.35,2.133948888888889,215.44,17.949127081597222,17.42676908067269,-0.5223580009245343,-2.91021395385904
26,镇海大道-骆驼桥,11,628,2024-07-02 15:18:35,2024-07-02 15:20:31,traceability-cache,cache,2330,116.45,1.5966106944444491,215.34,20.16548098632639,18.69299938837712,-1.4724815979492705,-7.30199095646524
