class,curve_source,parent_ref,supporting_refs,real_sample_count,sample_reliability,template_source,template_run_id,template_distance_to_median_rmse_mps,center_time_median_s,time_s,samples,peak_v_kmh
class2,real,class2,class2,59,strong,medoid_real_run,07/1971982|71982|5014|UP,0.049972,142.5,142.5,59,77.57
class4,real,class4,class4,1,weak,medoid_real_run,0,0.010916,152.1,152.1,1,69.12
