Segment_ID,等级,时长
0,class2,86.45
1,class2,86.25
2,class2,87.8
3,class2,89.05
4,class2,86.75
5,class2,86.45
6,class3,90.05
7,class2,86.4
8,class2,86.5
9,class2,88.05
10,class3,89.65
11,class2,87.05
12,class2,86.15
13,class2,88.05
14,class1,81.5
15,class2,86.45
16,class2,86.45
17,class2,86.85
18,class3,94.0
19,class2,88.1
20,class2,86.0
21,class2,87.8
22,class2,88.0
23,class2,89.0
24,class2,86.25
25,class2,88.0
26,class1,83.85
27,class2,86.45
28,class2,86.65
29,class2,86.75
30,class2,87.75
31,class2,86.75
32,class2,86.65
33,class2,86.75
34,class1,81.6
